system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,VALUE,.geo
00000000000000000000_0,569.8271,871.38324,302.3151,357.6632,1499.6473,528.1708,549.1224,622.5456,408.3526,994.1078,1000.4394,657.146,684.9941,465.573,513.2912,690.3834,745.4684,599.6717,597.8331,637.4313,442.1212,1052.8809,1589.5074,1001.67957,719.5278,1209.186,738.95605,922.9197,1354.1244,885.3857,397.8514,387.96973,1238.3824,1.0,
00000000000000000001_0,520.27106,1003.3332,245.2668,830.1774,384.70566,767.7966,248.6223,922.8535,889.805,889.049,751.5492,795.8756,989.24,525.8458,413.4602,815.242,829.1123,919.0584,887.2488,918.7403,784.5005,639.8521,1151.7272,919.2658,1041.6802,947.4007,1002.276,872.1051,1089.3043,1021.5734,1258.912,593.5598,814.9176,1.0,
00000000000000000002_0,2044.3008,2311.0793,2067.9785,2059.3323,2125.409,2061.0642,2037.8723,1895.2075,1889.4136,1650.0403,1875.8875,1481.4076,1916.6719,1433.0706,1741.9983,1972.3315,2091.1265,2023.1346,1984.2205,1870.2659,1615.7915,2214.7847,2334.102,2364.4077,2259.3672,2128.5386,2279.745,2161.8215,2373.856,2001.8628,2130.463,2115.1824,1957.5223,1.0,
00000000000000000003_0,181.8763,891.9521,220.2093,684.5873,871.528,552.9225,295.1892,547.13043,522.77783,849.8898,453.0758,313.6972,1284.4879,249.0446,175.52756,497.95264,689.8013,725.4596,298.3389,964.0546,526.5688,201.2776,1143.5424,882.8791,1022.8348,312.2134,893.07556,237.0903,1376.4082,971.9927,1088.4755,365.6084,864.1336,1.0,
00000000000000000004_0,1560.9509,1648.9314,1261.1431,1495.3745,1740.675,1637.7825,1239.4436,1168.8058,1267.1241,1322.4647,1236.4515,1181.5999,1788.0814,1462.2256,1279.749,1332.3965,1465.1289,1583.7825,1347.0684,1399.0789,1105.3005,2073.2861,1849.691,1778.1089,2023.6157,1863.7198,1680.5498,1896.8608,1793.2402,1729.992,1666.2344,1341.2626,1660.9375,1.0,
00000000000000000005_0,1688.0342,2021.6008,1210.0996,1348.1455,1106.7666,1262.9489,1025.59,1107.4951,1202.4705,1345.2787,1393.4949,1124.8606,2043.7157,1455.2146,937.34656,1181.2733,1175.9352,1644.96,1608.2222,1259.4761,1331.6586,1044.7145,1809.9492,1053.3372,1612.1317,2124.3542,1657.8235,1178.0187,1946.7776,1345.5994,1512.5177,1058.4551,1440.3176,1.0,
00000000000000000006_0,1116.9117,1406.149,684.28876,1176.4751,1855.0941,1283.4764,938.4594,977.499,1065.8698,1337.9862,1095.8335,975.3361,1168.3806,1010.03613,792.5853,1061.3741,1160.4724,968.1438,1325.0762,884.03015,944.98254,1372.0432,1722.6888,1481.6421,1047.3162,1329.2211,1350.686,1356.6116,1949.6057,1157.5293,1065.3344,596.5411,1743.2996,1.0,
00000000000000000007_0,1741.6353,1441.0717,807.372,860.0381,1095.5233,979.0182,953.8589,904.4852,949.2822,813.4269,892.768,1071.6774,1399.5093,1065.353,989.2342,941.87555,861.2912,1210.5568,923.8427,996.11743,773.5594,1143.7588,1303.8787,1423.3444,1327.5078,1408.7688,1348.0247,952.62665,1034.1663,1121.2101,868.9767,745.24554,764.1644,1.0,
00000000000000000008_0,406.31213,1571.593,248.8855,766.67474,552.5351,1050.0706,881.548,1135.2788,1021.3501,857.4052,1111.4001,1039.6776,1507.7891,1083.3466,1037.2793,1184.7651,1177.5717,1337.2052,1309.5092,1145.1158,1093.3643,1520.2163,1752.6554,1662.1221,1645.8827,1532.8871,1596.1083,682.7804,1770.5498,1103.3823,1118.8665,1355.9116,1421.4326,1.0,
00000000000000000009_0,1798.9607,2127.8381,1276.0754,1390.5848,1432.9707,1350.9067,1219.405,1149.3862,1266.3625,1174.5548,1158.8538,1199.2513,1527.6404,1040.981,1175.3727,1065.0289,1351.8716,1421.8575,1402.8071,1075.305,911.1664,1209.0127,1837.9099,1413.5228,1754.7817,1223.7556,1598.1006,1405.4653,1257.9784,1501.9427,1431.6151,1450.4362,1727.1998,1.0,
0000000000000000000a_0,275.87634,392.6796,245.5875,330.78775,306.1043,257.3911,290.4167,267.68677,265.61353,315.4982,236.7945,255.62305,288.8872,280.137,229.29825,365.24268,472.014,279.83618,310.1554,272.3906,251.2704,263.5942,315.9203,437.79056,395.5011,296.8673,369.56372,220.57071,356.38428,288.66754,504.2657,376.38934,333.1072,1.0,
