system:index,BLUE,BLUE_1,BLUE_10,BLUE_11,BLUE_12,BLUE_13,BLUE_14,BLUE_15,BLUE_16,BLUE_17,BLUE_18,BLUE_19,BLUE_2,BLUE_20,BLUE_21,BLUE_22,BLUE_23,BLUE_24,BLUE_25,BLUE_26,BLUE_27,BLUE_28,BLUE_29,BLUE_3,BLUE_30,BLUE_31,BLUE_32,BLUE_4,BLUE_5,BLUE_6,BLUE_7,BLUE_8,BLUE_9,VALUE,.geo
00000000000000000000_0,188.0,167.0,115.0,178.0,107.0,172.0,233.0,140.0,129.0,135.0,152.0,156.0,159.0,123.0,129.0,143.5,196.0,132.5,149.0,123.0,137.0,92.0,133.0,204.5,35.0,91.5,52.0,140.0,175.0,235.5,335.0,433.5,225.5,1.0,
00000000000000000001_0,133.0,169.5,83.0,187.0,134.0,165.0,155.0,144.0,142.0,145.5,150.0,133.0,186.0,105.0,92.0,177.5,131.5,133.0,159.0,129.0,151.0,84.0,85.0,207.0,78.0,82.0,60.0,146.0,177.5,149.0,476.0,207.0,129.0,1.0,
00000000000000000002_0,236.0,180.0,143.5,175.0,205.0,219.5,221.0,206.5,162.0,184.0,200.0,205.0,250.0,189.5,201.0,203.0,193.5,187.0,154.5,172.0,193.0,125.0,129.0,187.0,182.5,159.0,133.0,192.0,239.5,244.0,482.0,244.0,239.0,1.0,
00000000000000000003_0,107.5,146.0,53.0,168.0,27.0,105.0,153.0,122.0,93.0,115.0,125.0,103.0,153.5,75.0,68.0,115.0,103.5,128.0,93.0,100.5,117.0,-2.0,77.0,164.0,63.0,21.5,38.0,78.0,165.0,218.0,414.0,208.0,132.0,1.0,
00000000000000000004_0,261.5,219.0,329.0,388.5,348.0,416.0,396.0,400.0,332.0,337.5,487.0,468.0,232.5,389.0,400.0,402.0,402.5,329.5,358.0,323.0,352.0,397.5,301.0,306.0,250.0,304.0,357.0,247.0,284.5,253.5,489.5,399.0,379.0,1.0,
00000000000000000005_0,276.5,283.0,234.5,356.0,379.0,375.0,448.0,346.0,336.0,319.0,340.5,384.0,306.5,281.5,287.5,372.0,288.5,265.0,294.5,258.0,333.0,183.0,318.5,424.5,188.0,249.5,274.5,292.0,387.0,437.5,540.5,424.5,461.0,1.0,
00000000000000000006_0,229.0,171.5,126.0,197.5,178.0,167.0,203.0,144.0,149.0,140.0,180.0,107.0,163.0,166.5,118.0,149.0,190.0,127.5,138.0,88.5,141.5,111.0,114.0,195.0,82.0,110.0,118.0,156.0,189.0,236.5,277.0,137.0,196.5,1.0,
00000000000000000007_0,169.0,228.5,194.0,363.0,266.0,268.0,327.0,269.0,292.0,297.0,268.0,242.0,203.0,311.0,291.5,338.5,249.0,243.0,249.0,240.5,293.0,263.0,237.0,206.0,206.0,214.5,215.0,274.0,276.0,328.0,505.5,341.5,263.0,1.0,
00000000000000000008_0,138.5,189.5,135.0,149.5,150.0,179.0,196.0,183.0,177.5,215.0,160.5,143.0,178.0,150.0,155.0,213.0,165.0,157.0,164.0,164.0,157.0,135.0,125.0,179.5,119.0,128.5,116.0,160.0,212.0,217.5,354.5,208.0,174.0,1.0,
00000000000000000009_0,300.5,216.0,251.0,347.0,310.0,326.0,353.5,346.0,276.0,306.0,270.0,287.0,298.0,330.0,295.0,383.0,313.5,265.0,225.0,288.0,304.0,229.0,247.0,380.5,221.0,252.0,269.0,337.0,389.0,421.0,464.0,449.0,386.0,1.0,
