system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,VALUE,.geo
00000000000000000000_0,229.5,227.0,145.0,258.0,240.0,192.0,357.0,192.0,174.0,211.0,248.0,310.0,211.0,165.5,158.5,218.5,236.0,154.5,175.0,173.0,192.0,201.5,304.5,343.5,99.0,226.0,127.5,236.0,317.0,322.0,333.0,396.0,299.5,1.0,
00000000000000000001_0,191.0,279.5,104.0,237.0,133.0,228.0,188.0,233.0,220.0,225.5,234.0,240.0,310.0,191.0,179.0,272.5,218.5,225.0,223.0,224.0,224.5,116.0,211.5,335.0,206.0,163.0,179.0,263.0,321.0,263.0,633.0,321.0,248.0,1.0,
00000000000000000002_0,362.0,363.0,307.0,381.0,321.0,359.0,365.0,346.0,339.0,336.0,363.5,363.0,411.0,368.0,347.0,396.0,355.0,394.0,328.5,338.0,322.0,327.0,305.5,368.5,342.5,304.0,294.0,319.0,395.0,402.0,589.0,423.0,413.0,1.0,
00000000000000000003_0,132.5,245.0,87.0,215.0,177.0,187.0,150.0,196.5,159.0,207.5,203.0,160.0,279.5,114.0,99.0,193.0,160.5,212.0,132.0,255.0,180.5,18.0,228.0,325.0,217.0,98.5,164.0,189.0,328.0,315.0,551.0,293.0,283.0,1.0,
00000000000000000004_0,426.5,444.0,532.0,711.0,729.0,700.0,699.0,644.0,652.0,604.0,814.0,795.5,447.5,734.0,755.0,758.0,714.5,678.5,654.0,641.5,715.5,806.5,719.0,554.0,650.5,718.0,811.0,493.0,531.0,516.0,765.0,636.0,634.0,1.0,
00000000000000000005_0,470.5,519.5,436.5,524.0,547.0,666.0,647.0,614.5,580.0,582.0,630.5,686.5,541.5,492.0,452.0,666.0,560.0,451.0,517.5,543.0,664.0,353.0,692.0,759.5,491.0,702.5,687.0,539.0,626.0,722.0,794.5,533.0,736.0,1.0,
00000000000000000006_0,324.0,311.0,149.5,298.5,295.0,284.5,298.0,263.0,259.0,289.0,282.5,181.0,256.5,234.5,177.5,288.0,324.0,222.0,266.0,182.5,250.5,241.0,262.0,371.0,180.0,332.0,248.0,274.0,395.0,367.0,430.0,194.0,312.0,1.0,
00000000000000000007_0,412.0,407.5,453.0,563.0,467.0,522.0,504.0,462.0,513.5,539.0,505.0,448.5,353.5,522.0,528.0,633.5,480.0,449.0,486.0,462.0,523.0,504.0,472.5,372.0,441.0,449.0,480.0,472.0,417.0,670.0,772.5,562.0,514.0,1.0,
00000000000000000008_0,245.0,314.0,149.0,268.0,228.0,299.0,260.0,274.0,284.0,295.0,260.5,258.0,316.0,259.0,283.0,368.0,295.0,285.0,267.0,298.0,285.5,266.0,263.0,337.0,287.0,259.5,243.0,226.0,342.0,258.0,500.0,383.0,319.0,1.0,
00000000000000000009_0,470.5,468.0,551.5,603.0,544.0,560.0,614.5,649.0,554.5,629.0,537.0,512.0,485.0,551.0,515.0,655.0,626.0,503.0,454.0,457.0,562.0,410.0,550.0,625.0,542.0,513.0,583.0,541.0,700.0,743.0,776.0,823.5,730.0,1.0,
