system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,.geo
00000000000000000000_0,191.0,224.0,145.0,221.0,187.5,186.0,178.0,203.5,183.0,219.0,184.0,175.0,198.5,165.5,149.0,183.0,188.5,168.0,173.0,174.5,173.0,79.5,163.5,240.0,194.0,134.0,138.0,152.0,261.0,225.0,344.0,322.0,229.0,
00000000000000000001_0,194.0,220.0,147.0,227.0,185.0,225.0,218.0,203.5,180.0,220.0,184.0,234.0,233.0,181.0,171.0,239.5,212.0,203.5,171.0,210.0,210.0,106.5,140.0,239.5,157.0,146.0,137.0,217.0,263.0,207.0,362.0,299.0,243.0,
00000000000000000002_0,295.5,306.0,242.0,277.0,265.0,326.0,264.0,259.5,246.0,256.0,237.0,248.5,293.0,238.0,217.5,273.0,249.5,258.0,233.0,230.0,259.0,152.0,205.0,308.0,222.0,198.0,173.5,222.0,343.0,318.0,424.0,378.0,293.0,
00000000000000000003_0,252.0,285.0,203.0,278.0,247.0,267.5,286.5,248.0,203.5,239.0,242.0,277.0,332.5,258.0,227.0,297.5,218.0,240.5,224.0,236.0,224.0,154.0,189.0,275.0,210.5,176.0,162.5,239.0,301.0,272.5,401.0,327.5,272.0,
00000000000000000004_0,280.0,303.0,188.0,237.0,261.5,281.0,254.0,230.0,206.0,190.5,213.0,210.0,237.0,205.5,212.0,251.0,224.5,226.0,212.0,237.0,238.5,182.5,177.5,265.0,190.5,184.0,162.0,201.0,229.0,266.0,400.0,311.5,239.0,
00000000000000000005_0,244.5,305.0,239.5,277.0,225.0,263.0,258.0,237.5,202.5,221.5,203.0,229.0,278.0,231.0,210.0,258.0,206.0,219.0,207.0,194.5,201.0,104.0,178.0,275.0,205.5,148.0,157.0,230.0,299.5,302.0,413.0,328.0,251.0,
00000000000000000006_0,243.5,307.0,211.0,272.5,216.0,294.5,231.0,229.5,198.5,204.0,203.0,224.0,256.0,184.0,184.0,280.0,217.0,211.5,175.0,223.0,200.0,198.0,161.5,247.0,192.5,166.5,151.0,204.0,258.0,277.0,396.0,332.0,237.5,
00000000000000000007_0,294.0,292.5,234.0,267.5,236.5,294.0,261.0,219.0,215.0,230.0,228.0,224.0,294.0,230.0,221.0,265.0,236.5,242.0,236.0,235.0,215.5,158.0,205.0,275.0,202.0,186.0,180.0,235.0,307.0,248.5,425.0,364.0,293.0,
00000000000000000008_0,252.5,252.0,243.0,279.0,227.0,259.0,278.0,251.0,237.5,235.0,232.5,243.0,262.0,217.5,221.0,245.5,270.0,240.0,230.0,255.0,234.5,146.0,199.0,277.0,211.5,176.0,183.5,237.0,307.0,257.0,461.5,375.5,271.0,
00000000000000000009_0,296.0,345.5,292.0,331.5,276.0,299.0,279.0,258.0,264.0,283.0,277.0,296.0,346.0,289.0,273.5,364.0,291.0,302.0,267.0,260.5,244.0,215.5,234.0,321.5,248.0,232.0,228.0,273.0,367.0,295.0,462.0,360.0,295.0,
0000000000000000000a_0,280.0,326.0,239.0,277.5,253.0,295.0,282.0,258.5,222.0,249.5,239.0,235.5,321.0,215.0,234.0,285.0,263.0,229.0,237.0,234.0,206.0,150.0,214.5,308.0,218.0,183.0,182.0,271.0,347.0,324.0,442.5,328.5,296.0,
0000000000000000000b_0,379.0,342.0,308.0,323.0,281.0,309.0,287.5,265.5,266.5,251.0,283.0,273.0,371.5,259.0,254.0,295.0,275.0,271.0,254.0,240.0,243.0,206.0,223.0,343.0,224.0,251.5,220.0,314.0,350.0,354.0,406.0,387.0,310.5,
0000000000000000000c_0,365.0,373.0,290.5,313.0,278.0,328.0,268.0,275.0,259.5,237.0,268.0,266.0,348.5,258.0,247.0,278.0,269.0,239.0,245.0,252.0,243.0,188.5,205.5,328.0,202.0,199.5,190.0,302.0,370.0,388.0,436.0,377.0,321.0,
0000000000000000000d_0,197.0,259.0,180.5,242.5,229.0,206.5,236.0,195.0,207.5,204.0,198.0,218.0,233.5,193.0,163.0,233.5,257.0,205.0,200.0,189.5,201.0,87.5,177.0,268.5,188.0,132.0,156.0,218.0,281.0,261.0,345.0,332.0,278.0,
0000000000000000000e_0,311.0,271.5,228.5,302.0,251.5,294.0,260.0,258.0,243.0,240.5,254.0,218.0,307.0,210.5,232.0,291.0,253.0,234.0,237.0,250.5,219.0,166.5,178.0,280.0,208.5,184.0,176.0,265.0,294.5,246.5,379.0,362.0,268.5,
0000000000000000000f_0,301.0,300.5,236.0,257.0,213.0,264.0,222.0,217.5,229.0,220.5,207.0,200.0,276.0,190.0,205.0,226.0,242.0,206.5,204.0,201.0,167.0,145.5,147.0,289.5,184.5,161.5,145.0,265.0,279.0,287.5,345.0,323.0,258.0,
00000000000000000010_0,397.0,364.0,306.0,341.0,323.0,341.0,274.0,278.5,268.0,262.0,283.5,290.5,337.0,260.0,276.0,301.5,300.0,287.5,270.5,243.0,236.0,208.0,220.0,323.0,248.0,226.0,203.0,306.5,374.0,365.5,416.0,372.0,321.5,
00000000000000000011_0,377.0,373.0,289.0,309.0,277.0,324.0,273.5,266.0,249.0,237.0,250.0,260.0,336.0,236.0,224.5,272.5,287.0,248.0,253.0,235.5,230.0,174.0,193.5,354.0,221.0,180.5,171.0,306.0,350.0,360.0,434.0,338.5,298.5,
00000000000000000012_0,519.0,439.0,334.0,317.5,275.0,331.0,308.5,316.0,284.0,281.0,267.0,254.0,403.5,262.0,264.5,294.0,262.0,258.0,270.0,264.0,276.5,203.5,230.0,356.0,211.0,214.0,191.0,295.0,325.0,306.0,433.0,329.0,320.0,
00000000000000000013_0,244.0,263.5,186.5,249.5,230.0,273.0,228.0,219.0,199.0,190.0,229.0,238.0,282.0,205.0,202.5,240.5,237.0,227.0,200.0,213.5,210.0,164.5,169.5,266.0,184.5,183.5,164.5,220.0,302.0,262.0,325.0,321.0,245.0,
00000000000000000014_0,380.0,370.0,292.5,321.5,289.0,325.0,291.0,287.0,264.0,272.0,293.0,297.0,349.0,278.0,272.0,298.0,278.0,281.0,275.0,282.0,213.5,238.5,237.0,320.0,242.5,238.0,219.0,305.5,371.0,369.0,444.0,394.0,368.0,
00000000000000000015_0,295.0,307.0,275.0,292.0,278.5,335.0,328.0,255.5,242.0,253.5,267.5,250.0,300.0,248.0,258.5,280.0,265.0,250.0,262.5,275.5,246.0,194.0,222.5,320.0,213.0,209.5,202.0,272.0,333.5,295.0,473.0,393.0,294.0,
00000000000000000016_0,288.5,321.0,264.0,286.5,247.0,289.5,256.0,244.0,242.0,226.0,238.5,228.0,290.0,235.0,213.0,254.0,240.0,218.5,235.0,219.0,227.0,189.0,193.0,284.0,201.0,201.0,195.0,253.0,308.5,298.0,415.5,349.0,309.5,
