system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
00000000000000000000_0,-0.039215688,-0.093543045,-0.19362187,0.0125,-0.29508197,-0.4738878,-0.24380165,0.057082452,-0.14194065,-0.34707904,-0.10725894,-0.22346368,-0.15384616,-0.22886598,-0.41584158,-0.29553035,-0.39229673,-0.09446525,-0.33286119,-0.4117647,-0.40683573,-0.5686901,-0.49435666,-0.2644628,-0.4552208,-0.5717916,-0.57425743,-0.16542473,-0.32362458,-0.20952381,-0.1994548,-0.22567287,-0.14594595,
00000000000000000001_0,0.040597294,-0.043012924,-0.024590164,-0.02347418,-0.31047618,-0.3028846,-0.15461347,1.1067961,-0.26955202,-0.375,-0.3289183,-0.29157668,-0.21572387,-0.31759655,-0.35304347,-0.33104867,-0.37650603,-0.26651332,-0.36319104,-0.3809524,-0.45633456,-0.61167514,-0.44771057,-0.2548387,-0.6020761,-0.5745554,-0.49185276,-0.16716418,-0.12811694,-0.18925233,-0.20717949,-0.40820736,-0.23623446,
00000000000000000002_0,-0.13498837,-0.010486019,-0.5307443,-0.4070278,-0.34052595,-0.27511874,-0.29050022,0.9288256,-0.3862069,-0.4287324,-0.2381668,-0.4134727,-0.3281493,-0.19489361,-0.48946515,-0.36479843,-0.47538337,-0.15307087,-0.55278593,-0.5467626,-0.5068697,-0.6124751,-0.48878923,-0.42918456,-0.62095034,-0.5727554,-0.5923172,-0.54545456,-0.4813062,-0.40043133,-0.32970026,-0.521197,-0.49348232,
00000000000000000003_0,-0.4250364,-0.17890996,-0.33911234,-0.43951368,-0.53235906,-0.4851632,-0.37183264,0.9116466,-0.30460104,-0.44043568,-0.41100323,-0.12763321,-0.34789157,-0.2526475,-0.35875705,-0.38388175,-0.33233607,-0.16759986,-0.42960724,-0.57032967,-0.3593315,-0.6825886,-0.5746032,-0.4100991,-0.571618,-0.5939991,-0.62616825,-0.47157726,-0.55922467,-0.41488022,-0.43745774,-0.5232558,-0.44877172,
00000000000000000004_0,-0.066840276,-0.1100879,-0.49344978,-0.5557404,-0.5079929,-0.5220126,-0.33374766,0.91129035,-0.38084632,-0.3,-0.41358024,-0.110091746,-0.31367293,-0.5003509,-0.5091104,-0.40967155,-0.38799816,-0.08522551,-0.39638785,-0.34922862,-0.46612832,-0.6394652,-0.42064896,-0.35969058,-0.55127406,-0.58148146,-0.6061269,-0.41275942,-0.56605285,-0.3846154,-0.39183673,-0.49055284,-0.45255002,
00000000000000000005_0,-0.05752754,-0.034689393,-0.17084827,-0.4957507,-0.31021437,-0.24865831,-0.30047873,-0.44585255,-0.3640416,-0.37256676,-0.43546888,-0.43801653,-0.34120917,-0.47467726,-0.14146341,-0.3340206,-0.44672132,-0.084070794,-0.4772118,-0.56341463,-0.51282054,-0.68686867,-0.5679144,-0.4442864,-0.53752536,-0.5259912,-0.6309876,-0.3894967,-0.52462524,-0.44096386,-0.39300135,-0.41911766,-0.47073475,
00000000000000000006_0,-0.024523161,-0.07349866,-0.42685026,-0.22029373,-0.29007137,-0.39052725,0.031725887,0.9173669,-0.35022807,-0.39957264,-0.3156146,-0.3502747,-0.2337043,-0.39695945,-0.50941575,-0.36479843,-0.5668157,-0.095695905,-0.40963855,-0.54183495,-0.45194423,-0.49049821,-0.5611448,-0.43050495,-0.5197542,-0.26462284,-0.6109046,-0.41489363,-0.34558824,-0.431694,-0.37201804,-0.3139535,-0.2861357,
00000000000000000007_0,-0.16578947,-0.18709677,-0.44462278,0.0011082379,-0.29474244,-0.5240444,-0.3967176,-0.48809043,-0.36573857,-0.5153617,-0.37517697,-0.4053156,-0.27994013,-0.4762827,-0.18872465,-0.3943413,-0.06937394,-0.089689106,-0.53145695,-0.4796643,-0.61162484,-0.67250675,-0.54345834,-0.3896167,-0.5509434,-0.58586574,-0.46818924,-0.3835349,-0.40481928,-0.4528302,-0.44539738,-0.47706968,-0.47565544,
00000000000000000008_0,-0.29840255,-0.34235978,-0.44724688,-0.0114068445,-0.5811808,-0.3604336,-0.42144072,-0.4220963,-0.4102685,-0.38621342,-0.32258064,-0.3745298,-0.28370553,-0.4170708,-0.24006568,-0.41145834,-0.23162135,-0.12275449,-0.43383583,-0.5661622,-0.33333334,-0.5277435,-0.57983196,-0.40095693,-0.5200676,-0.57734203,-0.59191406,-0.48505303,-0.3807252,-0.47081217,-0.46238938,-0.39717084,-0.44862667,
00000000000000000009_0,-0.40059856,-0.08027327,-0.62370855,-0.4157025,-0.41854838,-0.4852071,-0.20949152,-0.4733728,-0.4111628,-0.5408063,-0.43945807,-0.45873785,-0.49429485,-0.4928264,-0.28304407,-0.38909477,-0.36877593,-0.25252524,-0.5277778,-0.5351072,-0.52284265,-0.29577464,-0.62184876,-0.45035022,-0.5708029,-0.43897715,-0.42498955,-0.5376392,-0.40186915,-0.5510402,-0.46487007,-0.2074928,-0.5134596,
0000000000000000000a_0,-0.424,-0.3985765,-0.5376147,0.06861063,-0.4079358,-0.47972974,-0.25047317,-0.35835174,-0.3928889,-0.55984557,-0.38468677,-0.43753213,-0.29396152,-0.45058626,-0.14790764,0.4130578,-0.39257812,0.0,-0.42828283,-0.46153846,-0.3473294,-0.70131576,-0.3672643,-0.35471255,-0.24394017,-0.6,-0.3990196,-0.46107784,-0.5678509,-0.22523096,-0.43304348,-0.55700934,-0.5305802,
0000000000000000000b_0,-0.5004234,-0.51490736,-0.5246679,-0.15848008,-0.48641303,-0.554007,-0.3227207,-0.29376084,-0.4060495,-0.5126459,-0.37731782,-0.5167715,-0.18315156,-0.4637437,-0.5128,-0.3934837,-0.4099723,-0.063022636,-0.43714285,-0.54849935,-0.38622552,-0.6870416,-0.4230038,-0.47915807,-0.4264478,0.31894177,-0.48677495,-0.4832905,-0.29842445,-0.13188507,-0.37069923,-0.39422384,-0.56073856,
0000000000000000000c_0,-0.5515933,-0.18434016,-0.6080844,-0.13621964,-0.65467626,-0.61597824,-0.5403423,-0.42857143,-0.43774402,-0.3737256,-0.47966573,-0.5210819,-0.29656607,-0.60973185,-0.32888296,-0.4797361,-0.4935551,-0.06824147,-0.17107336,-0.6646091,-0.5399223,-0.73190045,-0.64755243,-0.55448717,-0.65464705,-0.538874,-0.5621749,-0.45027742,-0.57714283,-0.53410983,-0.39943343,-0.57148993,-0.57197696,
0000000000000000000d_0,-0.30593607,-0.3411215,-0.13868614,-0.06583072,-0.36664322,-0.32423207,-0.27261385,0.9104478,-0.15463917,-0.3283582,-0.2803419,-0.49529412,-0.3556299,-0.32635254,-0.31363636,-0.37615895,-0.45700973,-0.04505291,-0.42404228,-0.37423313,-0.5037274,-0.7308294,-0.5802469,-0.3178808,-0.57321227,-0.6498278,-0.39841196,-0.50615835,-0.4751309,-0.3057325,-0.31164607,-0.3275862,-0.04761905,
0000000000000000000e_0,-0.3087886,-0.5340471,-0.5184484,-0.26848873,-0.5512286,-0.39168343,-0.45163137,0.91129035,-0.38339922,-0.50963914,-0.5013151,-0.36699507,-0.19513069,-0.55271566,-0.16641769,-0.43962848,-0.4060219,-0.22531645,-0.47030357,-0.6296296,-0.5166375,-0.7050453,-0.4084507,-0.507619,-0.6045118,0.2937491,-0.6231884,-0.48918205,-0.42158148,-0.4764557,-0.338766,-0.34709778,-0.4903889,
0000000000000000000f_0,-0.4071006,-0.11882861,-0.43507215,-0.48790145,-0.4051724,-0.517194,-0.47964603,1.0894309,-0.37947962,-0.4728493,-0.33141488,-0.5072464,-0.34041825,-0.48168105,-0.39754412,-0.38155514,-0.42655367,-0.3609247,-0.50769234,-0.60103625,-0.49923664,-0.69652945,-0.37806875,-0.51521295,-0.6331707,-0.6413959,-0.5915493,-0.5205836,-0.5003108,-0.20675105,-0.32790223,-0.3769063,-0.27753305,
00000000000000000010_0,-0.53433305,-0.42257515,-0.52601594,-0.47043434,-0.5434281,-0.550173,-0.51463646,-0.44156364,-0.4087102,-0.5541825,-0.3777113,-0.3600752,-0.13815789,-0.57419354,-0.40562522,-0.4772118,-0.46423134,-0.046520192,-0.49092376,-0.6246306,-0.44117647,-0.696868,-0.42524454,-0.51980597,-0.63313097,-0.6430834,-0.6694584,-0.4814815,-0.5514851,-0.5748792,-0.42553192,-0.477168,-0.57745147,
00000000000000000011_0,-0.5326207,-0.29672447,-0.5627459,-0.3279164,-0.5501592,-0.2909699,-0.2991505,-0.48728815,-0.37639007,-0.52889377,-0.14669533,-0.41613063,-0.61407626,-0.3642092,-0.6363636,-0.421709,-0.47536495,-0.06803037,-0.48469388,-0.53471595,-0.58353806,-0.7275,-0.38557994,-0.51461536,-0.30475694,0.33860978,-0.62875,-0.42912772,-0.6258919,-0.28226712,-0.4191555,-0.47672552,-0.5579674,
00000000000000000012_0,-0.5020198,-0.2987168,-0.5121528,-0.53815895,-0.5276968,-0.46885523,-0.43786126,-0.45343244,-0.4638143,-0.5780372,-0.42060244,-0.4973262,-0.5960452,-0.58680713,-0.37027708,-0.4284553,-0.47807395,-0.14028056,-0.54634374,-0.4986847,-0.3361657,-0.7065036,-0.450764,-0.5318199,-0.33141488,0.31556106,-0.5829146,-0.44385433,-0.6424642,-0.1933067,-0.41967964,-0.55074877,-0.5579674,
00000000000000000013_0,-0.43149516,-0.108041234,-0.4443243,-0.42072123,-0.41430193,-0.5175258,-0.44808125,1.1057268,-0.5313688,-0.48448688,-0.35525745,-0.25752166,-0.50041634,-0.50807756,-0.45454547,-0.42329872,-0.2795031,-0.14008412,-0.43421644,-0.60534304,-0.1984893,-0.7251613,-0.33858266,-0.4906954,-0.6620954,0.28673723,-0.6325678,-0.49009386,-0.5313808,-0.46902654,-0.33443892,-0.544104,-0.5431111,
00000000000000000014_0,-0.5416992,-0.33362445,-0.585928,-0.5315399,-0.5525114,-0.60473496,-0.2236842,0.2516129,-0.5326316,-0.5339432,-0.38455415,-0.36829558,-0.27623793,-0.47933885,-0.5521197,-0.5080645,-0.32746145,-0.21717171,-0.48329177,-0.61064893,-0.63095236,-0.69468266,-0.3745583,-0.5369909,-0.6625603,0.27553338,-0.622251,-0.5278631,-0.51996285,-0.17406325,-0.4025364,-0.3903463,-0.5414066,
00000000000000000015_0,-0.488433,-0.35702613,-0.5146443,-0.02189781,-0.6252518,-0.508044,-0.34508196,-0.24761038,-0.3010698,-0.5285714,-0.37636143,-0.37672585,-0.26389867,-0.53051645,-0.62357605,-0.42675158,-0.43812418,-0.2615274,-0.54641795,-0.596577,-0.5119617,-0.6956989,-0.44913927,-0.48059455,-0.33271462,0.27762488,-0.6324981,-0.5441251,-0.57225436,-0.08377896,-0.35655057,-0.34840217,-0.50388455,
00000000000000000016_0,-0.30374533,-0.026157908,-0.40976462,-0.48258197,-0.5612286,-0.3773389,-0.45253864,-0.36429143,-0.32199547,-0.4923928,-0.35964912,-0.417,-0.23848239,-0.31092438,-0.61204016,-0.5197368,-0.5011236,-0.14373654,-0.5106209,-0.53588516,-0.55047107,-0.7163493,-0.41649485,-0.53050065,-0.66056913,0.29829505,-0.52517986,-0.51129556,-0.5920398,-0.4933641,-0.37439078,-0.54855925,-0.5451264,
00000000000000000017_0,-0.44427246,-0.39583334,-0.5182668,-0.2733813,-0.47805342,-0.5658627,-0.45337343,-0.33006135,-0.4041096,-0.47593582,-0.4747191,-0.5273339,0.008973858,-0.45727482,-0.58129174,-0.48037383,-0.30347735,-0.09137515,-0.40190303,-0.5886076,-0.6150713,-0.70149255,-0.37212223,-0.50546837,-0.53011024,0.31004763,-0.31259722,-0.41331434,-0.55898225,-0.48693958,-0.30182177,-0.4957265,-0.49465746,
00000000000000000018_0,-0.5307836,-0.47555012,-0.50699675,-0.48610383,-0.47752127,-0.5466378,-0.45820105,-0.3435859,-0.33711693,-0.43020114,-0.43787575,-0.49979088,-0.041412722,-0.5767635,-0.5718128,-0.4811219,-0.39846006,-0.5200793,-0.41567066,-0.50769234,-0.62922466,-0.69140625,-0.42979127,-0.5300546,-0.5914718,-0.65325075,-0.34664765,-0.5710503,-0.50384617,-0.41076234,-0.3566243,-0.43425414,-0.4658834,
00000000000000000019_0,-0.48414576,-0.55253214,-0.33255813,-0.21671526,-0.5553785,-0.48615634,-0.4078624,-0.19391635,-0.34117648,-0.43758574,-0.29397216,-0.571835,-0.37819025,-0.51610863,-0.42016807,-0.46404603,-0.32952496,-0.012436289,-0.38881776,-0.5458891,-0.50707966,-0.34726962,-0.35553557,-0.47644684,-0.5399645,0.19094312,-0.6451613,-0.0691358,-0.49119717,-0.3125,-0.34567228,-0.40656206,-0.4182058,
0000000000000000001a_0,-0.14285715,-0.07350689,-0.3704149,-0.44565782,-0.48754448,-0.4875817,-0.45848757,0.8902954,-0.4510345,-0.52755904,-0.43365696,-0.532766,-0.27204782,-0.54466563,-0.5386549,-0.44289693,-0.43284896,-0.2857143,-0.44144145,-0.58338207,-0.29301843,-0.57718426,-0.6655012,-0.48991355,-0.6624204,-0.5121951,-0.625211,-0.13385826,-0.4884885,-0.49634627,-0.39599758,-0.43875277,-0.49745157,
0000000000000000001b_0,-0.21271764,-0.5272727,-0.5610702,-0.581063,-0.64285713,-0.5184859,-0.4944104,-0.45784783,-0.41590613,-0.43828788,-0.5497018,-0.44486335,-0.31650895,-0.3637532,-0.62783504,-0.5256588,-0.32194617,-0.43560606,-0.60962844,-0.6673789,-0.56426513,-0.73502195,-0.5517609,-0.59686726,-0.6413044,0.36197472,-0.62737644,-0.62428844,-0.6106119,-0.5845725,-0.4863388,-0.23349856,-0.5737594,
0000000000000000001c_0,-0.14701131,-0.22775264,-0.3777336,-0.09157509,-0.41830066,-0.47560087,-0.41303408,-0.338896,-0.3886572,-0.44035533,-0.51445967,-0.22423398,-0.52367425,-0.4096186,-0.6103896,-0.25449872,-0.5002576,-0.032357812,-0.4329897,-0.51829016,-0.48105517,-0.6165274,-0.4121715,-0.4830615,-0.6543346,0.35351282,-0.5614308,-0.5252336,-0.4310231,-0.4269341,-0.4133457,-0.39181286,-0.50302297,
0000000000000000001d_0,-0.38631555,-0.27286944,-0.4034253,-0.34736842,-0.46226415,-0.22663802,-0.4010025,1.125,-0.41299608,-0.42797494,-0.315832,-0.4542009,-0.24159022,-0.37429264,-0.096345514,-0.40101522,-0.37195122,-0.04928159,-0.45740497,-0.5408867,-0.21030235,-0.51236343,-0.58654636,-0.49530762,-0.4449117,0.26278147,-0.5009346,-0.19602181,-0.44344473,-0.41166666,-0.40441522,-0.30524704,-0.4859287,
0000000000000000001e_0,0.18008299,-0.505176,-0.29219332,-0.11174242,-0.5240642,-0.41229555,-0.36585367,1.0585842,-0.34434563,-0.4075211,-0.48994514,-0.39908952,-0.41450778,-0.38935575,-0.5847526,-0.34146342,-0.5110803,-0.13687392,-0.4871795,-0.5690073,-0.4969419,-0.70542634,-0.4051355,-0.38656718,-0.53328663,0.3449604,-0.63319385,-0.4505893,-0.26881722,-0.31390134,-0.28377646,-0.24848485,-0.3537285,
0000000000000000001f_0,-0.5547765,-0.5977401,-0.48984566,-0.37612733,-0.6074468,-0.5366156,-0.46993464,-0.55886215,-0.39728218,-0.51619047,-0.40823528,-0.43721634,-0.61633056,-0.46753246,-0.6241814,-0.48134327,-0.44954127,-0.36835748,-0.5681259,-0.50731057,-0.6248168,-0.7091541,-0.4680648,-0.5282686,-0.6243842,0.28342867,-0.61264014,-0.5886305,-0.4923717,-0.5399538,-0.43305188,-0.3986637,-0.5116823,
00000000000000000020_0,-0.503428,-0.61154175,-0.5372036,-0.46603382,-0.6450917,-0.5003674,-0.47994056,1.1147541,-0.40701002,-0.48336798,-0.47848627,-0.38493294,-0.5285338,-0.35939643,-0.51611733,-0.47292417,-0.55793774,-0.52902156,-0.47826087,-0.42500743,-0.5355224,-0.69029593,-0.4155917,-0.44872257,-0.59050775,0.23076923,-0.592681,-0.6323987,-0.52971137,-0.5069444,-0.43747565,-0.13400617,-0.5361509,
00000000000000000021_0,-0.2536294,-0.47554347,-0.533532,-0.47052363,-0.5233437,-0.4256472,-0.45087108,-0.39006078,-0.35808024,-0.27459806,-0.5505618,-0.4075547,-0.5080363,-0.30432504,-0.2039031,-0.49747476,-0.47056258,-0.4355426,-0.4954683,-0.64988816,-0.556314,-0.71143174,-0.47603536,-0.5447088,-0.61084807,0.3499821,-0.49174917,-0.5904437,-0.478337,-0.4510234,-0.4395146,-0.55959964,-0.2446352,
00000000000000000022_0,-0.2,-0.15229717,-0.51847136,-0.5009804,-0.4028436,-0.5205832,-0.40633556,-0.3632843,-0.4470486,-0.511811,-0.51688313,-0.47869903,-0.5751196,-0.37706855,-0.58468676,-0.4892221,-0.52628946,-0.078982204,-0.5066288,-0.61152613,-0.46233383,-0.70481926,-0.36938202,-0.5296804,-0.640993,0.2459133,-0.6143387,-0.63173836,-0.47373688,-0.5210946,-0.4296029,-0.3442293,-0.25685427,
00000000000000000023_0,0.0063327574,-0.13513513,-0.4212621,-0.21752498,-0.4881226,-0.4738707,-0.35434574,-0.4145402,-0.12628256,-0.41129032,-0.4317032,-0.41023558,-0.47245762,-0.47186148,-0.103664264,-0.36530775,-0.51292515,-0.07720229,-0.44418052,-0.5954861,-0.45699182,-0.6944621,-0.45454547,-0.20415226,-0.6300646,0.29468983,-0.48365527,-0.44549355,-0.4483166,-0.31593257,-0.30049706,-0.46666667,-0.4210187,
00000000000000000024_0,-0.23091881,-0.60865563,-0.5056,-0.34507042,-0.40104556,-0.3670549,-0.41568205,-0.36060038,-0.3255287,-0.5318693,-0.48603353,-0.41417652,-0.61276126,-0.4571933,-0.19633152,-0.47336245,-0.5312847,-0.53147143,-0.49281314,-0.64529175,-0.60622317,-0.70870113,-0.47757515,-0.4509974,-0.5339912,0.29407936,-0.6226013,-0.29808775,-0.44338626,-0.48965517,-0.27159533,-0.534715,-0.26086956,
00000000000000000025_0,-0.15637065,-0.36050156,-0.34441558,-0.025139665,-0.39270172,-0.41406816,-0.3345091,-0.3773585,-0.2889281,-0.41208792,-0.37170675,-0.3021375,-0.08646392,-0.26772884,-0.23923925,-0.29723877,-0.4473342,-0.103134796,-0.47000983,-0.3175915,-0.5030043,-0.65673757,-0.34494773,-0.41105223,-0.3081761,0.28650355,-0.6064473,-0.41966102,-0.19464721,-0.39972898,-0.31218275,-0.45454547,-0.42705882,
00000000000000000026_0,-0.17971443,-0.6020361,-0.4108584,-0.2029321,-0.62233734,-0.5403473,-0.4426476,-0.340525,-0.47783732,-0.5131579,-0.44031832,-0.2972973,-0.530897,-0.48683092,-0.62001127,-0.47728187,-0.384542,-0.2320522,-0.41961652,-0.5790467,-0.5457317,-0.53497285,-0.33404863,-0.4697183,-0.6207627,0.28371564,-0.49006838,-0.5049096,-0.48563078,-0.50481987,-0.34147218,-0.5594366,-0.3847487,
00000000000000000027_0,-0.18630503,-0.4476327,-0.4151039,-0.45723337,-0.46727335,-0.5595538,-0.4369199,-0.49247745,-0.4006024,-0.5389948,-0.5200777,-0.46052632,-0.30518854,-0.4352381,-0.21893089,-0.09158416,-0.4555425,-0.5311118,-0.57495105,-0.61727864,-0.54479605,-0.7157895,-0.40819672,-0.50269943,-0.60741746,0.35603625,-0.4654162,-0.5144158,-0.47913563,-0.4090268,-0.39684626,-0.5250918,-0.52146816,
00000000000000000028_0,-0.47506338,-0.5812357,-0.4434572,-0.37739465,-0.516129,-0.5361828,-0.40847984,-0.29724973,-0.3268045,-0.4768145,-0.4526316,-0.34461805,-0.46587744,-0.43479896,-0.36966825,-0.43781322,-0.48518896,-0.43636364,-0.44609523,-0.5646552,-0.411034,-0.6760391,-0.47609755,-0.44030324,-0.3262136,0.2991816,-0.5416309,-0.47741148,-0.39680335,-0.13164966,-0.32819948,-0.53306615,-0.4603832,
00000000000000000029_0,-0.19741565,-0.52038044,-0.3853325,-0.16083086,-0.6017316,-0.36731106,-0.44229338,-0.37485126,-0.44063586,-0.48885587,-0.50421053,-0.23076923,-0.24705066,-0.38193345,-0.12551723,-0.44037122,-0.20581257,-0.30208334,-0.505032,-0.30923694,-0.5783529,-0.5372187,-0.4432362,-0.5157658,-0.516094,0.30017084,-0.5580569,-0.46616542,-0.4607646,-0.509901,-0.35007727,-0.5240128,-0.4910243,
