system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,VALUE,.geo
00000000000000000000_0,0.74625146,0.8508584,0.9207459,0.8663304,0.8869604,0.7924188,0.8294518,0.8967365,0.8955224,0.85908824,0.88346034,0.89050835,0.8492187,1.0364465,1.6252588,0.9114219,0.8582677,1.007362,0.89920807,1.0350318,0.9114219,1.0573066,0.91569084,0.86836696,1.1216216,1.0736196,0.98342544,0.8652807,0.85467756,0.7705287,0.46645108,0.4858871,0.8313865,1.0,
00000000000000000001_0,0.7980407,0.83365756,0.95977014,0.8641115,0.86103964,0.85779583,0.8457088,0.9074863,0.90643275,1.092827,0.9118607,0.8550555,0.8434004,0.8471966,0.8854167,0.87573963,0.93957704,0.924812,0.95679015,0.8590873,1.1634241,1.2116183,1.4255319,0.94520545,1.1198157,1.6666666,1.6792452,0.8008658,0.8000746,0.7774068,0.69655174,0.7662464,0.79949665,1.0,
00000000000000000002_0,0.8918742,0.89641434,0.88359135,0.96375465,0.869846,0.8882125,0.8914928,0.908579,0.8997821,0.9047341,0.90950865,0.8829938,0.8456935,0.8685146,0.85398364,0.8950216,0.9028571,0.8994274,0.9,0.92070484,0.8928907,0.9093783,1.036036,0.8837144,0.924001,0.9130435,0.9114911,0.880651,0.8834681,0.87300575,0.8289512,0.8434382,0.876516,1.0,
00000000000000000003_0,0.79350764,0.85626286,0.9498208,0.8301187,0.8579356,0.87350833,0.8491515,0.9610895,1.2150538,0.9076923,0.97692305,1.1725888,0.85809684,0.8832753,1.0705128,0.84432715,0.903125,0.920354,0.951049,0.9158576,0.97540987,3.25,1.8280255,0.84832454,1.7058823,2.2653062,2.5294118,0.82102907,0.85006464,0.7870968,0.7418033,0.7624724,1.0,1.0,
00000000000000000004_0,0.80749685,0.84428495,0.72493035,0.6870987,0.6829337,0.7046905,0.73594254,0.78253704,0.7169298,0.7779544,0.6775661,0.65694773,0.79677737,0.76284987,0.7782577,0.7284768,0.7218187,0.78512794,0.7096858,0.7883942,0.7162719,0.75067866,0.80533063,0.81056887,0.87966806,0.7783898,0.6795831,0.82439333,0.7754825,0.7483221,0.7113402,0.64166665,0.7254692,1.0,
00000000000000000005_0,0.86204785,0.8442822,0.7636905,0.71675676,0.7639576,0.68174344,0.7641953,0.7462006,0.80300385,0.77967036,0.8192234,0.7411467,0.8118136,0.8048048,0.7674282,0.7647059,0.78881985,0.8269803,1.2248243,0.81167024,0.84636116,0.75142854,0.80326855,0.59540063,0.85595566,0.83517766,0.85404336,0.6086331,0.7681585,0.7703349,0.6065995,0.63932943,0.6864564,1.0,
00000000000000000006_0,0.8040245,0.88126445,0.8244973,0.853717,0.8748682,0.7990581,0.897909,0.9150285,0.9475164,0.8898271,0.89041096,0.94135493,0.8689989,0.8889884,0.8989042,0.8770703,0.8774984,0.87966037,0.8978151,0.9357143,0.9238281,0.91178495,0.9154733,0.8645132,0.9086723,0.91233766,0.9178338,0.85117495,0.8840688,0.80138814,0.6948512,0.67402375,0.8564137,1.0,
00000000000000000007_0,0.8595866,0.859382,0.5973085,0.6072656,0.68066525,0.67164177,0.66792893,0.743871,0.7051745,0.68579423,0.71882087,0.76097745,0.8122345,0.80320764,0.7620321,0.6545633,0.73333335,0.7480974,0.76258993,0.7567766,0.7525711,0.6606272,0.7933306,0.8409437,0.7862721,0.8038462,0.7831644,0.6302777,0.6978417,0.65600973,0.48769498,0.49516353,0.6890534,1.0,
00000000000000000008_0,0.8680951,0.8775079,0.9517241,0.83035713,0.85188633,0.86269647,0.8655891,0.8800358,0.8659558,0.8901099,0.8860648,0.8849888,0.8545574,0.9060987,0.90375835,0.89514065,0.88224876,0.895082,0.8954403,0.8817377,0.9366654,0.9003559,0.93631136,0.8780488,0.91694725,0.92319506,1.1234568,0.88078177,0.87423414,0.8657581,0.68769807,0.7983523,0.8639839,1.0,
00000000000000000009_0,0.85172313,0.8846847,0.71308315,0.7234986,0.73267037,0.78848416,0.70991135,0.73317015,0.84389955,0.80174047,0.80453753,0.74481773,0.80502903,0.8021293,0.752229,0.79400593,0.78662974,0.799783,0.83537334,0.795904,0.78909385,0.7843204,0.84927315,0.81515956,0.83541906,0.78564256,0.8027972,0.7858757,0.8133544,0.79995334,0.7214286,0.693806,0.7434365,1.0,
0000000000000000000a_0,0.80344826,0.7773019,1.2323943,2.054945,1.0324324,0.76783216,0.9444444,0.9701493,1.0729483,1.0576131,1.0,1.032,1.3700787,1.0764331,0.9166667,1.0698413,1.0221403,1.0551181,1.0273224,0.935,1.1349694,5.3018866,4.12,0.81858903,2.982143,2.030303,2.6727273,0.78625953,0.7614858,1.16875,0.58686566,0.7882798,0.97356826,1.0,
0000000000000000000b_0,0.8407611,0.9037433,0.825716,0.83298784,0.88480633,0.8516275,0.8923213,0.90516037,0.86940014,0.9089317,0.8851613,0.8903776,0.82619977,0.9219409,0.82750994,0.8808347,0.88285166,0.9283039,0.89035916,0.90562147,0.909001,0.9341826,0.98086125,0.8589635,0.99222547,1.0358924,1.0527086,0.8384673,0.83936363,0.8199203,0.7909174,0.8030421,0.8390663,1.0,
0000000000000000000c_0,0.8469578,0.8661111,0.7265984,0.7731707,0.6707377,0.8166322,0.7063316,0.7480939,0.7669123,0.7568569,0.7547398,0.7654388,0.7121166,0.7701072,0.73536617,0.76810384,0.79945797,0.77888674,0.7568345,0.86923903,0.7501821,0.7650852,0.7692308,0.8044848,0.8327206,0.80016935,0.8291621,0.7801449,0.81143486,0.72423744,0.6300384,0.7557252,0.7399582,1.0,
