system:index,Brightness,Brightness_1,Brightness_10,Brightness_11,Brightness_12,Brightness_13,Brightness_14,Brightness_15,Brightness_16,Brightness_17,Brightness_18,Brightness_19,Brightness_2,Brightness_20,Brightness_21,Brightness_22,Brightness_23,Brightness_24,Brightness_25,Brightness_26,Brightness_27,Brightness_28,Brightness_29,Brightness_3,Brightness_30,Brightness_31,Brightness_32,Brightness_4,Brightness_5,Brightness_6,Brightness_7,Brightness_8,Brightness_9,VALUE,.geo
00000000000000000000_0,932.68713,1315.2104,512.5047,703.514,1712.1024,878.6297,1674.382,825.5808,925.5762,1386.4503,1732.1782,1567.8431,941.3839,824.08246,618.9161,1142.3447,949.2187,843.5541,1096.6294,718.8125,890.3211,1453.725,2102.133,1754.6519,867.2366,1673.8887,948.29407,1147.4781,1760.6984,1409.469,1013.4476,1254.1423,1727.9075,1.0,
00000000000000000001_0,780.5665,1507.0493,379.4376,1252.9224,665.02954,1121.4755,460.0584,1555.9043,1456.7206,1567.0199,1564.0278,1401.5902,1436.6942,1133.199,822.92957,1525.6848,1300.0775,1305.8547,1351.1207,1591.2864,1481.3834,897.3646,1695.1207,1465.9784,1528.847,1219.8947,1392.1971,1178.4847,1571.1741,1468.5355,2468.4163,1264.8844,1365.9282,1.0,
00000000000000000002_0,2418.6345,2937.1375,2550.3413,2667.8672,2898.3022,2808.662,2913.6487,3102.2524,3095.7031,2977.8145,2883.5046,2618.3298,2930.028,2699.788,2898.4746,2971.8286,3038.805,3100.3809,2894.492,2948.059,2970.626,3103.5767,3190.6016,3021.8623,3254.1597,2969.5703,3212.2947,2594.8452,2929.6152,2604.618,3489.8147,2880.576,2934.8584,1.0,
00000000000000000003_0,369.8341,1406.1554,279.782,1133.2196,1426.8201,847.4978,1112.7249,1052.8223,968.44116,1426.8477,1129.1084,705.9463,1724.8809,558.4097,307.35913,1117.3889,1088.3093,991.5408,906.1234,1584.5881,1117.9828,134.881,1585.2349,1505.6349,1566.7102,368.73846,1259.5007,375.7365,1856.1956,1535.0651,2200.0127,835.40204,1403.7698,1.0,
00000000000000000004_0,2624.1233,2800.589,2710.1123,3229.003,3423.3057,3556.6914,3305.6055,3250.063,3493.895,3378.6064,3684.78,3690.3723,2581.849,3521.0393,3749.9385,3642.214,3539.7744,3393.9019,3468.4258,3392.2202,3605.752,4529.1567,3989.916,2966.1128,3636.2734,3806.214,4203.858,2677.4246,2817.7688,2720.7517,3483.9949,3080.6118,3322.1206,1.0,
00000000000000000005_0,2739.4956,3256.726,2417.8872,2508.891,2408.691,3129.3586,2749.0764,2896.8489,3086.9207,3464.4556,3179.9775,3247.7292,3320.4795,2779.8833,2246.3071,2966.9375,2773.1536,2687.9673,2991.7942,2855.502,3514.5889,1986.6119,3888.71,3319.4126,2839.1367,3727.7778,3576.9023,2626.473,3359.6335,3762.5415,3489.8418,2320.0793,3799.0884,1.0,
00000000000000000006_0,1856.2275,1980.0027,940.2809,1465.4858,2245.1892,1796.3142,1591.665,1427.8782,1750.5419,2089.9568,1785.3726,1345.4912,1686.0613,1493.4412,1235.1553,1790.9167,1781.8756,1389.0146,1814.5039,1379.1262,1691.1096,1880.3417,2245.7844,2138.481,1400.56,2466.2812,1822.9705,2090.5793,2422.2788,1774.7751,1704.675,908.5278,2238.6045,1.0,
00000000000000000007_0,2355.8904,2257.0967,2232.2786,2653.4556,2483.5525,2532.968,2500.0916,2511.7803,2706.0435,2759.3445,2688.2437,2355.789,2024.8938,2756.6284,2748.122,3004.6184,2547.7463,2556.7202,2588.8115,2513.9763,2629.3296,3029.0786,2916.3337,2187.93,2717.59,2727.2861,2826.858,2298.436,2134.1396,2842.8528,2966.2007,2544.8738,2300.3293,1.0,
00000000000000000008_0,842.3151,2081.3933,521.7309,1254.2126,1752.6134,1677.2869,1782.8824,1961.1206,1883.3042,1809.2852,1960.073,1725.1365,2009.874,1779.7573,1765.2218,2121.5598,1891.9678,1950.5481,1940.3936,1966.178,2091.8213,2297.4558,2340.0134,2152.8164,2212.266,2123.8467,2199.0225,1151.0022,2291.2495,1472.2722,1991.7075,2100.874,2001.9703,1.0,
00000000000000000009_0,2795.7231,3029.8452,2596.1787,2987.8684,3112.8835,2745.2874,2993.2268,3165.8794,2995.059,3399.8672,2863.4136,2553.1433,2517.1633,2997.0679,2570.3633,3209.2942,3127.5806,2794.8352,2730.941,2702.251,2919.0728,2743.0598,3622.799,3147.9734,3387.1406,3210.0496,3573.4001,2906.3616,3377.9875,3501.2769,3399.6042,3755.248,3557.975,1.0,
0000000000000000000a_0,458.9372,600.0193,347.7554,537.1363,517.5608,486.7261,664.2538,569.88196,374.8178,690.521,754.4508,565.2709,535.4141,532.0659,359.68927,715.2755,851.5569,515.5657,406.0172,448.1839,811.3743,305.2115,410.0121,882.46246,567.5713,263.2239,433.6333,320.54956,700.91595,478.16516,1211.2859,765.643,798.7743,1.0,
0000000000000000000b_0,1241.8842,1827.1079,802.3263,1721.0986,1990.6846,1952.5443,1409.1954,1862.3124,1756.03,2059.5327,1704.5455,1520.4125,2396.8594,1469.4978,1700.4519,2376.2073,2152.5857,1758.9882,2000.72,2193.519,2202.751,1230.7887,2691.9116,2420.441,2536.2783,2146.0483,2167.9656,1290.6609,2048.8022,1997.7917,2753.4316,2232.2844,2052.1265,1.0,
0000000000000000000c_0,1698.2334,2477.8262,1704.0577,2646.534,3144.4707,2901.253,2523.2036,2803.1533,2784.602,2867.8975,2659.522,3015.8909,2652.0034,2519.632,2297.923,3093.1848,2730.6094,2579.727,2537.8865,2765.9717,2667.7134,2914.0818,3580.0522,2827.785,3473.331,2843.3425,3603.1035,2062.3862,2849.633,2934.6082,3582.066,2564.954,3335.8677,1.0,
0000000000000000000d_0,4022.1042,3772.2378,3951.493,3792.3398,3499.3928,3497.8357,3649.2593,3574.9507,3558.457,3378.442,3454.6477,3608.0068,3767.9675,3769.654,3647.0305,3552.1736,3576.886,3589.6313,3508.1362,3637.469,3342.1133,3689.2905,3366.0737,3602.5686,3536.6895,3672.3523,3733.2585,3713.1497,3442.621,4001.761,4156.088,3917.1802,3294.2593,1.0,
0000000000000000000e_0,2767.641,2755.7405,3068.2744,2778.811,2773.5864,2893.8525,2896.0027,2968.7217,3026.099,3114.362,2888.2568,2740.3464,2892.099,2976.4565,2993.266,2929.9878,2925.9531,3047.2744,2828.9834,3150.455,3224.0142,3238.0278,3220.4631,3078.9026,3164.4702,3366.8406,3244.0315,2998.0022,2952.996,2988.3853,3169.6245,2893.3882,2857.397,1.0,
