system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
00000000000000000000_0,188.5,141.0,85.0,159.0,127.0,174.0,263.0,111.0,112.0,165.0,133.0,154.0,148.0,114.5,109.5,118.0,193.0,145.0,126.0,96.0,121.0,101.0,194.0,214.5,49.0,118.0,79.0,140.0,197.0,243.5,330.0,414.0,211.5,1.0,
00000000000000000001_0,157.0,181.5,100.0,160.5,127.0,159.0,126.0,161.5,165.0,141.5,175.0,173.0,206.0,129.0,117.5,204.0,162.5,151.0,173.0,168.5,158.5,73.0,129.5,246.0,123.0,102.0,108.0,159.0,223.0,200.0,522.0,241.0,218.0,1.0,
00000000000000000002_0,306.0,289.0,257.0,274.0,291.0,301.0,292.0,262.0,265.0,261.5,264.5,303.0,328.0,288.0,273.0,293.0,269.0,264.0,226.5,263.5,254.0,208.0,192.0,299.5,243.0,211.0,189.0,253.0,336.5,319.0,576.0,323.0,332.0,1.0,
00000000000000000003_0,132.5,169.0,70.0,180.0,165.0,122.0,135.0,142.5,129.0,125.0,145.0,147.0,175.5,73.0,66.5,162.5,133.5,120.0,122.0,155.5,137.5,0.0,143.0,215.0,132.0,46.0,104.5,126.0,216.5,245.5,547.0,243.0,222.0,1.0,
00000000000000000004_0,396.0,421.0,615.5,689.0,623.0,721.0,716.0,678.0,710.0,547.5,805.0,795.5,375.0,655.0,799.5,780.0,727.5,679.0,643.0,683.5,719.5,676.5,622.0,439.0,491.5,648.0,743.0,326.0,408.0,434.5,669.5,652.5,623.0,1.0,
00000000000000000005_0,344.0,341.5,413.5,465.0,437.0,578.0,565.0,611.0,489.0,483.5,552.5,563.5,401.0,440.0,383.0,580.5,452.0,354.5,441.5,417.0,550.0,261.0,597.5,819.0,304.0,497.0,547.0,544.0,570.0,627.5,734.0,506.5,846.0,1.0,
00000000000000000006_0,291.0,227.0,109.0,188.5,184.0,231.5,238.0,171.0,145.0,174.0,196.0,139.0,175.0,181.0,142.5,172.0,200.0,139.0,152.0,145.0,159.0,152.0,149.0,243.5,105.0,183.0,146.5,213.0,285.0,290.0,323.0,192.0,213.0,1.0,
00000000000000000007_0,280.0,305.5,541.0,656.0,619.0,584.0,588.5,505.0,578.5,616.5,535.0,494.0,273.5,570.5,580.0,693.5,508.0,433.0,534.0,448.5,602.0,542.0,470.0,253.0,368.0,398.5,399.0,479.5,443.0,702.0,802.5,692.0,586.0,1.0,
00000000000000000008_0,168.0,203.5,117.0,188.5,159.0,234.0,198.0,185.0,227.0,214.0,198.5,196.0,211.5,183.0,205.0,293.0,215.0,187.0,203.0,209.0,196.5,160.0,158.0,238.5,150.0,168.5,138.0,157.0,218.0,177.0,382.5,294.0,221.0,1.0,
00000000000000000009_0,312.0,368.0,479.5,559.0,560.0,464.0,593.5,590.5,470.5,542.0,456.0,471.0,426.0,524.0,449.0,634.0,489.5,369.0,341.0,443.0,569.0,416.0,422.0,699.0,386.0,482.0,526.0,500.0,791.0,719.0,706.0,860.5,647.0,1.0,
0000000000000000000a_0,99.5,111.0,87.0,126.5,104.5,115.0,137.0,134.5,80.0,109.5,138.0,87.5,119.0,97.0,76.0,103.5,104.0,103.0,75.0,76.0,122.0,21.0,13.0,157.0,54.0,0.0,25.0,75.0,150.5,105.5,300.0,176.0,172.0,1.0,
0000000000000000000b_0,207.0,228.0,161.0,288.0,203.0,255.0,206.0,214.0,210.5,229.5,206.0,216.0,318.0,256.0,266.0,240.0,200.0,219.0,201.0,212.0,178.5,88.0,149.0,297.0,167.0,130.0,143.0,215.0,288.0,261.0,529.5,361.0,269.5,1.0,
0000000000000000000c_0,288.5,293.0,396.5,583.0,594.0,681.0,564.0,553.0,508.5,512.5,649.0,563.0,562.5,508.0,448.0,663.0,540.0,507.5,464.0,528.5,498.0,454.0,601.0,476.0,531.5,450.5,575.0,485.0,425.5,695.0,812.0,493.0,654.0,1.0,
0000000000000000000d_0,680.0,649.5,628.0,570.5,476.0,567.0,599.0,620.5,515.0,531.0,531.0,520.0,694.0,536.0,502.0,502.0,548.5,515.5,557.0,543.0,518.5,428.5,389.0,586.0,393.0,351.0,379.0,519.0,612.0,795.5,804.5,735.5,548.0,1.0,
0000000000000000000e_0,331.0,267.0,353.0,347.5,270.5,359.0,319.0,315.0,309.0,269.0,285.0,268.0,250.5,263.0,277.0,294.0,324.5,276.0,276.5,278.5,233.0,194.5,214.5,296.0,224.0,214.0,199.0,294.0,314.0,349.0,402.5,383.0,372.0,1.0,
0000000000000000000f_0,280.5,322.0,138.0,314.0,324.0,318.0,306.0,292.0,264.5,263.0,257.0,239.5,251.0,247.0,238.0,249.5,224.0,221.0,196.0,214.0,185.0,166.0,166.5,307.5,184.0,178.0,160.0,217.0,553.0,399.0,417.0,393.0,323.0,1.0,
00000000000000000010_0,328.0,393.0,223.0,340.0,361.5,377.0,349.0,289.0,498.0,302.5,685.0,481.0,310.0,447.5,509.5,533.5,505.0,431.0,376.0,386.0,531.0,393.0,651.0,366.0,607.0,512.0,620.5,370.0,457.0,214.5,583.0,436.0,356.0,1.0,
00000000000000000012_0,521.5,518.0,478.0,565.0,529.5,554.0,576.0,485.5,593.0,501.0,483.5,546.0,419.0,530.5,552.5,593.0,566.0,564.0,562.0,549.0,471.0,791.5,559.5,390.5,488.0,501.0,706.0,423.0,591.0,569.0,716.0,572.0,566.0,1.0,
00000000000000000013_0,692.0,547.0,472.0,497.5,518.0,504.0,445.0,596.0,542.5,452.0,466.0,523.0,407.0,471.0,492.0,552.0,438.0,438.5,402.0,421.0,534.0,397.5,437.5,416.5,386.0,346.0,359.0,399.0,556.0,495.5,613.0,626.0,633.5,1.0,
00000000000000000014_0,608.0,852.0,595.0,750.0,831.0,821.0,716.0,741.5,749.5,638.0,719.0,612.5,731.0,527.5,539.0,692.0,561.5,472.0,464.5,508.0,508.0,496.0,438.5,1197.0,431.0,415.0,405.0,1177.5,1013.0,906.0,913.5,493.0,725.0,1.0,
00000000000000000015_0,431.5,421.5,463.0,582.5,560.5,496.0,502.5,466.5,483.0,417.5,457.0,444.5,422.5,401.5,431.0,415.0,405.5,387.0,367.0,385.0,383.0,295.0,301.0,454.5,303.0,317.0,303.0,399.0,427.0,480.5,779.0,585.0,481.0,1.0,
00000000000000000018_0,678.0,473.0,428.5,499.5,390.0,608.0,596.0,616.0,565.0,514.0,631.0,485.0,451.0,542.0,548.0,583.0,577.5,488.0,483.0,561.0,637.0,617.0,536.0,488.0,468.5,423.0,521.0,434.0,362.0,554.0,870.5,922.0,514.5,1.0,
00000000000000000019_0,207.0,246.0,154.0,204.0,199.0,202.0,195.0,222.0,184.5,199.0,198.0,205.0,210.5,186.0,163.0,190.0,224.0,181.0,172.5,242.0,139.0,135.5,168.0,226.0,133.5,151.5,166.0,200.0,229.0,246.0,361.0,213.5,243.0,1.0,
0000000000000000001a_0,518.0,464.0,435.0,448.5,365.0,532.5,557.0,566.0,595.0,527.0,577.0,671.0,432.0,638.0,802.0,968.0,1025.0,790.0,615.0,699.0,651.0,770.0,687.5,512.0,650.0,504.5,585.5,692.0,555.0,485.0,797.5,754.0,471.0,1.0,
0000000000000000001b_0,195.0,214.5,159.0,225.5,180.0,239.0,198.5,207.0,198.0,210.0,191.0,181.0,208.0,161.0,190.5,211.0,218.0,197.5,189.5,174.0,172.0,101.0,161.0,231.5,172.0,142.0,153.0,171.0,259.0,300.0,330.0,299.0,229.5,1.0,
0000000000000000001c_0,470.0,473.0,616.0,552.0,514.0,598.0,589.0,583.0,619.0,502.0,600.0,565.0,445.5,628.0,646.5,582.0,632.0,614.0,574.0,658.5,499.0,513.0,486.0,476.0,438.5,311.0,349.0,436.0,570.0,610.0,795.5,716.0,582.0,1.0,
0000000000000000001d_0,354.5,366.0,800.0,622.5,676.0,636.5,742.0,752.5,838.0,541.0,688.0,804.0,360.0,736.0,486.0,631.0,505.0,542.0,577.0,536.0,554.5,594.0,1056.0,316.0,1051.5,927.0,726.0,537.0,518.0,503.0,681.0,644.0,622.0,1.0,
0000000000000000001f_0,330.5,577.5,930.5,842.5,803.5,757.0,686.0,1017.0,730.5,628.0,824.5,708.0,681.0,782.5,693.0,800.0,803.0,641.0,570.0,807.5,746.5,678.0,669.5,811.0,573.0,674.0,679.0,991.0,808.0,824.0,1098.0,1078.0,919.0,1.0,
00000000000000000020_0,572.0,757.5,573.0,636.0,560.0,558.0,592.5,522.0,737.0,1382.0,1006.0,711.0,710.0,639.0,664.0,733.0,684.0,605.0,633.0,616.0,546.0,873.0,363.0,708.5,388.5,240.0,273.0,530.0,530.0,686.5,773.0,755.0,564.0,1.0,
00000000000000000021_0,310.0,262.0,291.5,508.5,378.5,413.0,494.5,654.0,532.0,436.0,457.5,346.5,276.5,338.0,330.5,414.0,371.0,394.5,339.0,315.0,323.0,162.0,338.5,642.0,302.0,240.0,227.0,443.0,488.0,649.0,638.0,573.5,427.0,1.0,
00000000000000000022_0,641.0,664.0,473.5,580.5,521.5,649.5,501.5,570.0,481.5,482.0,575.5,530.0,601.5,486.0,454.0,544.0,461.0,435.0,480.0,471.5,479.5,518.0,328.0,684.0,570.5,354.0,455.0,531.0,686.0,530.0,747.0,829.0,581.5,1.0,
00000000000000000023_0,468.0,462.0,913.0,822.0,800.0,880.0,963.0,1190.0,1236.0,850.0,1126.0,900.5,419.0,790.0,1096.0,999.0,1004.0,815.0,611.0,957.0,966.0,887.0,862.0,411.0,946.5,840.5,868.0,1039.0,899.5,917.0,1096.5,1095.0,1109.0,1.0,
00000000000000000025_0,175.0,301.0,195.0,303.0,330.5,443.5,285.0,341.0,373.0,397.0,468.0,356.5,372.0,215.0,231.0,391.5,246.0,191.0,336.5,462.5,225.0,317.0,374.0,310.5,191.0,227.0,296.0,224.0,416.0,367.5,460.5,549.0,368.5,1.0,
00000000000000000027_0,323.0,261.0,572.0,443.0,381.5,521.5,487.5,403.5,473.0,375.0,401.0,420.0,277.0,450.0,392.0,356.0,337.5,338.0,333.5,497.0,548.0,426.0,405.0,277.0,511.0,499.0,451.0,632.0,593.0,644.5,776.0,700.5,688.5,1.0,
00000000000000000028_0,310.0,392.0,246.0,311.0,233.0,441.5,384.0,400.5,338.0,354.5,346.0,274.0,356.5,315.0,286.0,311.0,303.0,224.0,268.0,304.0,276.0,298.0,232.0,291.5,183.5,191.0,233.0,309.0,348.0,341.0,502.0,316.5,288.5,1.0,
00000000000000000029_0,569.0,529.0,489.0,504.0,692.0,544.0,539.0,524.0,537.0,597.0,579.0,408.0,618.0,379.0,401.0,770.5,672.0,508.0,429.0,580.0,654.5,710.5,631.5,767.0,527.0,540.0,604.0,627.0,633.0,554.0,639.5,546.0,530.5,1.0,
0000000000000000002a_0,418.0,560.0,501.0,517.0,422.0,478.5,480.0,604.0,556.0,535.0,701.0,454.0,473.0,502.0,447.0,515.0,433.5,415.0,438.0,531.5,431.0,405.0,347.0,560.0,357.0,332.5,430.0,566.0,543.0,557.0,802.0,1046.0,633.0,1.0,
