system:index,SWIR1,SWIR1_1,SWIR1_10,SWIR1_11,SWIR1_12,SWIR1_13,SWIR1_14,SWIR1_15,SWIR1_16,SWIR1_17,SWIR1_18,SWIR1_19,SWIR1_2,SWIR1_20,SWIR1_21,SWIR1_22,SWIR1_23,SWIR1_24,SWIR1_25,SWIR1_26,SWIR1_27,SWIR1_28,SWIR1_29,SWIR1_3,SWIR1_30,SWIR1_31,SWIR1_32,SWIR1_4,SWIR1_5,SWIR1_6,SWIR1_7,SWIR1_8,SWIR1_9,VALUE,.geo
00000000000000000000_0,395.0,544.0,171.0,241.0,787.0,410.0,774.0,406.0,321.0,718.0,812.0,668.0,390.0,335.0,230.0,443.5,486.0,343.5,475.0,294.0,397.0,697.5,925.0,747.5,379.0,719.0,402.5,452.0,661.0,609.5,271.0,476.5,868.5,1.0,
00000000000000000001_0,261.5,690.0,102.0,631.0,245.0,553.0,124.0,698.0,681.0,709.5,739.0,661.0,579.0,517.0,366.0,650.5,632.5,686.0,680.0,791.5,649.5,417.0,789.0,658.0,742.0,566.0,684.0,604.0,645.5,712.0,1054.0,495.0,559.0,1.0,
00000000000000000002_0,1357.0,1571.0,1447.5,1598.0,1611.5,1668.5,1691.0,1669.0,1646.0,1616.5,1638.5,1446.0,1723.0,1577.5,1644.0,1649.5,1597.5,1652.0,1567.0,1605.5,1519.0,1610.0,1587.0,1779.5,1657.0,1606.0,1608.0,1435.0,1462.5,1548.0,1689.0,1659.0,1641.0,1.0,
00000000000000000003_0,87.0,671.0,93.0,588.0,816.0,410.0,400.0,508.5,458.5,686.0,489.0,299.0,797.5,260.0,90.0,451.0,530.5,522.0,484.0,817.0,504.5,53.0,806.0,565.0,795.0,158.5,619.5,114.0,903.5,749.5,1060.0,274.0,708.5,1.0,
00000000000000000004_0,1542.5,1531.0,2001.5,2268.0,2043.0,2294.5,2220.5,2295.0,2417.0,2161.0,2268.0,2330.0,1457.5,2197.0,2502.5,2520.0,2264.5,2179.0,2219.0,2233.5,2456.0,2740.0,2245.0,1674.5,2021.0,2144.0,2519.0,1526.0,1618.5,1498.0,2150.5,2001.0,2158.0,1.0,
00000000000000000005_0,1475.5,1765.5,1426.5,1601.0,1541.0,2113.0,1643.0,1856.0,1571.0,1874.0,2144.5,1820.5,1787.5,1554.5,1417.5,1872.5,1693.5,1399.0,1695.5,1492.0,2029.5,1126.0,2340.5,2313.5,1485.0,1844.0,1927.0,1766.0,1997.0,1979.5,2204.5,1310.0,2603.5,1.0,
00000000000000000006_0,773.0,934.0,477.5,666.5,1106.0,897.0,625.0,656.0,747.0,906.0,869.0,708.0,814.0,720.0,608.0,796.0,857.5,663.5,813.5,670.5,817.5,859.0,974.0,1011.5,649.0,1074.0,835.5,979.0,1005.0,809.5,662.0,333.0,1138.5,1.0,
00000000000000000007_0,1347.0,1210.0,1671.0,1754.0,1735.0,1718.0,1854.0,1660.0,1778.0,1866.5,1817.0,1658.5,1106.5,1864.5,1907.5,2092.0,1792.0,1755.0,1828.0,1684.5,1723.0,1985.0,1842.5,1199.0,1667.0,1679.0,1705.0,1578.0,1313.0,2008.0,1876.5,1822.0,1599.0,1.0,
00000000000000000008_0,410.5,1060.5,259.0,717.0,857.0,895.0,981.0,991.0,1037.0,991.0,1024.5,979.0,946.0,953.0,997.0,1161.0,1038.5,1080.0,1008.0,1074.0,1089.0,1157.0,1166.0,1125.5,1116.0,1130.0,1108.0,554.0,1062.0,654.5,888.5,971.0,992.0,1.0,
00000000000000000009_0,1405.5,1586.0,1729.5,1984.0,2050.0,1883.0,2121.5,2169.5,1942.5,2148.0,1889.5,1706.0,1421.0,1815.0,1791.0,2407.0,2067.0,1867.0,1840.5,1797.0,2328.0,1895.0,2265.0,2178.5,2109.5,2143.0,2398.0,1604.0,2518.0,2156.0,1814.0,2534.0,2328.0,1.0,
