"","system.index","Brightness","Brightness_1","Brightness_10","Brightness_11","Brightness_12","Brightness_13","Brightness_14","Brightness_15","Brightness_16","Brightness_17","Brightness_18","Brightness_19","Brightness_2","Brightness_20","Brightness_21","Brightness_22","Brightness_23","Brightness_24","Brightness_25","Brightness_26","Brightness_27","Brightness_28","Brightness_29","Brightness_3","Brightness_30","Brightness_31","Brightness_32","Brightness_4","Brightness_5","Brightness_6","Brightness_7","Brightness_8","Brightness_9",".geo","CID","class"
"1","00000000000000000000_0",1231.1268,1912.6638,921.7453,1486.1643,1779.9939,1354.9976,1840.2622,1855.8462,1671.8375,1925.821,1900.2964,1951.0498,1756.4634,1433.1802,1347.0852,1839.517,1828.5424,1517.641,1655.118,1946.3293,1940.3086,1157.2134,2251.5754,2364.895,2269.3413,1612.5278,1828.5225,1491.2961,2045.4265,1717.8748,2479.7844,2181.603,1989.5902,NA,1,"for"
"2","00000000000000000001_0",1345.0183,1849.4816,911.3743,1599.4965,1616.2373,1598.3647,1617.0751,1813.8156,1697.4229,1949.8103,2002.144,1869.2831,1819.3873,1835.808,1462.5474,1912.8947,1849.2509,1689.5034,1825.1118,1770.7263,2012.6699,1480.761,2087.1682,2197.236,1984.894,1651.2078,2062.671,1231.7452,1806.4119,1547.0808,2243.7476,1973.3428,1801.2607,NA,2,"for"
"3","00000000000000000002_0",2481.6719,2842.5618,2242.1216,2415.713,2442.1323,2480.0894,2586.1387,2591.2793,2500.3843,2754.0632,2618.5635,2746.4946,2700.9966,2369.5066,2095.4038,2605.9,2506.2583,2271.3862,2277.5151,2356.4685,2389.067,2132.6929,2762.6282,2912.739,2693.0227,2464.6367,2400.897,2461.4087,3132.4773,2506.0413,2890.3867,2809.712,2625.9595,NA,3,"for"
"4","00000000000000000003_0",2006.4318,2501.2366,2037.048,2511.1125,2281.1907,2258.0278,2492.4905,2587.5195,2479.595,2737.3765,2658.79,2671.4211,2435.1997,2618.9775,2175.5715,2683.6167,2664.493,2480.4976,2515.3987,2503.1804,2430.356,2138.645,2767.9226,2602.1433,2732.5203,2424.4788,2552.4612,1955.8479,2865.4136,2475.2964,2578.174,2557.58,2635.4714,NA,4,"for"
"5","00000000000000000004_0",2345.824,2217.9692,1903.5339,2025.0977,2058.1328,2105.365,2262.6301,2309.0393,2315.4194,2337.0708,2232.1367,2331.4915,2053.9983,2334.7192,2387.977,2380.185,2331.8757,2389.9214,2304.8545,2302.059,2342.6367,2333.1016,2418.1997,2241.3943,2397.0469,2453.38,2293.3638,2096.1494,2191.605,2076.8882,2293.0166,2212.3613,1996.9808,NA,5,"for"
"6","00000000000000000005_0",2170.1057,2558.2913,2101.387,2493.0752,2477.5674,2058.6821,2266.348,2643.1719,2165.1914,2401.6143,2389.9258,2378.8909,2616.8909,2269.3838,2067.014,2351.9575,2361.8345,2181.6458,2266.186,2353.5469,2447.0977,1788.3923,2653.4,2868.9487,2578.7627,2107.4067,2446.2417,1939.0052,3012.3853,2467.9229,2471.2227,2547.8179,2454.6204,NA,6,"for"
"7","00000000000000000006_0",1877.6848,2325.4302,1753.9952,2138.9338,2321.659,2097.3481,2054.1772,2270.6384,2093.207,2317.306,2307.2405,2241.519,2232.5056,2199.484,1962.9694,2461.1917,2237.6782,2088.21,2114.213,2353.339,2148.5234,2183.9766,2587.7854,2520.7832,2503.0386,2044.2628,2441.521,1731.0833,2757.3484,2239.042,2319.8672,2523.5742,2294.1453,NA,7,"for"
"8","00000000000000000007_0",2453.151,2745.4995,2027.9514,2464.4714,2354.8096,2389.981,2424.0679,2581.3413,2443.5776,2673.2944,2598.229,2374.8408,2479.693,2438.3486,2543.7642,2519.5654,2459.5073,2479.7798,2553.0208,2621.9084,2505.4995,2283.8257,2745.4883,2762.9236,2730.1978,2453.0706,2722.7415,2303.6238,2638.6328,2425.588,2572.0857,2614.9875,2434.614,NA,8,"for"
"9","00000000000000000008_0",2041.4604,2524.3083,2082.3574,2374.028,2310.431,2358.6897,2382.5374,2561.7134,2286.8616,2726.8855,2518.2407,2621.4597,2312.6382,2199.421,2304.3875,2599.4844,2663.5156,2444.0684,2540.5664,2711.6233,2385.3633,2044.6809,2676.5632,2692.6072,2589.4424,2153.4514,2597.225,2158.0513,2855.0547,2524.9763,2496.6675,2636.2075,2533.9414,NA,9,"for"
"10","00000000000000000009_0",3300.0579,3374.9758,3216.9568,3331.3853,3060.8994,2952.5369,3068.5066,3142.3213,2945.109,3352.329,3217.1167,3150.7095,3511.2788,3345.6365,3051.495,3224.144,3192.3096,3173.0896,3163.7402,3143.0254,3183.3098,3172.2996,3462.2583,3469.0972,3399.5784,3362.8342,3384.547,3326.4072,3745.9639,3372.2998,3165.885,2957.1448,3004.7148,NA,10,"for"
"11","0000000000000000000a_0",2098.792,2805.3594,2298.9314,2792.6038,2633.064,2544.2327,2787.6606,2681.0347,2614.122,2873.8154,2835.8567,2796.163,2606.174,2665.173,2655.5378,2703.3926,2738.6323,2621.552,2713.3364,2829.8992,2679.5464,2396.636,3138.967,3124.4568,2898.4382,2798.764,2791.4626,2415.5474,2892.4995,2382.21,2616.3188,2849.6501,2845.6973,NA,11,"for"
