"","system.index","GREEN","GREEN_1","GREEN_10","GREEN_11","GREEN_12","GREEN_13","GREEN_14","GREEN_15","GREEN_16","GREEN_17","GREEN_18","GREEN_19","GREEN_2","GREEN_20","GREEN_21","GREEN_22","GREEN_23","GREEN_24","GREEN_25","GREEN_26","GREEN_27","GREEN_28","GREEN_29","GREEN_3","GREEN_30","GREEN_31","GREEN_32","GREEN_4","GREEN_5","GREEN_6","GREEN_7","GREEN_8","GREEN_9",".geo","CID","class"
"1","00000000000000000000_0",224.5,307.5,209,264.5,232,295,269.5,304,225,290,264,250.5,306.5,209,213,254,297,261,234,265,299,143.5,266.5,388,314,214,208,268,337,321,467,382.5,293,NA,1,"for"
"2","00000000000000000001_0",302,349,206,315,249,320,302,290.5,244,317,267,332,311,283,243,325.5,309,298.5,223,273,305,206,258,371.5,293,240,246,292,345,302,450,387,286,NA,2,"for"
"3","00000000000000000002_0",386.5,398,335,389,336.5,386.5,450,380.5,349,372.5,352,392.5,447.5,325,261,399,385,349.5,302,344,314,232,339,455,358,315,284,357.5,509,437,525.5,514,360,NA,3,"for"
"4","00000000000000000003_0",358,387,341,390,365.5,381,367,377,323,362,361,412,449,366.5,306,409.5,367,343,313,317,358,239.5,342,418,364,294,306.5,368,428,379,484,495,395,NA,4,"for"
"5","00000000000000000004_0",358,411,279,334,291,360,348,337,300.5,306.5,304,289.5,330,327,302.5,368.5,323.5,329,300.5,304,305,310.5,301,350,319,294.5,268,295,332,351,519,387,322,NA,5,"for"
"6","00000000000000000005_0",349,427,327,413,309,362.5,384,355,297,350,323,369.5,390,346,324,361,343,332,300.5,317,297.5,191,309,403,341.5,260.5,280.5,349,447,391,469.5,444.5,358,NA,6,"for"
"7","00000000000000000006_0",327.5,425,281,358.5,314,379.5,322,346,292.5,337,323,347,412,340,305,429.5,318,307,285,316.5,315,298,316,394,342.5,277,267,347,361,391,505,438,327,NA,7,"for"
"8","00000000000000000007_0",404.5,455,333,388.5,322.5,421,386,360,330.5,366,347,376.5,424,345,359,416,360.5,354,343,350,325.5,272,342,401,360.5,317,322,390,434,355.5,524,434,370,NA,8,"for"
"9","00000000000000000008_0",300,395,313,390,298,390,373,397.5,334,363,342,356,388,318.5,306,376,365.5,332,312,374,351.5,250,334,401,382,286,294,350,422,435,522.5,477,334,NA,9,"for"
"10","00000000000000000009_0",460,516.5,447,508.5,370,446.5,447,422.5,387,419,440,457,506.5,441,381,501,423,437,381,406,402,377,410.5,483,428,411,440,439.5,533,455,588.5,513,401,NA,10,"for"
"11","0000000000000000000a_0",413,461.5,324,447.5,319,402,440.5,405.5,360,382.5,411,397,454,351,350,393,377.5,358,343,359,377,288,372,485,379,336,340,368,464,445,569.5,447,396,NA,11,"for"
"12","0000000000000000000b_0",472,519,454.5,466,385,458,418,392.5,396,385,390,374,506.5,394,398,441,413.5,397,368,373.5,404,346.5,363,518,387,374.5,358,474.5,524.5,478,520,501,485.5,NA,12,"for"
"13","0000000000000000000c_0",528,538.5,452,454,364,460,397,399,403,398,420,389,511,404,377.5,417.5,399,393,357.5,364,394,345.5,372,525,370.5,339,359,446.5,529.5,557,573,523.5,464,NA,13,"for"
"14","0000000000000000000d_0",311,384,239.5,320.5,289,352,314,286,312.5,304.5,316.5,347,344.5,304,247,358.5,359.5,303,313,309,274,178,312,403.5,327,250,275,306,449,415,376,455,359.5,NA,14,"for"
