"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"1","00000000000000000000_0",0.52433765,0.5315315,0.57634115,0.6733601,0.54221064,0.51750237,0.49433962,0.62426287,0.5093229,0.46441948,0.5362731,0.5896861,0.56326985,0.52281827,0.55975795,0.5155939,0.46139118,0.5904628,0.47419617,0.47182426,0.5125858,0.4784876,0.47786024,0.5449814,0.47855917,0.55898565,0.4853017,0.570863,0.4787234,0.6145308,0.43353942,0.49376115,0.49881798,NA,1,"for"
"2","00000000000000000001_0",0.49473685,0.48273528,0.7240618,0.62446165,0.49262536,0.4786432,0.4914882,1.2156863,0.48438948,0.4612868,0.48712206,0.47146705,0.5173979,0.5027134,0.50071734,0.49300912,0.48493826,0.524,0.541502,0.46804014,0.49335957,0.45781466,0.4970111,0.49871135,0.49372384,0.64065707,0.50849056,0.5321155,0.47196594,0.49252242,0.4399664,0.4928092,0.5206612,NA,2,"for"
"3","00000000000000000002_0",0.4403731,0.47464043,0.46513605,0.4347826,0.44235712,0.4432582,0.44395867,0.83870965,0.44322804,0.45301646,0.43868273,0.42918456,0.43983546,0.48604205,0.45247418,0.42841193,0.42954773,0.45078924,0.4811321,0.4432456,0.49503163,0.4319022,0.4823484,0.44329897,0.47512802,0.45710626,0.49275082,0.4425612,0.43058747,0.44945568,0.48953202,0.44099975,0.43462896,NA,3,"for"
"4","00000000000000000003_0",0.49659508,0.50389206,0.4605762,0.49302325,0.48127207,0.48178914,0.4683973,0.82539684,0.5125149,0.4815675,0.45235893,0.47210032,0.4790941,0.4672374,0.5556582,0.49889135,0.44813696,0.5232816,0.48470208,0.45133752,0.48044944,0.5114364,0.55939084,0.50902283,0.4934245,0.6037209,0.52441734,0.44474602,0.4523702,0.4745597,0.4515405,0.46213835,0.49533334,NA,4,"for"
"5","00000000000000000004_0",0.43219265,0.4587356,0.4988067,0.50132006,0.48436075,0.51746655,0.50153846,0.90434784,0.5152463,0.59207267,0.4734929,0.4779478,0.45244387,0.45327103,0.4842491,0.47037265,0.4750327,0.49332637,0.47853827,0.47149676,0.48861018,0.45582855,0.5285481,0.48918834,0.48708043,0.48746803,0.4937552,0.5082793,0.4693737,0.48975673,0.4213801,0.46205145,0.44877726,NA,5,"for"
"6","00000000000000000005_0",0.48120302,0.4813698,0.5414132,0.5073977,0.56830335,0.47360483,0.4850023,0.46464208,0.49308175,0.4728836,0.46180904,0.5340118,0.48779193,0.4782197,0.47472838,0.49116346,0.4683735,0.57242584,0.5176661,0.4524715,0.60045147,0.49772727,0.50284785,0.46743488,0.48452753,0.511734,0.51629156,0.49590835,0.4665748,0.45391476,0.37064248,0.47767252,0.49099836,NA,6,"for"
"7","00000000000000000006_0",0.46907216,0.4998172,0.52884614,0.4991004,0.51222736,0.41345292,0.52291423,0.9505656,0.52729887,0.52198243,0.45321193,0.46464646,0.5339806,0.4713076,0.48498404,0.4668016,0.4296578,0.459799,0.48899487,0.4532925,0.46879607,0.47112265,0.5413185,0.4579164,0.4979021,0.48132542,0.50889915,0.506244,0.4788087,0.48990726,0.4077481,0.46737587,0.49215144,NA,7,"for"
"8","00000000000000000007_0",0.4444983,0.47609037,0.47409877,0.456869,0.4608905,0.40609136,0.48362234,0.44864866,0.45157167,0.4661558,0.46993157,0.4583115,0.5160915,0.46164447,0.46822184,0.47551623,0.4467706,0.48027277,0.463813,0.46011886,0.5484826,0.45892662,0.4918033,0.4356945,0.50535184,0.463363,0.49735007,0.46276012,0.43862167,0.44477436,0.40137494,0.46423316,0.46701846,NA,8,"for"
"9","00000000000000000008_0",0.42390078,0.47582698,0.44668278,0.45389876,0.45559105,0.44077426,0.42754346,0.43844303,0.43802026,0.44414994,0.43742955,0.449668,0.4698933,0.45480227,0.4829843,0.45111662,0.44713226,0.4756258,0.4933905,0.43696246,0.5340206,0.46966293,0.49365607,0.44156396,0.5142956,0.48537204,0.5026324,0.44460967,0.4403419,0.4432481,0.38041842,0.47305712,0.45648855,NA,9,"for"
"10","00000000000000000009_0",0.4458504,0.46329677,0.4722984,0.44031963,0.4662124,0.50111467,0.44614765,0.6310716,0.4340263,0.43541247,0.47401208,0.48326898,0.45042145,0.45457944,0.5592186,0.44660515,0.49132374,0.47424197,0.46829727,0.45348245,0.4609618,0.46096215,0.48664293,0.46120378,0.47683924,0.4766866,0.49756998,0.4646887,0.4674074,0.4548844,0.39073467,0.5362479,0.45069158,NA,10,"for"
