"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"1","00000000000000000000_0",-141.06035,-269.2221,-110.7081,-297.60693,-320.4483,-345.2784,-367.37848,-470.67444,-478.0912,-618.3985,-524.8407,-534.39844,-278.29752,-292.79364,-367.8289,-449.2085,-531.827,-343.6539,-442.3745,-454.8957,-716.2489,13.09565,61.69425,-388.1391,88.6889,61.985,51.65,-336.3936,-326.6168,-288.6599,-463.47595,-444.63916,-384.197,NA,1,"for"
"2","00000000000000000001_0",-216.94655,-312.0619,-99.0701,-145.7802,-243.5898,-274.9632,-300.7034,-454.0701,-431.9358,-561.58997,-467.29135,-513.7904,-265.4166,-388.6675,-319.87726,-411.68015,-473.1698,-330.94373,-393.4544,-462.25705,-567.8799,34.19725,150.7098,-336.06628,128.6893,93.6616,150.3967,-166.1906,-340.429,-228.20361,-407.04388,-381.4214,-317.2071,NA,2,"for"
"3","00000000000000000002_0",-538.1628,-603.7359,-405.369,-515.46576,-521.00555,-570.47906,-587.7756,-730.84924,-700.26385,-928.3476,-767.7404,-746.3436,-588.6366,-555.7607,-518.9942,-646.5484,-779.15265,-555.48914,-613.9578,-672.3174,-923.6436,-13.4580500000001,79.8269,-671.1885,78.8556999999999,48.4294500000001,106.3757,-490.0886,-584.7743,-513.146,-603.33356,-625.1804,-599.8804,NA,3,"for"
"4","00000000000000000003_0",-332.7374,-430.457,-351.7189,-454.5636,-396.8667,-437.6249,-458.50098,-757.705,-683.08325,-905.50214,-724.6315,-585.8072,-408.78168,-615.3535,-510.9576,-608.9675,-742.7447,-588.26154,-524.6987,-683.16,-782.1816,137.2828,151.5097,-608.5317,101.45925,138.8411,168.5125,-433.0134,-500.8335,-359.25293,-426.5104,-465.79187,-427.2171,NA,4,"for"
"5","00000000000000000004_0",-430.7496,-448.4464,-368.2481,-393.7568,-414.85107,-499.3093,-426.3188,-700.121,-714.3309,-848.29016,-657.8414,-608.8501,-380.4539,-617.79584,-732.34436,-649.1581,-707.54095,-598.0268,-627.53705,-587.2456,-847.8716,-22.34105,146.79055,-436.3743,53.3231500000001,96.4159,137.3491,-362.4983,-323.60858,-341.8841,-472.8966,-356.37457,-460.1721,NA,5,"for"
"6","00000000000000000005_0",-362.21695,-450.704,-296.23138,-516.0249,-348.3724,-472.5154,-479.5055,-712.0834,-625.6831,-828.6665,-679.9872,-661.98566,-420.8866,-538.3253,-475.6945,-482.4042,-562.3064,-467.8069,-518.4995,-612.5276,-849.7506,69.6922000000001,146.3377,-508.8448,80.9402,135.96615,141.05965,-300.6169,-496.94543,-436.7286,-540.8021,-476.96747,-430.4207,NA,6,"for"
"7","00000000000000000006_0",-320.28827,-396.5705,-306.5415,-457.2729,-362.6423,-451.5664,-448.97345,-668.94714,-581.3862,-753.01,-683.1116,-449.4415,-344.6037,-588.76935,-470.2037,-531.93787,-498.0001,-476.0494,-514.927,-572.6051,-694.9058,-5.54029999999995,125.65065,-487.6767,62.9861999999999,75.27875,117.7145,-281.894,-394.1555,-357.9429,-505.7714,-465.54745,-423.56036,NA,7,"for"
"8","00000000000000000007_0",-453.59985,-455.6682,-290.1513,-465.1983,-423.19284,-593.5101,-456.9095,-760.5165,-744.41797,-833.3752,-755.7329,-629.5502,-448.3396,-615.7214,-557.0692,-675.5517,-624.0177,-612.6913,-558.1546,-701.9197,-888.2793,42.5728999999999,113.4436,-477.1275,100.18185,111.3414,181.7327,-434.1129,-453.6727,-462.9161,-545.1561,-464.646,-490.2588,NA,8,"for"
"9","00000000000000000008_0",-427.4308,-472.7284,-420.7212,-508.2043,-454.2533,-544.4828,-560.6409,-828.6018,-675.5361,-909.2991,-712.93317,-707.0897,-473.5047,-540.8446,-584.151,-640.91595,-649.32214,-574.18567,-645.9385,-683.5973,-833.85297,44.4340999999999,105.0287,-619.6643,82.83035,69.2124999999999,134.59725,-416.5021,-532.4486,-447.0097,-648.6395,-573.5381,-597.9779,NA,9,"for"
"10","00000000000000000009_0",-617.1553,-668.6258,-579.8644,-644.2455,-559.6205,-769.6358,-618.7028,-984.8495,-992.0082,-1129.6672,-969.4746,-864.99133,-636.8456,-903.8314,-674.9983,-812.5222,-705.3236,-713.8795,-812.1227,-919.03644,-1031.4458,75.22585,201.782,-669.1705,51.8096999999999,168.9144,184.5117,-593.2777,-543.7933,-585.5751,-702.38586,-603.0173,-626.7735,NA,10,"for"
