system:index,BLUE,BLUE_1,BLUE_10,BLUE_11,BLUE_12,BLUE_13,BLUE_14,BLUE_15,BLUE_16,BLUE_17,BLUE_18,BLUE_19,BLUE_2,BLUE_20,BLUE_21,BLUE_22,BLUE_23,BLUE_24,BLUE_25,BLUE_26,BLUE_27,BLUE_28,BLUE_29,BLUE_3,BLUE_30,BLUE_31,BLUE_32,BLUE_4,BLUE_5,BLUE_6,BLUE_7,BLUE_8,BLUE_9,.geo
00000000000000000000_0,166.5,188.5,153.0,177.5,165.0,226.0,198.0,187.5,153.0,176.0,150.0,168.0,199.5,140.0,142.0,165.0,150.0,150.0,134.0,159.0,166.0,105.0,118.0,222.0,154.0,93.0,110.5,148.0,210.0,195.0,302.0,200.0,181.0,
00000000000000000001_0,197.0,250.0,133.0,211.0,108.0,201.0,181.0,197.5,141.0,173.5,172.5,215.0,216.0,151.0,126.5,190.5,192.0,186.0,141.0,175.0,149.0,108.0,105.0,212.0,114.0,111.0,104.0,131.0,203.0,171.0,311.0,185.0,187.0,
00000000000000000002_0,211.0,221.0,142.0,242.0,190.5,252.5,273.0,203.0,168.5,208.0,176.5,178.5,231.5,166.0,172.0,240.0,201.5,199.0,149.0,199.0,214.0,138.5,143.0,275.0,167.0,152.5,133.0,178.0,249.0,243.0,327.0,262.0,257.0,
00000000000000000003_0,207.0,248.0,222.0,245.0,182.5,226.5,238.5,203.0,170.0,187.0,179.0,241.0,280.5,210.5,193.0,261.0,190.0,204.5,158.0,206.0,191.0,137.5,160.0,237.0,163.5,149.0,139.0,190.0,237.5,188.5,294.0,257.5,254.0,
00000000000000000004_0,212.0,285.0,166.0,198.0,177.0,227.0,213.0,176.5,171.0,187.5,172.0,171.0,202.0,197.5,173.5,231.5,171.5,183.0,171.0,199.0,173.5,169.0,161.0,224.0,168.0,161.0,161.0,163.0,222.0,193.0,320.0,226.5,215.0,
00000000000000000005_0,250.5,250.0,208.5,257.0,193.0,235.5,241.0,210.5,161.5,192.0,206.0,208.0,223.0,182.0,176.0,214.0,190.0,191.0,157.5,179.5,181.5,105.0,139.0,254.0,155.0,134.0,130.5,194.0,238.0,216.0,339.5,230.5,220.0,
00000000000000000006_0,218.5,243.0,186.0,224.5,162.0,234.0,230.5,190.5,166.0,190.0,159.0,199.0,222.0,183.0,172.0,289.0,171.0,186.5,151.0,210.5,183.0,138.0,143.5,216.0,156.5,144.5,143.0,197.0,249.0,215.0,334.5,239.0,225.5,
00000000000000000007_0,260.5,261.5,167.0,228.5,185.5,257.0,235.0,209.0,185.5,214.0,178.5,209.5,248.0,203.0,208.0,248.0,187.0,214.0,172.0,200.0,182.5,164.0,168.0,253.0,173.5,162.0,158.0,176.0,245.0,237.5,369.0,259.0,218.0,
00000000000000000008_0,212.0,218.0,197.0,252.0,178.0,250.0,229.0,221.0,187.5,209.0,184.5,191.0,217.0,180.0,172.0,228.5,223.0,191.5,184.5,190.0,190.5,172.0,170.0,266.0,180.0,148.0,172.5,162.5,225.0,239.0,340.0,256.0,239.0,
00000000000000000009_0,281.0,291.5,229.0,292.0,218.0,262.0,268.0,208.5,215.0,217.0,227.0,245.5,299.5,248.0,231.0,298.0,262.5,233.0,204.5,226.0,214.0,216.0,189.5,264.5,209.0,204.0,221.0,207.0,292.0,259.5,354.0,266.0,266.0,
0000000000000000000a_0,257.0,240.5,197.0,256.5,193.0,246.0,251.0,226.5,169.5,206.0,222.0,230.5,252.0,187.0,161.0,219.0,218.0,190.0,186.0,200.0,194.0,167.0,158.5,281.0,177.0,162.0,147.0,217.0,256.0,285.0,365.0,192.5,244.0,
0000000000000000000b_0,354.0,283.0,240.0,281.0,200.0,274.0,249.0,211.0,201.5,198.0,190.0,213.0,285.5,206.0,200.0,220.0,239.5,211.0,199.0,199.5,202.0,165.5,152.0,267.0,171.0,188.0,172.0,239.5,284.5,245.0,330.5,302.0,263.0,
0000000000000000000c_0,298.0,301.0,199.0,282.0,177.0,254.0,226.0,237.0,202.5,221.0,230.0,207.0,272.0,225.0,200.0,237.5,224.0,211.5,195.5,209.0,204.0,166.5,150.5,288.0,173.5,174.5,169.0,235.5,278.5,267.0,307.0,279.0,249.0,
