system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,.geo
00000000000000000000_0,224.5,307.5,209.0,264.5,232.0,295.0,269.5,304.0,225.0,290.0,264.0,250.5,306.5,209.0,213.0,254.0,297.0,261.0,234.0,265.0,299.0,143.5,266.5,388.0,314.0,214.0,208.0,268.0,337.0,321.0,467.0,382.5,293.0,
00000000000000000001_0,302.0,349.0,206.0,315.0,249.0,320.0,302.0,290.5,244.0,317.0,267.0,332.0,311.0,283.0,243.0,325.5,309.0,298.5,223.0,273.0,305.0,206.0,258.0,371.5,293.0,240.0,246.0,292.0,345.0,302.0,450.0,387.0,286.0,
00000000000000000002_0,386.5,398.0,335.0,389.0,336.5,386.5,450.0,380.5,349.0,372.5,352.0,392.5,447.5,325.0,261.0,399.0,385.0,349.5,302.0,344.0,314.0,232.0,339.0,455.0,358.0,315.0,284.0,357.5,509.0,437.0,525.5,514.0,360.0,
00000000000000000003_0,358.0,387.0,341.0,390.0,365.5,381.0,367.0,377.0,323.0,362.0,361.0,412.0,449.0,366.5,306.0,409.5,367.0,343.0,313.0,317.0,358.0,239.5,342.0,418.0,364.0,294.0,306.5,368.0,428.0,379.0,484.0,495.0,395.0,
00000000000000000004_0,358.0,411.0,279.0,334.0,291.0,360.0,348.0,337.0,300.5,306.5,304.0,289.5,330.0,327.0,302.5,368.5,323.5,329.0,300.5,304.0,305.0,310.5,301.0,350.0,319.0,294.5,268.0,295.0,332.0,351.0,519.0,387.0,322.0,
00000000000000000005_0,349.0,427.0,327.0,413.0,309.0,362.5,384.0,355.0,297.0,350.0,323.0,369.5,390.0,346.0,324.0,361.0,343.0,332.0,300.5,317.0,297.5,191.0,309.0,403.0,341.5,260.5,280.5,349.0,447.0,391.0,469.5,444.5,358.0,
00000000000000000006_0,327.5,425.0,281.0,358.5,314.0,379.5,322.0,346.0,292.5,337.0,323.0,347.0,412.0,340.0,305.0,429.5,318.0,307.0,285.0,316.5,315.0,298.0,316.0,394.0,342.5,277.0,267.0,347.0,361.0,391.0,505.0,438.0,327.0,
00000000000000000007_0,404.5,455.0,333.0,388.5,322.5,421.0,386.0,360.0,330.5,366.0,347.0,376.5,424.0,345.0,359.0,416.0,360.5,354.0,343.0,350.0,325.5,272.0,342.0,401.0,360.5,317.0,322.0,390.0,434.0,355.5,524.0,434.0,370.0,
00000000000000000008_0,300.0,395.0,313.0,390.0,298.0,390.0,373.0,397.5,334.0,363.0,342.0,356.0,388.0,318.5,306.0,376.0,365.5,332.0,312.0,374.0,351.5,250.0,334.0,401.0,382.0,286.0,294.0,350.0,422.0,435.0,522.5,477.0,334.0,
00000000000000000009_0,460.0,516.5,447.0,508.5,370.0,446.5,447.0,422.5,387.0,419.0,440.0,457.0,506.5,441.0,381.0,501.0,423.0,437.0,381.0,406.0,402.0,377.0,410.5,483.0,428.0,411.0,440.0,439.5,533.0,455.0,588.5,513.0,401.0,
0000000000000000000a_0,413.0,461.5,324.0,447.5,319.0,402.0,440.5,405.5,360.0,382.5,411.0,397.0,454.0,351.0,350.0,393.0,377.5,358.0,343.0,359.0,377.0,288.0,372.0,485.0,379.0,336.0,340.0,368.0,464.0,445.0,569.5,447.0,396.0,
0000000000000000000b_0,472.0,519.0,454.5,466.0,385.0,458.0,418.0,392.5,396.0,385.0,390.0,374.0,506.5,394.0,398.0,441.0,413.5,397.0,368.0,373.5,404.0,346.5,363.0,518.0,387.0,374.5,358.0,474.5,524.5,478.0,520.0,501.0,485.5,
0000000000000000000c_0,528.0,538.5,452.0,454.0,364.0,460.0,397.0,399.0,403.0,398.0,420.0,389.0,511.0,404.0,377.5,417.5,399.0,393.0,357.5,364.0,394.0,345.5,372.0,525.0,370.5,339.0,359.0,446.5,529.5,557.0,573.0,523.5,464.0,
0000000000000000000d_0,311.0,384.0,239.5,320.5,289.0,352.0,314.0,286.0,312.5,304.5,316.5,347.0,344.5,304.0,247.0,358.5,359.5,303.0,313.0,309.0,274.0,178.0,312.0,403.5,327.0,250.0,275.0,306.0,449.0,415.0,376.0,455.0,359.5,
0000000000000000000e_0,431.0,419.0,306.5,381.0,332.5,399.5,387.0,382.0,335.0,382.5,360.0,335.0,408.5,334.5,334.0,400.0,385.0,355.0,315.5,326.0,316.0,292.5,325.0,409.0,345.5,323.0,308.0,367.5,420.0,387.0,530.5,438.0,387.5,
0000000000000000000f_0,445.0,408.5,319.0,347.0,297.0,357.5,339.5,342.0,320.0,336.5,320.0,298.5,404.0,305.0,306.0,346.0,348.0,303.5,279.0,281.5,297.0,258.5,264.0,447.5,303.5,284.5,256.0,404.0,413.0,418.5,515.0,418.0,334.0,
