system:index,SWIR1,SWIR1_1,SWIR1_10,SWIR1_11,SWIR1_12,SWIR1_13,SWIR1_14,SWIR1_15,SWIR1_16,SWIR1_17,SWIR1_18,SWIR1_19,SWIR1_2,SWIR1_20,SWIR1_21,SWIR1_22,SWIR1_23,SWIR1_24,SWIR1_25,SWIR1_26,SWIR1_27,SWIR1_28,SWIR1_29,SWIR1_3,SWIR1_30,SWIR1_31,SWIR1_32,SWIR1_4,SWIR1_5,SWIR1_6,SWIR1_7,SWIR1_8,SWIR1_9,.geo
00000000000000000000_0,521.0,888.0,333.0,687.0,897.5,745.0,819.0,877.5,788.0,979.0,848.5,883.0,798.5,657.5,622.0,928.0,926.0,695.0,835.0,953.0,1022.0,539.0,1045.0,1147.5,1075.0,788.0,948.5,731.0,943.0,714.0,1236.5,1125.5,986.0,
00000000000000000001_0,604.5,873.0,352.0,670.0,706.5,792.0,794.0,850.5,821.0,901.5,893.5,871.0,776.0,815.0,652.5,914.0,879.0,801.0,777.0,845.5,858.0,658.5,925.0,1020.5,926.0,784.0,856.0,453.0,827.0,611.0,1113.5,986.0,847.0,
00000000000000000002_0,1411.0,1593.0,1107.0,1285.0,1214.5,1363.5,1296.0,1276.5,1251.5,1395.0,1299.0,1325.0,1376.5,1156.0,977.0,1286.0,1280.0,1197.0,1217.0,1213.0,1268.0,1044.5,1322.0,1493.0,1373.0,1214.0,1172.0,1238.5,1505.0,1291.0,1522.5,1579.0,1488.0,
00000000000000000003_0,979.0,1239.0,992.0,1179.0,1123.5,1067.0,1185.5,1203.0,1185.5,1302.5,1258.0,1259.0,1108.0,1215.0,986.0,1296.5,1286.0,1144.0,1156.0,1162.0,1151.0,965.0,1276.0,1375.0,1235.0,1105.0,1200.0,1020.0,1347.5,1098.0,1333.0,1288.5,1209.0,
00000000000000000004_0,1139.0,1144.0,896.5,1016.0,1068.5,1129.0,1075.0,1179.0,1151.0,1159.5,1030.0,1091.0,990.0,1155.0,1172.0,1201.0,1134.5,1132.0,1130.5,1136.0,1196.5,1135.5,1155.0,1079.0,1188.5,1150.0,1085.0,979.0,964.0,984.0,1127.0,1048.5,966.0,
00000000000000000005_0,1058.5,1204.0,921.0,1229.0,1095.0,1113.5,1096.0,1244.5,1012.0,1177.5,1131.0,1168.0,1091.0,1062.0,955.0,1161.0,1183.0,1086.0,997.5,1127.5,1157.0,799.0,1181.0,1363.0,1249.0,998.0,1098.5,854.0,1424.0,1196.0,1284.5,1268.0,1181.0,
00000000000000000006_0,896.0,1072.0,802.0,1036.0,1067.0,1102.0,990.0,1131.5,1050.0,1100.0,1064.0,1006.0,1057.0,1048.0,967.0,1227.0,1125.0,997.0,970.0,1120.0,1025.0,1078.0,1183.5,1219.0,1162.5,979.0,1094.0,798.0,1319.0,1048.0,1146.5,1190.0,1068.0,
00000000000000000007_0,1214.5,1296.5,937.0,1199.5,1155.5,1299.0,1121.5,1214.0,1196.0,1245.0,1248.0,1147.5,1226.0,1160.0,1176.0,1288.0,1240.0,1198.0,1121.0,1250.0,1245.5,1049.0,1280.0,1343.0,1274.0,1149.0,1228.0,1136.0,1246.0,1163.5,1298.0,1262.0,1187.0,
00000000000000000008_0,1006.5,1192.0,1030.0,1228.0,1187.0,1305.0,1184.0,1340.5,1218.0,1336.0,1186.5,1199.0,1114.0,1048.5,1105.0,1262.5,1277.5,1212.5,1257.0,1414.0,1182.0,970.0,1277.0,1456.0,1292.0,1060.0,1186.0,1092.0,1422.0,1241.0,1379.0,1456.0,1407.0,
00000000000000000009_0,1617.0,1748.0,1546.0,1667.5,1443.0,1641.5,1529.0,1564.0,1543.0,1567.0,1563.0,1477.0,1645.5,1560.0,1513.0,1662.0,1550.0,1546.0,1463.0,1552.5,1480.5,1532.5,1543.0,1763.0,1601.0,1535.0,1549.0,1591.5,1746.0,1592.0,1650.5,1552.0,1529.0,
0000000000000000000a_0,1036.0,1334.5,1029.0,1354.0,1279.0,1331.0,1332.5,1378.5,1278.0,1509.5,1376.0,1346.5,1327.0,1242.0,1260.0,1389.0,1363.0,1275.0,1249.0,1429.0,1312.0,1076.0,1437.0,1488.0,1453.0,1304.0,1228.0,1193.0,1481.0,1097.0,1294.0,1524.5,1464.0,
0000000000000000000b_0,1795.0,1829.0,1578.0,1515.0,1520.0,1471.0,1426.5,1427.5,1433.5,1400.0,1422.0,1389.0,1685.0,1412.0,1388.0,1409.0,1456.0,1374.0,1362.0,1392.5,1461.0,1376.5,1355.0,1749.0,1391.0,1545.0,1447.0,1637.5,1676.5,1604.0,1387.5,1601.5,1656.5,
0000000000000000000c_0,1931.0,1876.5,1642.5,1635.0,1565.0,1633.0,1514.5,1595.0,1582.5,1629.0,1540.0,1514.0,1812.0,1578.0,1510.0,1520.0,1495.0,1475.0,1475.0,1488.0,1507.0,1459.5,1441.0,1899.0,1511.5,1425.0,1431.0,1769.0,1878.0,1756.0,1670.0,1673.5,1754.0,
0000000000000000000d_0,1116.0,1309.0,621.0,1198.0,1152.0,1058.5,1020.0,989.5,1219.5,1229.0,1190.5,1125.0,1188.0,1016.0,880.0,1269.5,1383.0,1035.0,1153.0,1214.0,996.0,766.0,1313.0,1494.0,1260.0,1000.0,1014.0,1133.0,1310.0,995.0,1008.0,1344.0,1179.5,
0000000000000000000e_0,1395.0,1370.5,1228.5,1281.0,1257.5,1319.5,1272.0,1339.0,1328.0,1387.5,1308.0,1273.0,1375.0,1251.0,1219.0,1342.0,1293.0,1281.0,1235.5,1292.5,1296.0,1249.5,1270.0,1467.0,1351.0,1287.0,1253.0,1245.5,1407.5,1254.5,1251.0,1308.0,1260.0,
0000000000000000000f_0,1355.0,1331.0,1007.0,1107.0,1049.5,1083.0,1152.5,1146.5,1131.5,1139.0,1043.0,1009.5,1320.0,1029.0,1031.0,1100.0,1110.0,1044.5,1017.0,1029.5,1088.0,988.5,1007.0,1369.0,1079.0,1066.0,1010.5,1190.0,1207.0,1155.5,1153.0,1173.0,1044.5,
00000000000000000010_0,1892.0,1807.0,1548.0,1639.0,1578.0,1563.5,1574.0,1563.0,1540.5,1584.0,1554.0,1502.0,1832.5,1492.0,1504.5,1525.5,1511.0,1516.5,1466.0,1504.0,1516.0,1508.0,1452.0,1812.0,1524.0,1437.0,1395.0,1624.5,1752.5,1628.0,1639.5,1655.0,1646.0,
00000000000000000011_0,1852.0,1800.5,1482.0,1535.0,1428.0,1479.0,1473.0,1514.0,1494.0,1528.0,1486.0,1431.0,1691.5,1299.5,1318.0,1486.0,1486.0,1359.0,1304.0,1425.5,1340.0,1302.5,1393.5,1924.0,1435.0,1339.5,1317.0,1567.0,1894.0,1595.5,1646.0,1580.5,1557.5,
00000000000000000012_0,2139.0,2001.5,1821.0,1771.5,1575.0,1701.0,1786.0,1740.0,1722.5,1667.0,1593.0,1560.0,2105.5,1657.0,1673.0,1608.0,1570.0,1626.0,1550.0,1545.0,1577.5,1508.5,1468.5,1905.0,1538.0,1505.5,1439.0,1903.0,1627.0,1854.0,1606.0,1608.0,1760.0,
00000000000000000013_0,1214.0,1272.5,1113.0,1199.0,1317.0,1231.5,1283.0,1248.0,1219.0,1269.0,1331.0,1258.0,1215.0,1182.0,1190.0,1296.5,1359.0,1212.0,1181.0,1268.5,1276.5,1285.0,1301.0,1415.0,1317.0,1297.5,1264.0,1268.5,1329.0,1272.0,1155.5,1429.0,1319.0,
