system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
00000000000000000000_0,983.82214,1118.9744,778.6227,1042.0022,1295.4636,815.0921,774.47754,1107.179,934.1026,948.1374,974.1275,1147.1902,1342.5359,887.25854,766.9076,952.3037,1159.373,1050.1962,1004.2614,1146.6411,910.5594,919.69635,1491.9358,1537.9376,1476.7866,1200.0887,1291.9702,1229.8851,1746.9814,877.1054,1249.6592,1427.5962,1078.1708,
00000000000000000001_0,832.6687,1065.846,620.3995,961.1462,1109.1052,974.5374,1091.4746,1119.3989,993.7586,1087.5879,1154.8138,1033.4261,1048.6093,1154.3248,996.46594,1115.3872,1265.295,1120.5801,1233.8568,1133.3813,1038.7218,1049.8818,1600.4882,1487.416,1483.274,1237.5709,1351.1249,933.4425,1354.6241,861.2804,1145.6161,1299.7273,942.0606,
00000000000000000002_0,1675.8538,2089.1025,1840.132,1743.6674,1721.1238,1571.6719,1522.0579,1558.3472,1608.8699,1578.7286,1584.1168,1798.5059,2124.8035,1705.2253,1409.7983,1431.4792,1578.6833,1552.0333,1676.681,1523.877,1212.0583,1631.8638,1876.8746,2195.574,2025.7284,1706.0671,1793.6392,1945.7128,2543.8462,1902.1542,1670.9629,2072.6367,1716.5159,
00000000000000000003_0,1544.3982,1885.2788,1484.9742,1879.1191,1837.2664,1593.5908,1520.1064,1675.9333,1573.705,1558.7742,1634.2542,1724.664,1729.2036,1663.0537,1622.8046,1587.231,1804.6768,1714.2039,1813.7439,1639.7212,1335.2554,1687.145,2000.9268,2017.2386,1945.7776,1886.2445,1904.9288,1599.0149,2247.9873,1744.7275,1760.5841,1999.2119,1654.6285,
00000000000000000004_0,1526.8556,1582.7792,1583.0295,1506.8402,1713.8525,1556.5734,1626.2349,1473.8225,1404.5306,1422.4569,1438.1504,1470.3088,1562.1647,1592.7202,1662.9486,1478.151,1457.7827,1699.0128,1540.8752,1555.5798,1344.0702,1700.8032,1861.3611,1661.2072,1802.1057,1842.5671,1785.0603,1601.0316,1754.1235,1709.778,1352.4579,1580.344,1473.0857,
00000000000000000005_0,1733.897,1793.0781,1663.7335,1644.5687,1557.9827,1500.6862,1372.5634,1690.925,1353.9583,1261.013,1608.108,1589.5505,1907.8994,1493.1022,1384.324,1378.3562,1722.758,1452.0056,1488.9695,1576.2893,1405.5664,1423.0187,2017.593,2137.9521,1896.5005,1590.3142,1878.1692,1696.501,2471.4028,1752.1115,1631.1003,1675.7119,1535.9949,
00000000000000000006_0,1369.334,1577.5878,1361.4598,1429.8403,1561.092,1421.5903,1215.688,1475.9102,1307.2803,1220.8044,1359.4246,1357.2751,1741.2025,1413.3926,1478.3688,1360.2827,1602.5488,1463.4304,1447.0308,1456.1581,1188.8048,1516.8599,1902.3658,1793.7249,1899.3467,1523.5237,1787.7325,1449.8458,1992.5258,1481.7832,1409.5222,1729.8374,1468.5203,
00000000000000000007_0,1840.4033,1892.5802,1723.2097,1793.0083,1654.6052,1672.1688,1635.776,1651.3738,1496.9796,1371.0999,1538.6711,1717.8965,1964.4072,1612.0238,1785.6241,1576.9176,1599.9556,1754.2417,1793.2261,1717.9377,1458.9352,1753.7935,1956.1891,2087.6995,2064.5967,1874.8895,1841.5604,1817.1506,2131.427,1775.6575,1665.863,1818.3638,1931.5292,
00000000000000000008_0,1301.6686,1632.5118,1592.0668,1560.9298,1474.6205,1583.9867,1288.1222,1576.5247,1341.5104,1394.0345,1507.9851,1663.0251,1639.4335,1466.8562,1414.3239,1536.8313,1638.6115,1589.6831,1708.5994,1728.2212,1339.8401,1609.2354,1814.1154,2009.0634,1884.5854,1531.5117,1776.6274,1691.8699,2130.9482,1566.2715,1458.3231,1812.7549,1396.5393,
00000000000000000009_0,2653.7373,2511.074,2633.1355,2413.9565,2464.4429,2206.662,2276.7341,2187.9453,1811.8636,1828.1222,2075.4976,2106.1406,2819.4026,2281.5134,2194.254,2119.8472,2050.6455,2368.4893,2252.0,2145.636,1845.1853,2351.3408,2524.4966,2690.2903,2564.142,2631.327,2561.239,2796.8003,3151.9124,2897.3247,2221.1978,2278.5486,2481.678,
