system:index,NIR,NIR_1,NIR_10,NIR_11,NIR_12,NIR_13,NIR_14,NIR_15,NIR_16,NIR_17,NIR_18,NIR_19,NIR_2,NIR_20,NIR_21,NIR_22,NIR_23,NIR_24,NIR_25,NIR_26,NIR_27,NIR_28,NIR_29,NIR_3,NIR_30,NIR_31,NIR_32,NIR_4,NIR_5,NIR_6,NIR_7,NIR_8,NIR_9,.geo
00000000000000000000_0,1461.5,2092.0,1146.0,1610.0,1976.0,1353.0,1937.5,1971.5,1690.0,2025.0,1961.5,2133.0,2020.0,1659.0,1395.0,1840.0,1947.5,1678.0,1828.0,2043.0,1919.0,1366.0,2404.5,2283.5,2389.0,1810.0,2016.0,1776.0,2502.0,1632.0,2295.0,2268.5,1967.0,
00000000000000000001_0,1550.5,2131.0,985.0,1532.0,1748.5,1664.0,1839.0,1931.5,1840.0,2040.5,2135.5,1935.0,1662.0,2080.0,1590.5,2041.5,2029.0,1873.0,1989.0,1947.5,2083.0,1664.5,2458.0,2307.0,2381.0,1956.0,2456.0,1372.0,2074.0,1592.0,2131.5,2039.0,1715.0,
00000000000000000002_0,2601.0,3112.0,2667.0,2618.0,2526.0,2526.0,2751.0,2790.0,2660.5,2846.0,2807.5,2957.0,3124.0,2693.0,2362.5,2606.0,2729.0,2439.5,2585.0,2454.0,2410.0,2508.5,2962.0,3206.0,3026.0,2780.5,2727.0,2869.0,3657.0,2796.0,2722.0,3053.0,2743.0,
00000000000000000003_0,2289.0,2858.0,2433.0,2833.0,2694.0,2460.0,2748.5,2883.0,2691.5,2916.0,2916.0,2778.0,2619.5,2986.5,2550.0,2708.5,2876.0,2798.0,2891.0,2797.0,2601.0,2521.5,3110.0,2957.0,3085.0,2853.0,2908.5,2287.0,3358.0,2752.0,2765.0,2909.5,2742.0,
00000000000000000004_0,2434.0,2387.0,2310.5,2220.0,2452.5,2324.0,2486.0,2574.0,2463.0,2580.0,2495.0,2473.0,2342.0,2608.5,2649.5,2533.5,2513.0,2727.0,2560.5,2580.0,2523.5,2619.0,2825.0,2455.0,2763.0,2797.5,2699.5,2408.0,2608.0,2509.0,2283.0,2399.5,2192.0,
00000000000000000005_0,2568.5,3032.0,2486.5,2652.0,2477.0,2337.0,2551.0,2853.0,2312.0,2602.0,2616.0,2525.5,2884.0,2564.0,2334.0,2549.5,2681.0,2545.0,2505.5,2611.0,2617.0,2125.0,3059.0,3240.0,2902.5,2484.0,2845.0,2406.0,3590.0,2700.0,2603.0,2725.5,2538.0,
00000000000000000006_0,2170.5,2702.0,2057.0,2307.0,2408.0,2247.5,2079.5,2468.0,2254.5,2407.0,2504.0,2449.0,2588.0,2514.0,2227.0,2422.5,2503.0,2395.5,2397.0,2541.0,2283.0,2381.0,2935.5,2805.0,2927.0,2400.5,2783.0,2090.0,2918.0,2381.0,2326.0,2695.0,2371.5,
00000000000000000007_0,2841.5,2870.0,2500.0,2680.0,2760.0,2567.0,2608.5,2830.0,2636.5,2870.0,2882.0,2766.0,2911.0,2738.0,2907.0,2692.0,2685.5,2789.0,2856.0,2903.0,2645.5,2639.0,3048.0,3065.0,3286.0,2842.0,2917.0,2671.0,3118.0,2719.5,2660.5,2813.0,2851.0,
00000000000000000008_0,2008.5,2654.0,2318.0,2512.0,2321.0,2476.0,2474.0,2776.5,2395.0,2986.0,2665.5,2786.0,2730.0,2431.0,2436.0,2611.0,2706.0,2705.0,2777.5,2866.0,2511.0,2380.5,2857.0,2847.0,3008.0,2501.0,2864.0,2487.0,3071.0,2558.0,2428.5,2712.0,2420.0,
00000000000000000009_0,3846.0,3825.5,3823.0,3797.0,3713.5,3246.0,3552.0,3545.5,3213.0,3433.0,3465.0,3403.5,4139.5,3778.0,3545.5,3347.0,3581.0,3560.0,3630.0,3481.0,3428.5,3569.0,3885.0,3963.5,3896.0,3977.0,3911.0,4065.0,4544.0,4090.0,3438.5,3326.0,3595.0,
