system:index,BLUE,BLUE_1,BLUE_10,BLUE_11,BLUE_12,BLUE_13,BLUE_14,BLUE_15,BLUE_16,BLUE_17,BLUE_18,BLUE_19,BLUE_2,BLUE_20,BLUE_21,BLUE_22,BLUE_23,BLUE_24,BLUE_25,BLUE_26,BLUE_27,BLUE_28,BLUE_29,BLUE_3,BLUE_30,BLUE_31,BLUE_32,BLUE_4,BLUE_5,BLUE_6,BLUE_7,BLUE_8,BLUE_9,.geo
00000000000000000000_0,330.0,596.0,357.0,565.5,411.0,397.0,646.0,408.0,410.0,557.5,475.0,530.0,362.0,534.0,542.5,428.0,588.0,607.5,557.0,650.0,306.0,339.0,328.0,500.0,284.5,271.0,323.0,472.0,311.0,450.0,470.0,420.5,368.5,
00000000000000000001_0,242.0,364.0,397.0,611.0,421.0,373.0,651.5,412.0,401.5,537.0,419.0,557.0,321.0,498.5,449.0,438.5,596.0,596.5,580.0,577.0,245.5,253.0,249.0,467.0,257.0,222.5,277.0,393.0,330.0,382.0,461.0,514.0,357.5,
00000000000000000002_0,284.0,288.0,311.0,494.0,381.0,439.0,418.0,390.0,414.5,388.5,416.0,394.0,300.0,396.0,397.5,430.0,428.0,375.0,375.0,394.0,401.0,342.0,317.0,378.0,278.0,488.5,290.0,297.0,504.0,427.5,501.0,476.0,375.0,
00000000000000000003_0,360.0,462.0,412.0,395.5,370.5,441.5,423.0,396.0,357.0,313.0,320.5,308.0,347.0,350.0,373.0,390.5,326.5,538.0,379.0,431.0,310.0,263.0,287.0,382.0,284.5,229.0,310.0,325.0,401.0,395.0,537.5,405.0,466.0,
00000000000000000004_0,383.5,344.5,370.0,431.0,323.0,462.0,412.0,400.0,385.0,353.5,342.0,353.0,335.0,372.0,366.0,406.0,379.0,375.5,375.0,406.0,364.5,242.5,253.0,339.5,323.0,253.0,221.0,265.5,290.5,324.5,498.0,408.0,423.0,
00000000000000000005_0,442.0,469.0,524.0,483.0,485.5,570.0,612.0,534.5,520.0,427.0,390.5,409.5,435.5,389.0,417.0,466.5,463.0,366.0,387.0,435.0,417.0,457.0,352.0,422.0,356.0,346.0,446.0,332.0,344.0,376.0,569.0,670.0,608.5,
00000000000000000006_0,347.0,356.5,339.0,373.0,315.0,407.5,425.0,385.5,358.5,405.0,313.5,346.0,416.5,361.0,411.0,423.0,510.0,410.0,395.0,612.0,382.0,293.0,266.0,389.0,246.5,243.0,300.0,300.0,349.0,324.0,453.0,509.0,507.5,
00000000000000000007_0,499.5,412.5,410.0,415.0,387.0,460.0,424.0,426.0,374.0,357.0,339.5,355.0,478.0,393.0,359.0,379.0,363.0,397.0,390.5,400.0,338.0,253.0,254.0,492.5,276.0,267.0,246.0,361.0,415.0,457.5,497.5,418.5,447.0,
00000000000000000008_0,461.0,380.5,247.0,309.0,227.5,287.0,297.5,316.5,236.5,419.0,450.0,432.0,410.5,457.5,400.0,464.0,405.0,418.0,406.0,407.5,442.5,377.0,346.0,470.0,339.0,395.5,381.0,410.5,382.0,347.0,494.0,314.5,332.0,
00000000000000000009_0,470.0,542.0,352.0,424.0,334.0,419.0,537.0,476.0,409.0,429.0,400.5,452.0,582.0,455.5,497.5,464.0,469.5,418.0,422.0,452.0,441.0,407.0,329.5,487.0,309.0,345.0,379.0,416.0,458.0,435.0,433.0,440.5,459.0,
0000000000000000000a_0,545.0,464.0,365.0,509.0,452.5,659.5,626.5,593.0,536.5,671.5,590.0,601.0,525.5,539.5,467.0,497.0,466.5,438.0,444.5,523.0,479.0,422.0,510.0,479.0,452.5,442.0,359.0,433.0,549.5,485.0,501.0,534.0,460.0,
0000000000000000000b_0,449.0,372.0,365.5,436.0,384.0,476.5,439.0,452.0,404.0,484.0,448.5,419.0,361.0,471.0,436.0,434.0,419.0,372.5,356.0,402.5,396.0,313.0,366.0,347.5,327.0,328.5,324.5,316.0,410.5,360.5,431.0,427.0,403.0,
0000000000000000000c_0,446.0,418.0,397.0,442.0,372.0,452.0,474.0,438.0,390.0,383.0,369.0,420.0,419.5,423.0,440.0,424.0,420.0,357.0,356.0,407.0,416.5,381.0,336.5,427.0,289.0,301.5,350.5,336.0,425.0,398.0,448.0,390.0,436.0,
0000000000000000000d_0,496.0,550.5,365.0,482.0,366.5,451.5,417.0,440.0,362.0,421.5,403.0,394.5,484.5,366.0,429.0,422.5,428.0,387.5,403.5,493.5,382.5,369.0,398.5,506.0,343.0,333.0,349.0,433.0,464.0,456.5,524.0,406.0,477.0,
0000000000000000000e_0,480.5,352.0,339.0,438.0,396.5,403.0,427.0,385.0,390.0,365.5,408.5,401.0,446.0,397.0,360.0,431.5,377.0,324.0,337.0,360.0,295.0,346.5,268.0,432.0,267.0,239.0,304.0,376.5,439.0,396.0,543.0,462.5,378.5,
0000000000000000000f_0,496.0,411.0,336.0,451.0,361.0,452.5,475.0,482.0,345.0,513.0,383.5,424.0,470.0,503.0,406.0,424.0,459.0,382.0,390.0,391.0,396.0,339.0,325.0,411.5,272.0,318.5,328.0,293.0,331.5,339.0,568.0,424.5,370.5,
00000000000000000010_0,610.5,428.0,382.0,489.5,415.0,474.0,461.5,428.5,385.0,466.0,396.0,485.5,415.0,361.0,472.0,517.0,467.0,486.0,387.0,440.0,449.0,471.0,411.5,378.0,347.0,453.5,414.0,321.0,383.0,392.5,568.0,412.0,449.0,
00000000000000000011_0,434.0,352.0,329.0,444.0,353.0,397.0,373.0,381.5,328.0,387.0,347.0,416.5,384.0,317.5,387.0,443.0,408.0,416.5,349.0,371.5,342.5,336.0,331.0,416.5,272.0,330.0,363.0,347.0,399.0,406.0,473.0,434.0,400.5,
00000000000000000012_0,399.5,304.0,424.0,470.0,498.5,481.0,498.5,502.0,344.5,442.0,437.0,454.0,342.0,451.5,534.0,539.5,462.0,405.5,414.5,396.0,497.0,471.0,464.0,508.0,409.5,337.5,471.0,406.0,430.0,524.0,521.0,442.0,450.0,
