system:index,Brightness,Brightness_1,Brightness_10,Brightness_11,Brightness_12,Brightness_13,Brightness_14,Brightness_15,Brightness_16,Brightness_17,Brightness_18,Brightness_19,Brightness_2,Brightness_20,Brightness_21,Brightness_22,Brightness_23,Brightness_24,Brightness_25,Brightness_26,Brightness_27,Brightness_28,Brightness_29,Brightness_3,Brightness_30,Brightness_31,Brightness_32,Brightness_4,Brightness_5,Brightness_6,Brightness_7,Brightness_8,Brightness_9,.geo
00000000000000000000_0,731.8161,1325.0063,662.12787,1332.7515,921.943,791.5445,1525.2645,777.0275,779.66187,1063.5898,971.10443,1083.8198,794.3445,1144.8181,1012.1177,883.829,1274.9255,1205.714,1214.8826,1269.5875,680.6037,528.6022,557.9394,986.5533,357.96945,435.0573,509.8044,1065.8312,655.2926,1011.5427,1125.772,1201.824,730.3296,
00000000000000000001_0,692.1965,889.9521,828.82153,1396.4556,917.7677,787.6097,1432.2155,762.62445,748.7982,1089.3423,871.959,1128.6075,991.1418,1116.5796,918.3065,866.078,1242.6064,1220.7911,1249.946,1226.6873,439.5438,324.4837,479.2108,937.2466,344.8998,398.2963,438.6741,816.9897,702.8715,873.4909,1081.4155,1315.6799,786.6511,
00000000000000000002_0,2851.7322,2946.192,3135.7405,3502.0981,3423.382,3603.9097,3506.3706,3628.803,3668.8623,3596.359,3552.2297,3326.1616,2810.654,3315.1826,3430.4397,3516.628,3382.8699,3415.9617,3249.469,3451.2683,3565.3604,3904.9763,3854.0718,3612.8005,3943.004,3974.7358,4023.4988,3334.1023,3357.6172,3698.376,3658.5518,3788.1558,3420.8652,
00000000000000000003_0,2974.4585,3660.7336,3487.7134,3289.9995,3310.6929,3879.7456,3929.334,3928.5562,3867.745,3431.3596,3506.8203,3153.9834,4024.5305,3307.9753,3411.2825,3400.7434,3146.1875,3688.739,3543.2092,3771.7358,3917.6108,3916.0132,3881.4478,3453.8848,3702.0562,3369.4795,4147.944,3032.265,3403.1104,3664.9084,3625.7043,3692.2092,3919.791,
00000000000000000004_0,2949.5088,3205.7405,3231.3735,3345.357,3282.8604,3745.6384,3494.1406,3274.6895,3211.467,2768.5376,2983.2263,3458.5505,3273.3691,3610.7292,3456.85,3666.3042,3726.9824,3534.754,3354.5266,3450.5562,3731.7075,4104.5244,4144.687,3121.2383,4151.502,3853.3704,3825.853,2859.4775,3093.8242,3093.394,3517.2986,3501.668,3427.3396,
00000000000000000005_0,3853.7715,3409.9338,4222.9106,3802.704,3847.547,4073.592,4397.6597,4135.3066,4054.3567,3636.9001,3548.0837,3619.581,3615.2532,3568.1846,3715.9517,3714.2656,3560.422,3519.443,3476.2368,3718.8945,3716.8687,4629.4043,4142.4175,3450.0613,4273.146,4128.5396,4583.9824,3183.4868,2961.1487,3126.9092,3429.6265,4152.623,3988.7378,
00000000000000000006_0,3057.4895,3442.2607,3270.4182,3505.7515,3183.8325,3224.8333,3251.7217,3477.23,3520.4546,3393.0522,3351.893,3220.9783,3438.985,3316.5984,3687.974,3651.6733,3782.3796,3666.5254,3437.7937,3858.7373,3206.416,3667.5996,3597.2158,3403.0542,3558.4387,3586.0835,3883.1897,3192.2183,3142.8528,3292.1714,3369.5574,3715.5605,4113.7363,
00000000000000000007_0,3631.1138,3951.654,3698.0513,3561.587,3616.8003,3980.1792,3929.2766,3965.5269,3876.9395,3738.2805,3510.1611,3535.5996,3812.9055,3693.5466,3531.5256,3809.4792,3604.9675,3826.6965,3647.0,3748.9226,3964.9255,4145.9023,4052.7258,3799.0127,4111.6353,3864.6687,4006.9104,3689.056,3889.8557,3968.5942,3807.2678,3688.5935,3998.2083,
00000000000000000008_0,3490.2427,3382.755,2385.948,2494.6948,2383.5557,2251.0225,2349.0352,2429.5735,2404.7397,3283.7117,4036.9192,3456.7505,3484.4702,3608.8901,3498.207,3664.4685,3645.0723,3550.3105,3620.7463,3605.095,3783.8433,4276.634,4222.039,3717.7861,4345.521,4172.1816,4247.387,3360.1147,3314.8547,2876.0168,2920.4016,2809.5151,2620.3757,
00000000000000000009_0,3352.2834,4111.1025,3049.7002,3550.0215,3239.8765,3469.588,3727.6023,3738.0632,3480.6848,3631.88,3621.6323,3523.2878,3968.2712,3563.8652,4016.1824,3720.3909,3799.3403,3865.9495,3724.6016,3795.1035,3838.4395,4404.7573,4478.5,4049.705,4329.6875,4050.2957,4643.8823,3540.5986,3767.9185,3609.6367,3259.0723,3760.3848,3662.2856,
0000000000000000000a_0,4059.5823,3842.3447,3205.22,3638.662,3525.755,4237.79,3741.47,3870.2324,3795.1294,3973.6768,3995.803,4077.0825,3943.4792,3851.6309,3287.133,3349.7056,3331.6877,3302.1602,3223.0864,3561.7976,3603.855,4076.3179,4613.2373,3952.8276,4373.4277,4280.882,4034.5186,3562.061,3861.8594,3548.13,3693.717,3763.781,3421.273,
0000000000000000000b_0,3373.8042,3161.5215,2698.6191,3211.2715,3020.6821,3278.4814,3197.2896,3338.9355,3244.241,3479.975,3330.814,3372.2957,3073.4194,3538.8098,3211.613,3195.3608,3271.5095,2989.2744,2867.9724,3104.4812,3131.354,3119.8774,3601.3438,2914.4944,3575.7815,3501.0996,3424.9521,2760.7427,2970.1147,2785.5137,3126.6917,3158.5498,2909.4504,
0000000000000000000c_0,3816.1584,3530.1602,3443.2864,3593.3145,3212.92,3742.467,3694.5474,3658.3914,3702.7402,3588.063,3658.0508,3424.6335,3566.1882,3553.8713,3703.276,3582.0723,3642.6736,3439.0261,3423.885,3587.401,3714.3455,4055.5479,4164.336,3584.3574,4119.739,3879.076,4318.269,3390.0886,3750.6516,3509.537,3412.2705,3937.753,3587.657,
0000000000000000000d_0,3942.665,4313.5474,3839.694,3756.1638,3439.0962,3801.1582,3869.293,3937.108,3766.418,3827.4456,3874.8499,3749.017,3971.52,3774.6787,3757.017,3752.336,3816.1992,3936.439,3863.8794,4124.978,4251.34,4632.774,4494.8604,3949.659,4384.5547,4504.7314,4567.7754,3870.1318,3866.241,3651.3003,4280.7217,3547.8064,3729.6965,
0000000000000000000e_0,3247.7007,3575.0122,3107.2573,3198.14,3207.2153,3217.6624,3213.0984,3264.5422,3371.9016,3710.2563,3378.6702,3258.0264,3510.7268,3105.9248,3176.842,3467.4282,3227.8306,3201.6616,3037.4846,3162.5662,3041.9792,3633.0117,3709.1113,3574.5146,3745.417,3434.2695,3796.625,3307.9116,3518.7402,3492.9602,3716.609,3531.4165,3278.6917,
0000000000000000000f_0,3235.8975,3538.8608,3661.9756,3437.3562,3242.9023,3322.942,3806.4321,4026.172,3962.431,3794.8613,3724.0361,3631.4639,3823.5002,3607.2761,3593.0508,3663.1855,3872.7522,3565.1938,3589.753,3637.1006,3844.8005,4090.1025,4230.6377,3628.4731,4017.9834,3961.168,4197.5625,3448.3145,3335.0469,3249.7834,4173.824,3576.8271,3412.1304,
