system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,.geo
00000000000000000000_0,427.0,911.5,489.0,913.0,756.0,584.0,1108.0,605.0,661.0,844.0,763.5,877.0,553.0,931.0,822.5,725.0,974.0,1021.0,944.0,966.0,393.0,446.0,514.0,718.0,377.0,383.0,460.0,799.0,470.0,678.0,677.0,666.0,544.5,
00000000000000000001_0,390.0,556.0,594.5,954.5,735.0,574.0,1056.0,594.5,617.5,911.0,690.0,905.0,503.0,920.0,788.0,670.5,950.0,981.0,938.0,953.0,318.5,278.0,358.0,681.0,301.0,323.5,407.5,654.0,522.0,605.0,616.0,778.0,544.0,
00000000000000000002_0,409.0,489.0,651.0,836.0,712.0,823.0,769.0,751.0,752.0,722.5,767.0,697.5,512.0,690.0,700.0,804.0,795.0,690.0,671.0,688.0,704.0,695.0,710.0,581.0,673.0,768.0,668.0,584.0,788.5,789.5,867.0,849.5,725.0,
00000000000000000003_0,599.0,843.0,680.5,658.5,654.5,751.0,766.0,757.0,682.0,580.0,612.5,590.0,697.0,623.5,653.0,683.0,623.5,830.0,649.5,765.0,627.0,682.5,713.0,706.5,712.5,624.5,740.0,620.0,715.0,750.5,894.5,792.0,769.0,
00000000000000000004_0,634.5,626.5,691.5,687.0,630.0,810.0,748.0,702.5,671.0,595.0,601.0,661.0,572.0,681.0,694.5,775.5,663.0,699.0,684.0,712.0,732.5,702.0,694.0,586.5,683.5,636.0,595.0,464.5,511.0,550.0,801.0,717.0,766.0,
00000000000000000005_0,831.5,757.5,929.0,879.5,871.0,976.0,1044.0,913.5,894.0,748.0,720.0,757.5,762.5,754.0,769.0,820.0,826.0,714.0,718.5,744.0,757.0,873.0,766.0,714.0,776.0,726.0,851.0,638.0,628.0,600.0,926.0,1088.5,935.0,
00000000000000000006_0,629.0,719.0,619.0,721.0,614.0,677.5,706.5,728.0,707.5,715.5,644.5,648.0,738.5,638.0,749.5,760.5,816.0,760.0,657.0,962.0,662.0,658.0,658.0,777.0,642.5,623.0,692.0,640.5,629.0,693.0,755.0,826.0,883.0,
00000000000000000007_0,827.5,820.0,752.0,709.0,668.0,777.5,780.0,754.5,722.5,683.0,635.0,660.0,851.0,701.0,673.0,740.0,701.0,732.0,720.0,765.0,722.0,751.0,726.0,855.5,712.0,692.0,653.0,718.0,792.0,837.0,811.5,723.5,825.0,
00000000000000000008_0,786.0,680.5,497.0,483.0,474.0,493.0,471.5,545.5,430.5,691.0,830.5,797.0,714.0,843.5,757.0,832.0,775.0,790.0,734.0,767.5,808.0,815.0,797.0,814.5,808.0,782.5,814.0,725.5,637.0,639.0,624.0,591.5,505.0,
00000000000000000009_0,782.0,944.5,678.0,751.0,633.0,698.0,894.0,825.0,746.0,808.0,782.5,796.0,950.0,807.0,860.0,820.0,815.0,789.0,796.0,778.5,778.0,824.0,784.0,894.0,766.0,758.0,850.0,727.0,793.0,819.0,733.0,786.5,794.0,
0000000000000000000a_0,902.0,834.5,605.0,845.5,804.0,982.5,896.0,924.0,855.5,1003.5,945.0,946.0,880.5,857.0,720.0,754.5,758.0,697.0,669.0,769.0,772.0,710.0,824.0,877.5,798.0,789.0,736.0,730.0,891.5,826.0,859.5,867.0,733.0,
0000000000000000000b_0,712.5,631.5,627.0,666.0,621.0,734.5,727.0,704.5,661.5,775.0,741.0,744.0,614.0,797.0,727.0,677.0,722.0,635.5,575.0,594.5,663.5,559.0,681.5,587.5,650.0,652.0,647.0,514.0,630.0,629.5,697.0,690.5,608.0,
0000000000000000000c_0,907.5,803.0,856.0,842.0,679.0,820.5,849.0,780.0,733.0,730.0,729.5,760.0,781.5,784.0,839.0,796.5,785.5,708.0,675.0,705.0,766.0,743.5,757.0,784.0,729.5,714.5,792.5,763.0,825.0,808.0,783.0,822.0,845.0,
0000000000000000000d_0,899.5,948.0,787.0,829.0,686.5,825.5,787.5,807.0,747.0,774.0,802.0,761.5,876.0,689.0,754.0,789.5,770.0,746.0,759.0,786.0,776.5,809.0,795.0,880.0,696.0,791.0,799.0,848.0,745.5,814.0,898.0,757.0,819.0,
0000000000000000000e_0,783.5,722.0,708.0,707.0,679.5,712.5,725.0,686.0,713.0,717.0,743.5,713.0,834.0,719.0,680.0,786.0,671.5,648.0,594.0,630.0,584.0,658.5,644.0,814.0,662.0,588.0,677.0,725.5,827.5,788.0,944.0,837.0,701.0,
0000000000000000000f_0,784.0,787.0,667.0,714.0,620.0,754.0,688.0,842.0,688.0,824.0,688.5,716.5,917.0,882.0,748.0,803.5,754.0,744.0,724.0,744.0,792.0,784.0,784.0,770.0,719.0,738.0,785.0,632.5,735.0,666.0,981.0,804.0,783.5,
00000000000000000010_0,965.5,768.0,790.0,838.5,715.0,804.0,757.5,756.5,743.0,801.0,725.5,814.0,739.0,662.0,852.0,885.0,838.0,856.0,723.5,765.0,790.5,850.0,799.0,701.0,723.5,862.0,782.0,692.0,742.5,720.0,822.0,757.0,801.0,
00000000000000000011_0,781.0,691.0,609.0,749.0,633.0,688.0,646.0,645.5,628.0,690.5,654.0,752.0,758.0,564.0,716.0,757.0,686.0,705.0,622.0,672.5,586.5,639.0,644.5,686.0,577.0,669.0,704.0,657.0,674.5,722.0,873.5,703.0,718.0,
