system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
00000000000000000000_0,-109.0713,-422.96564,-259.67996,-457.53046,-293.6036,-220.796,-670.4341,-363.7482,-387.9068,-639.96326,-515.8244,-555.64,-247.2443,-566.5229,-476.84525,-369.3405,-603.656,-588.18945,-599.23,-544.1246,-253.646,-252.1533,-307.5651,-354.0735,-193.4825,-252.1338,-270.7423,-425.9158,-113.7274,-312.375,-100.9475,-141.85785,-192.3004,
00000000000000000001_0,-27.2974,-175.9801,-254.01553,-497.67212,-372.787,-239.9675,-625.6137,-338.851,-409.42902,-590.431,-434.7885,-516.2916,93.4075,-574.1549,-518.2128,-392.73254,-609.564,-574.2195,-588.9534,-672.13367,-199.8272,-177.3222,-190.0956,-365.1041,-136.0074,-165.25255,-259.18265,-329.899,-140.3127,-262.5686,-55.5273,-158.2412,-188.55936,
00000000000000000002_0,1928.6898,1961.9248,1800.8541,1421.9739,1627.6909,1675.0033,1608.5657,1670.3109,1321.2517,1209.1345,1223.7594,1627.0447,1902.0938,1424.9354,1473.611,1391.6443,1303.1508,1486.4146,1436.9664,1362.6158,1344.5742,1763.92,1914.7761,2020.2454,2444.188,832.5946,2454.0647,2470.022,1577.175,1936.575,1532.3185,1637.8193,1645.4698,
00000000000000000003_0,1533.9084,1349.1421,1954.606,1893.5972,1824.0591,2112.4058,1832.7351,1862.1172,1901.2039,1443.4912,1665.8086,1632.8687,2357.4705,1557.4028,1430.6208,1467.8218,1307.6144,718.2439,1798.7734,1322.2388,2027.253,1862.0841,1824.1217,1938.4072,1757.2635,1815.945,2031.3849,2047.3107,2116.6082,2108.9185,1928.8009,1810.3462,2033.022,
00000000000000000004_0,1516.7786,2022.927,1774.9308,2105.3508,1893.6166,1921.466,1622.3184,1551.0405,1296.8096,1013.1248,1371.0083,1800.4312,2106.6147,1851.1884,1881.3909,1829.5476,2078.971,1975.8345,1864.7188,1500.6628,1615.719,2419.8125,2392.6274,2047.573,1883.1526,1968.3525,1985.7659,2083.3901,2259.6191,1900.2664,1608.4318,1917.9489,1785.6284,
00000000000000000005_0,1470.1873,1373.5952,1397.4467,1582.3575,1361.127,1326.3997,1231.4276,1117.9343,1043.3638,1063.1232,1070.2328,1289.1685,1594.1174,1247.255,1241.5447,978.9236,1012.3088,1636.472,1195.6403,1354.8958,904.6534,1461.8702,1486.4117,1623.0765,1783.0637,1798.1106,1602.1913,1882.0463,1458.972,1475.3429,888.3728,886.27075,1187.53,
00000000000000000006_0,1855.492,2127.5513,2031.8927,1645.4581,1689.5127,1619.7578,1102.6879,1361.2312,1396.1821,1030.5702,1489.5908,1419.8777,1669.7616,1542.3116,1478.4025,1433.0862,1304.6866,1314.9463,1219.6674,426.4082,811.6978,1528.7701,1821.2745,1878.1794,1882.2227,1986.7441,1813.2683,1974.2031,2048.962,1742.3893,1683.3062,1023.2757,1431.9923,
00000000000000000007_0,1829.8293,2687.4033,2142.103,1953.5742,2194.344,2118.1943,1967.1846,2054.7434,1860.5037,1547.6284,1713.2625,1748.8702,2264.1853,1880.6951,1843.5261,1872.7397,1972.7646,2195.492,1998.384,1800.7012,1899.577,2306.9265,2321.9387,2062.9038,2225.0781,1970.7775,2148.0476,2406.3567,2562.0217,2528.5708,1905.7771,2210.999,2151.211,
00000000000000000008_0,1672.2505,2010.123,1513.6,1501.748,1528.2362,1228.487,1346.4917,1155.1396,1230.9124,881.004,1151.3501,1249.6334,1916.3225,988.3572,1494.123,1411.4304,1518.2128,1424.9467,1629.1586,1566.0566,1058.3635,1736.4515,1910.4303,1699.5171,2217.9292,1709.8464,2002.324,1505.1809,1606.2255,1456.9705,1433.3267,1542.3724,1520.4548,
00000000000000000009_0,1071.9796,1537.5111,1639.4851,1723.1288,1622.7515,2263.2644,1441.0936,1179.1292,1335.7198,965.1468,1219.29,1338.9236,1353.9406,1446.0762,1481.617,1570.2505,1201.342,1960.5675,1712.3672,1600.6624,1210.5596,1902.7072,2460.2637,1598.1984,2531.1858,1682.2382,2167.4683,1671.8582,1305.1685,1644.6322,1414.3942,1827.6825,1639.1396,
0000000000000000000a_0,1403.4315,1544.1782,1789.534,1379.2175,1022.87476,635.5225,671.1763,582.1114,603.4927,23.965199,425.2176,763.4462,1510.2079,801.1643,837.4742,983.2671,927.2988,1032.7113,935.57434,909.1394,606.0154,1273.9429,1233.4558,1823.724,1362.021,1268.312,1569.9229,1888.8768,991.4065,1442.1058,1537.7007,1222.0244,1466.0944,
0000000000000000000b_0,1372.3729,1723.9026,1243.3379,1434.4788,1305.3108,1327.6406,1403.2361,1094.6714,957.0348,576.2282,857.18445,1056.7219,1755.0851,1016.2813,839.0619,788.9636,980.6766,1074.8481,1167.2393,1046.8845,663.94434,1302.5353,1317.9895,1830.511,1555.3915,1498.54,1485.3108,1423.3016,1283.302,1471.2351,1289.882,1242.5176,1384.6176,
0000000000000000000c_0,1737.9443,2056.666,1781.8805,1666.8279,1540.9071,1960.9554,1552.5375,1623.8512,1624.463,1303.1917,1521.0542,1569.52,1980.7618,1556.6317,1456.4642,1586.1174,1521.6494,1594.7181,1679.9448,1518.6182,1037.786,1684.8798,2063.5154,1866.4913,2198.088,1749.8796,2004.8885,1813.144,2030.3293,1745.076,1752.486,2282.4602,1925.5935,
0000000000000000000d_0,1514.5659,1636.3638,2149.643,1638.9106,1828.6902,2039.3186,1901.6652,1710.1587,1629.7634,1256.686,1323.4484,1544.1453,2147.067,2262.8562,1409.092,1676.813,1487.622,2086.9902,1672.471,1535.8777,1786.9359,2301.1099,2193.9414,1880.7751,2698.7905,2299.082,2442.6697,1952.6376,1780.8306,1928.595,2062.2007,2206.904,2126.117,
0000000000000000000e_0,1483.1069,2283.6433,1804.0668,1576.6389,1604.0394,1471.699,1447.6855,1372.9374,1222.2947,1698.0059,1239.3511,1352.2603,1758.1324,1211.0876,1239.0568,1165.0032,1254.6559,1524.8395,1443.5973,1314.2202,1103.6356,1666.6376,1810.312,1983.2476,1928.2161,1948.4568,1909.5986,1846.7112,1684.4352,1867.1182,1508.8752,1581.7014,1734.613,
0000000000000000000f_0,1533.95,2028.009,2293.863,1020.3016,1322.8314,1314.5769,1534.7012,707.0466,2081.058,501.378,1766.5105,1764.8503,1859.9717,328.3935,1357.7117,1489.8278,1118.7026,1659.1888,1560.237,1499.6356,1188.2158,2165.8135,2304.437,2143.6047,2255.9834,2142.1355,2149.3657,2355.9062,2174.105,2201.3435,1419.6473,1903.4739,1705.8673,
00000000000000000010_0,1228.309,1410.9576,1621.9364,1542.3677,1843.1755,1455.32,1219.5049,1241.3203,1168.0398,970.7528,1219.0725,1369.6356,1579.5883,1336.2908,1189.4832,864.24255,910.67334,1486.713,1311.3403,1018.68,586.1502,1532.7155,1478.7432,1567.2306,1747.4265,1789.5881,1600.5127,1520.7385,1399.6924,1745.25,1403.8025,1335.8495,1323.1067,
00000000000000000011_0,1069.2153,1569.8783,1560.9441,1298.6337,1466.5332,1538.1381,1319.8495,1071.2678,1281.2861,887.8637,1158.013,1416.1807,1525.8358,1235.2604,1144.127,999.326,1068.1514,1310.2507,1382.2775,1205.0254,827.1324,1328.9878,1453.4431,1575.4612,1722.1545,1412.9539,1512.3732,1560.0209,1539.8318,1290.8364,1820.4896,1623.2458,1388.6431,
00000000000000000012_0,2203.726,2640.5078,2648.087,1764.9265,1929.946,1903.8038,1496.4526,1419.7638,1831.3005,1466.0278,1459.4855,1392.1678,2832.1975,1663.2628,1418.5111,1630.9181,1414.77,1969.6606,1526.2576,1861.2919,923.8376,2248.7722,1948.7255,2056.264,2154.2227,2446.0117,1813.4675,2462.668,1957.5828,2096.8538,2280.7424,2315.5552,1537.9362,
00000000000000000013_0,1488.331,2054.353,753.1554,1913.6576,1632.979,1797.1968,1487.0103,1520.8898,1351.4078,1043.0686,1395.0302,1679.8914,1786.9949,1389.2147,1493.1682,1314.1368,1349.4598,1732.6754,1529.0951,1585.909,999.141,1763.6907,1786.6589,2454.5398,1927.9852,1672.5526,1717.9156,2174.3364,1780.6228,2525.3113,2066.5645,1898.3123,1786.4023,
00000000000000000014_0,1638.1809,2018.4692,695.97375,1670.0583,1564.4937,1880.8593,1282.6201,1452.3652,1198.9095,1008.13684,1317.7473,1445.9069,1838.9186,1151.5479,1387.1842,1179.6034,1310.2212,1684.7542,1449.4202,1487.0725,913.6856,1792.3022,1726.3907,2169.1772,2003.0164,1731.9355,1675.5615,2319.1465,1683.2603,2009.7881,1871.8281,1742.7668,1680.3446,
00000000000000000015_0,1542.9713,1868.2719,1818.4875,1799.1295,1857.0483,1724.6115,1640.7018,1381.7152,1198.8678,804.0953,1214.0272,1477.3887,2349.6323,1527.8506,1205.4576,1111.7751,1218.8336,1465.0262,1385.7162,1481.3342,1081.0865,1670.4722,1684.2344,2013.0254,2043.8846,1627.0405,1811.4989,2253.0593,1881.8848,1933.7854,1751.439,1919.104,1626.9073,
00000000000000000016_0,1992.1558,2227.542,1796.2963,1881.2561,2011.1555,1964.5535,1975.5294,2011.7212,2077.8813,1466.5802,1820.5848,1727.9197,1636.2251,1604.2063,1838.9292,1675.2463,1473.7009,1689.6877,1891.4703,1763.1396,1250.0417,1915.7349,2262.83,1495.4471,2246.103,1982.5796,1941.0212,1637.2279,2087.494,1512.1473,1998.2448,1983.8248,1930.035,
00000000000000000017_0,1496.059,1835.9908,1681.0764,1449.4681,1488.5319,1334.2324,1580.1381,1459.2926,1540.613,1317.5592,1490.3926,1582.3381,1469.372,1514.6848,1245.991,1345.3579,1364.9052,1721.8187,1521.8456,1336.6233,1073.6638,1866.1688,1934.863,1683.5992,2028.8497,2000.2228,1916.6996,1532.222,1784.4698,1535.8147,1662.9373,1709.0282,1597.0715,
00000000000000000018_0,1706.1061,1537.4445,1766.102,1764.1772,1761.7977,1956.5188,1739.5426,1521.6412,1597.6892,1261.1938,1118.1578,1791.2523,1825.9994,1572.5328,1513.4941,1367.3586,1301.874,1909.2902,1540.8351,1569.9517,1110.8926,1740.9958,1891.3188,2088.1553,2158.5405,1999.9655,2139.3345,2315.707,1973.6644,1956.3071,1475.9551,1754.6086,1973.8152,
