system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
00000000000000000000_0,0.81578946,0.9032258,0.84761906,0.87922704,0.86835444,0.6996805,0.98717946,0.87068963,0.9285714,1.0495868,0.72125435,0.8876405,1.0671642,1.0982143,1.0465117,0.9202899,0.68085104,0.85211265,0.85780525,0.88314605,0.3592233,0.26373628,0.4216028,0.95555556,0.4871795,0.84918034,0.50427353,0.88721806,0.9285714,0.6754386,0.60700685,0.4548611,1.0827587,
00000000000000000001_0,1.0947368,0.78405315,0.9478827,1.0486323,0.80714285,0.87456447,1.0519481,1.0603774,1.1311475,1.0705882,0.76291794,0.8613861,0.7526502,1.051282,1.0444444,1.1129943,0.9030837,1.058651,1.0537634,0.8328173,0.6476684,0.28169015,0.41520467,1.2266667,0.49668875,0.9093484,0.50442475,1.0813009,0.757377,0.75849056,0.61904764,0.39251336,0.91719747,
00000000000000000002_0,0.416318,0.4127896,0.35585412,0.42038947,0.36636934,0.3120915,0.30797172,0.32527846,0.40673006,0.35547933,0.27880898,0.36198527,0.437613,0.36666667,0.4074074,0.34886146,0.3206925,0.31943312,0.37148306,0.350488,0.37610105,0.27172917,0.4389085,0.43670297,0.46673474,0.4334186,0.4801515,0.4214637,0.3198128,0.3386854,0.30034438,0.28548855,0.35210118,
00000000000000000003_0,0.38940045,0.40700182,0.2757732,0.47454718,0.3017171,0.280472,0.4214826,0.43652293,0.44968835,0.3876492,0.36326212,0.39286906,0.42734677,0.38872004,0.42428175,0.37409952,0.39863327,0.37509105,0.39580184,0.40667036,0.424662,0.43716702,0.37894112,0.36459127,0.38852388,0.5068702,0.2935033,0.3715771,0.42618182,0.44564047,0.45045528,0.3143872,0.26559713,
00000000000000000004_0,0.37928534,0.3993574,0.28666794,0.4522613,0.3448217,0.25308847,0.35157895,0.36215925,0.37984765,0.37741607,0.3917606,0.45368588,0.42314336,0.43862167,0.3836007,0.4219598,0.46550682,0.44592378,0.38532937,0.4024951,0.430022,0.4689734,0.44538063,0.39749905,0.4652391,0.45435578,0.46991038,0.3737526,0.39629698,0.38786387,0.40598723,0.32267565,0.3127826,
00000000000000000005_0,0.30851826,0.2614786,0.10797439,0.35457292,0.19419488,0.13213263,0.18146265,0.24244416,0.26156238,0.26726013,0.26085052,0.300903,0.26530612,0.27251324,0.2537136,0.24291116,0.24981357,0.26356423,0.27756253,0.27323103,0.26168728,0.29537728,0.23971261,0.270846,0.3049774,0.25536913,0.27040485,0.29407084,0.2887828,0.2276867,0.19245774,0.20393404,0.31804782,
00000000000000000006_0,0.3916517,0.37649497,0.49103364,0.40779313,0.33194628,0.2904233,0.30873463,0.32647437,0.3923943,0.34373194,0.36182454,0.4068995,0.35031623,0.37195736,0.40209267,0.41455162,0.3969038,0.48753703,0.4166926,0.3848765,0.3459371,0.39887244,0.3214671,0.38034266,0.39015886,0.444266,0.46292296,0.3675181,0.43757933,0.38753772,0.28630194,0.28409284,0.3560759,
00000000000000000007_0,0.37843204,0.46166134,0.29085407,0.46358544,0.38376445,0.2632353,0.40239304,0.4021739,0.41885188,0.41192454,0.37624905,0.4063582,0.48124915,0.37312967,0.3624065,0.4464489,0.5074236,0.4555991,0.38963413,0.37378466,0.47776183,0.46186805,0.43531954,0.33625454,0.4603626,0.3942605,0.46837372,0.36709312,0.427,0.37008098,0.43595505,0.37700036,0.3141798,
00000000000000000008_0,0.38573417,0.33628646,0.42865345,0.48145822,0.3580748,0.3099446,0.39734122,0.3903519,0.3852026,0.36633202,0.38991466,0.29681978,0.34867257,0.4238156,0.3503318,0.29391438,0.31789848,0.24542747,0.35650858,0.39679778,0.24062665,0.27850026,0.3419673,0.36115512,0.3675463,0.5106112,0.4788667,0.3422347,0.31306872,0.32712457,0.28986245,0.3129425,0.41323575,
00000000000000000009_0,0.3448276,0.21809842,0.28181818,0.3891726,0.39702642,0.47362757,0.394323,0.23528366,0.29010805,0.31661093,0.44094488,0.2325965,0.2959047,0.35001764,0.42374074,0.31967443,0.2869963,0.39493242,0.46137932,0.4175004,0.4227723,0.2610489,0.3669828,0.27727076,0.5169381,0.4115108,0.3791828,0.2986971,0.18731791,0.28644022,0.39142275,0.3466334,0.31073684,
