system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
00000000000000000000_0,0.21712539,-0.048032228,0.067669176,-0.14225942,-0.13606341,-0.14829932,-0.19670847,-0.09949749,-0.11415525,-0.20094937,-0.116612375,-0.17931937,0.11935683,-0.25860548,0.11306703,-0.011494253,-0.070454545,-0.11850768,0.093361,-0.3338633,0.1389313,-0.1281106,-0.08494209,-0.22675025,-0.030973451,0.053304903,0.15038419,-0.19201726,-0.047021944,-0.018203884,0.08704454,0.030750308,0.10891089,
00000000000000000001_0,0.7341326,0.6289996,-0.02688728,-0.24384788,-0.1764706,-0.16158192,-0.20872541,-0.0137551585,-0.07284768,0.04869762,-0.2646048,-0.016850669,0.6617461,-0.20728442,-0.24978831,-0.11444921,-0.3576208,-0.11841469,0.0685458,-0.33333334,0.18082789,-0.07317073,0.028697573,-0.15656565,-0.037815128,0.21764706,0.05361305,-0.24824685,0.084842704,-0.042457093,0.15427114,-0.055837564,0.1657754,
00000000000000000002_0,0.8717169,0.8420479,0.77798295,0.78975224,0.7686551,0.74831265,0.7679216,0.8099063,0.831554,0.8072289,0.74702513,0.8089324,0.8535047,0.82253295,0.8105046,0.79945946,0.7542707,0.76169,0.8082856,0.78219354,0.7907912,0.78159446,0.86092025,0.8644002,0.87293804,0.87727034,0.89133155,0.8511961,0.75276244,0.7723951,0.67187136,0.7141352,0.7552808,
00000000000000000003_0,0.8116329,0.83710617,0.77022797,0.89373165,0.7851536,0.80012137,0.7950617,0.97683215,0.8509633,0.8413083,0.8499601,0.8507859,0.8555791,0.78917813,0.8308481,0.8159768,0.83374083,0.8357193,0.81723106,0.8098625,0.8580837,0.7964847,0.80985606,0.8316306,0.78390545,0.8640227,0.7839577,0.81056964,0.80197567,0.8372093,0.7092018,0.7554033,0.71344364,
00000000000000000004_0,0.83008426,0.8172691,0.74812126,0.88185656,0.796875,0.7180133,0.84110373,0.7948304,0.8117754,0.7681492,0.8087765,0.83672565,0.83969116,0.85294724,0.79978096,0.8348435,0.8782905,0.81004566,0.8306644,0.8326512,0.83427876,0.87976694,0.86852664,0.83869463,0.89512557,0.8736559,0.88898164,0.8456868,0.84618926,0.84468573,0.6969562,0.7877859,0.7560563,
00000000000000000005_0,0.7249351,0.7091541,0.6258741,0.7202437,0.6875,0.6281772,0.6115601,0.70149255,0.7386181,0.7705915,0.75365853,0.7368421,0.75438595,0.7332977,0.71824104,0.66119576,0.71020406,0.7464006,0.69567627,0.75991756,0.73951435,0.6799647,0.78257805,0.72135204,0.7889655,0.7610501,0.75636035,0.7516833,0.7234042,0.7267668,0.67692775,0.58190405,0.732899,
00000000000000000006_0,0.8178972,0.8111624,0.7886978,0.7942782,0.7800809,0.73016983,0.7468956,0.8227848,0.8084989,0.7746694,0.7961216,0.7899618,0.754394,0.8410864,0.822807,0.8178719,0.837336,0.82994366,0.7701605,0.80309355,0.748701,0.8094804,0.803507,0.7929257,0.81395346,0.8532564,0.86991525,0.79387033,0.7817837,0.7975389,0.72905725,0.7405281,0.78009826,
00000000000000000007_0,0.7914875,0.8180012,0.75537264,0.9031142,0.8229747,0.7359982,0.8577814,0.85141903,0.83848673,0.8366316,0.8288487,0.8659428,0.8679278,0.84006053,0.81414646,0.8681672,0.85907,0.8617833,0.81051177,0.8089142,0.8753793,0.84332794,0.86669344,0.7596588,0.86190754,0.85348564,0.88899344,0.7719945,0.8007261,0.7765288,0.78116345,0.80237156,0.75843257,
00000000000000000008_0,0.79478955,0.7868421,0.82321185,0.8227535,0.7725402,0.7933302,0.8130624,0.84648716,0.8488665,0.8401697,0.84816754,0.6979995,0.75278336,0.7905912,0.77787995,0.76995796,0.7539385,0.70740837,0.84386235,0.8116524,0.70473224,0.7543453,0.81031615,0.76363224,0.8363352,0.89560586,0.89073634,0.7038662,0.738083,0.7762543,0.66032785,0.74539876,0.79403794,
00000000000000000009_0,0.7936508,0.7007278,0.7677841,0.81212527,0.7694035,0.85753053,0.784487,0.70414203,0.74484736,0.75700474,0.7821883,0.7268315,0.7800388,0.76473063,0.7984427,0.7511795,0.71696234,0.833816,0.79711586,0.8071088,0.7679803,0.7081666,0.83118254,0.696076,0.8842808,0.79835016,0.80792683,0.7788059,0.6918193,0.72302467,0.6667583,0.76915324,0.78600115,
