system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
00000000000000000000_0,0.83081573,0.95153475,0.91973245,0.9465241,0.91293216,0.78684807,0.99506176,1.7151515,0.9504132,1.0114722,0.8920378,0.96694213,1.0364373,1.0364238,1.0089821,0.9626486,0.84833163,0.96007603,0.9506173,0.94448614,0.68421054,0.69849247,0.7844828,0.9818482,0.8125,0.96695405,0.7800512,0.9592391,0.9386503,0.8219013,0.61027193,0.45548198,1.041308,
00000000000000000001_0,1.0676692,0.80597013,0.965368,1.0251572,0.9083192,0.913253,1.0192493,1.0269815,1.0534521,1.0229299,0.86934674,0.94109774,0.8364486,1.0164102,1.015314,1.0583091,0.9529412,1.0238663,1.0141643,0.9352941,0.7312253,0.63398695,0.7555012,1.1603774,0.6820084,0.97951347,0.8190955,1.034965,0.82790697,0.8980892,0.5972028,0.4387352,0.96107787,
00000000000000000002_0,-0.21608776,-0.27326265,-0.40710777,-0.30705008,-0.40474197,-0.2621455,-0.43373173,-0.4221705,-0.3868678,-0.44365078,-0.32723948,-0.33012745,-0.16869566,-0.44003054,-0.16381826,-0.40186915,-0.39800116,-0.35166612,-0.3988212,-0.43529412,-0.5022831,-0.40392384,-0.32020998,-0.3636891,-0.5227868,-0.4358273,-0.4815261,-0.38725308,-0.34081513,-0.41933587,-0.2093664,-0.3634324,-0.1306915,
00000000000000000003_0,-0.42276424,-0.3014315,-0.49530202,-0.43596268,-0.5376923,-0.55391705,-0.2748815,-0.14829345,-0.3903262,-0.5089163,-0.50508696,-0.42910448,-0.2853422,-0.5351629,-0.48842594,-0.41978192,-0.25123152,-0.3964766,-0.38511443,-0.31374437,-0.42115027,-0.51497257,-0.4856269,-0.47709265,-0.5112016,-0.5106022,-0.44053188,-0.4780557,-0.38199896,-0.41654488,-0.19025522,-0.47659856,-0.46051103,
00000000000000000004_0,0.06021898,-0.3500425,-0.4539185,-0.13467795,-0.4282246,-0.43547758,-0.39674315,-0.40072203,-0.31715977,-0.35135135,-0.35076794,-0.36329588,-0.28330684,-0.42138365,-0.36856556,-0.38589618,-0.38701668,-0.44083434,-0.42913696,-0.44507575,-0.45410293,-0.57995224,-0.3700616,-0.4409334,-0.49582636,0.11809641,-0.5064142,-0.5032933,-0.45419294,-0.45266005,-0.2596291,-0.5064214,-0.4576374,
00000000000000000005_0,-0.43027166,-0.4486519,-0.47355372,-0.3224536,-0.44004905,-0.2950379,-0.43607378,-0.4018237,-0.37657657,-0.46787915,-0.45480514,-0.39600104,-0.37775734,-0.32037815,-0.4200237,-0.41269842,-0.40193886,-0.47132352,-0.3844077,-0.37863168,-0.48654515,-0.4812433,-0.46680716,-0.5055413,-0.39414802,-0.50621283,-0.4798052,-0.5264858,-0.47175044,-0.31608897,-0.10271831,-0.26745164,-0.38965428,
00000000000000000006_0,-0.43660715,-0.4439541,-0.39575356,-0.35619316,-0.30960855,-0.22707035,-0.256433,-0.29956585,-0.19142535,-0.28184712,-0.4478152,-0.15795034,-0.13513513,-0.38766694,-0.327787,-0.23356009,-0.2990196,-0.08378923,-0.42379323,-0.31878644,-0.23704699,-0.5674192,-0.38517916,-0.39220616,-0.53381294,0.2226131,-0.4257007,-0.43933746,-0.45604622,-0.1334348,-0.10271273,-0.37448934,-0.37065724,
00000000000000000007_0,0.048630975,-0.2719486,-0.4769663,-0.4336493,-0.49187675,-0.52883434,-0.45011738,-0.40112045,-0.4387721,-0.47866806,-0.47936085,-0.44363636,-0.31204057,-0.5156863,-0.48092598,-0.3963578,-0.4194631,-0.41304347,-0.45072463,-0.3518851,-0.36726272,-0.5457778,-0.48471224,-0.3890317,-0.4035943,-0.45526317,-0.50507903,-0.48894718,-0.4212242,-0.43045563,-0.31559694,-0.5071156,-0.43679902,
00000000000000000008_0,-0.4587087,-0.4470527,-0.40227395,-0.31406552,-0.3599574,-0.40169492,-0.3519659,-0.36970243,-0.3918742,-0.3419036,-0.33800623,-0.39566484,-0.27665922,-0.28718534,-0.30322582,-0.27807084,-0.4007973,-0.3583461,-0.44141778,-0.26625767,-0.50062895,-0.5118561,-0.44670328,-0.38893804,-0.4826389,0.31424218,-0.37303177,-0.38685757,-0.373461,-0.26630136,-0.2825279,-0.2988764,-0.40404496,
00000000000000000009_0,-0.43073472,-0.38585666,-0.28126544,-0.1132586,-0.39910677,-0.3921507,-0.3044733,-0.34626377,-0.3697097,-0.35151514,-0.33902976,-0.3805395,-0.3,-0.42674533,-0.29844007,-0.28284022,-0.41839272,-0.4157847,-0.36316592,-0.22759159,-0.40991536,-0.50359714,-0.46729922,-0.36790526,-0.5169612,-0.4791735,-0.4486596,-0.41164455,-0.37383637,-0.1413073,-0.3118122,-0.50617284,-0.41714835,
