system:index,NIR,NIR_1,NIR_10,NIR_11,NIR_12,NIR_13,NIR_14,NIR_15,NIR_16,NIR_17,NIR_18,NIR_19,NIR_2,NIR_20,NIR_21,NIR_22,NIR_23,NIR_24,NIR_25,NIR_26,NIR_27,NIR_28,NIR_29,NIR_3,NIR_30,NIR_31,NIR_32,NIR_4,NIR_5,NIR_6,NIR_7,NIR_8,NIR_9,.geo
00000000000000000000_0,344.0,499.0,233.5,481.0,327.0,272.0,453.0,217.0,203.5,281.5,310.0,296.0,317.0,315.0,290.5,265.0,387.5,306.5,420.0,371.0,323.0,115.0,158.0,370.0,94.0,102.0,130.0,316.5,286.0,382.0,601.0,597.5,271.0,
00000000000000000001_0,388.0,405.0,323.5,517.0,329.0,269.0,413.5,233.0,241.0,348.0,288.0,303.0,639.0,298.0,281.0,250.5,330.0,335.5,411.0,336.5,156.5,91.0,139.0,331.0,92.0,103.0,97.5,268.0,268.0,292.0,612.0,651.0,286.0,
00000000000000000002_0,3028.0,3152.0,3012.0,2964.0,3057.0,3171.0,3093.0,3397.0,3178.0,3121.0,3083.0,3252.5,2876.0,3082.0,2931.0,3058.5,2983.0,3045.0,3055.0,2987.0,3134.0,3351.0,3477.0,3256.0,4028.0,2474.5,4045.0,3701.0,3091.5,3366.0,3088.0,3118.0,3172.0,
00000000000000000003_0,2858.0,3231.0,3262.0,3127.0,3192.0,3701.0,3666.0,4007.0,3636.0,3249.0,3451.5,3103.0,3934.0,3257.5,2945.0,3106.0,2900.0,2801.0,3488.5,2925.0,4061.0,3471.5,3395.0,3263.0,3138.5,3169.5,3668.0,3205.0,3349.0,3543.5,3383.5,3303.0,3568.0,
00000000000000000004_0,2862.0,3303.0,3036.5,3342.0,3209.0,3444.0,3164.0,2999.5,2883.0,2497.5,2821.0,3306.0,3289.0,3789.0,3453.5,3543.0,4009.0,3486.5,3424.0,3035.5,3540.0,4011.0,4084.0,3244.0,3564.5,3539.0,3487.0,3234.0,3408.5,3099.5,3175.0,3209.5,3181.0,
00000000000000000005_0,2989.5,2750.0,3127.0,3199.0,2856.0,3118.0,3241.0,3123.0,3205.0,3164.0,2842.5,2980.5,3071.0,3093.0,3110.0,2787.0,2764.0,3153.0,2852.5,2999.0,2766.0,3262.0,3189.0,2974.0,3318.0,3342.0,3329.0,3127.0,2620.0,2739.0,2635.0,2827.5,2925.5,
00000000000000000006_0,3055.0,3448.5,3255.0,3048.0,2974.0,2892.5,2595.0,3137.5,2978.5,2997.0,3172.5,2988.0,3060.0,3102.0,3369.5,3080.0,2953.0,3052.5,2812.0,2783.0,2675.0,2917.0,3470.0,3138.0,3245.0,3466.5,3347.0,3207.0,3305.0,3253.0,3127.0,2563.5,2838.0,
00000000000000000007_0,3359.5,4247.0,3644.5,3282.5,3692.0,3639.0,3774.0,3984.0,3780.5,3525.0,3381.5,3226.0,3709.0,3722.0,3372.0,3622.0,3536.0,3947.0,3664.0,3560.0,4016.0,3940.0,3881.0,3525.0,4037.0,3584.5,3755.0,3847.0,4136.5,3980.5,3604.5,3663.5,3803.0,
00000000000000000008_0,3169.0,3336.0,2467.0,2460.0,2435.0,2088.5,2394.5,2129.0,2409.0,2766.0,3252.0,3025.0,3109.0,2834.0,3096.0,3106.5,3293.5,3178.0,3413.0,3310.5,3016.5,3431.0,3595.5,3267.0,3920.0,3387.5,3736.0,2884.0,3090.0,2732.0,2532.0,2757.0,2453.0,
00000000000000000009_0,2487.0,3084.0,2867.0,3155.5,2882.0,3681.0,3266.0,3032.0,3163.0,3094.0,3205.5,3002.0,2902.0,3117.0,3474.5,3276.0,2923.5,3627.0,3499.0,3569.5,3367.0,3655.0,4183.0,3053.0,4256.0,3314.0,3987.5,3032.0,2864.0,3138.0,2837.5,3269.5,3014.0,
0000000000000000000a_0,3105.0,3427.5,3060.0,2780.5,2605.5,2506.5,2422.5,2625.0,2707.5,2561.5,2730.0,2699.0,3294.5,2675.0,2584.0,2535.0,2569.5,2620.0,2438.0,2649.0,2613.0,2889.5,3013.0,3438.0,2955.0,2926.0,3051.5,3275.0,2537.0,2917.5,3040.0,2691.0,2821.0,
0000000000000000000b_0,2855.0,2983.0,2383.5,2884.0,2524.0,2728.0,2879.0,2710.0,2688.5,2738.0,2708.0,2802.5,3071.0,2754.0,2433.0,2407.0,2585.0,2547.5,2515.0,2558.5,2464.0,2535.0,2772.5,3016.0,2926.0,2866.5,2799.5,2498.0,2571.5,2594.5,2576.0,2573.0,2454.0,
0000000000000000000c_0,3316.5,3443.0,3194.0,3047.0,2924.0,3440.0,3233.0,3493.0,3454.0,3224.0,3364.0,3154.0,3367.0,3147.0,3198.0,3222.5,3168.0,3069.0,3339.0,3290.5,3125.0,3266.5,3707.5,3346.0,3808.0,3294.0,3739.5,3151.0,3429.0,3176.0,3178.5,3615.0,3252.0,
0000000000000000000d_0,3122.5,3343.5,3646.0,3159.0,3176.0,3500.5,3538.5,3589.0,3506.0,3352.0,3360.0,3352.0,3819.0,3871.5,3220.0,3385.0,3472.0,3702.0,3598.0,3409.0,4028.0,3982.5,4108.0,3564.0,4377.0,3963.0,4316.0,3309.0,3459.5,3453.5,3835.5,3626.5,3444.0,
0000000000000000000e_0,2940.0,3664.5,3006.5,2888.0,2875.5,2719.5,2880.0,3095.0,3108.0,3632.5,2996.5,2847.0,3252.0,2737.0,2752.0,2862.0,2684.5,2992.0,2737.0,2847.0,2759.0,3086.5,3226.5,3403.0,3319.0,3256.0,3276.5,3144.0,3122.0,3226.0,3357.0,2996.0,2984.0,
