system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,.geo
00000000000000000000_0,384.0,974.0,399.5,948.0,586.0,504.0,1208.0,495.0,501.0,785.5,708.0,768.0,548.0,891.0,663.0,603.0,896.0,853.0,889.0,847.0,338.0,349.0,364.0,721.0,218.5,268.0,348.0,815.0,334.0,685.0,619.0,691.5,463.0,
00000000000000000001_0,377.0,462.0,561.5,1005.5,651.0,504.0,1123.0,477.5,489.5,802.0,606.0,754.0,393.0,848.0,658.0,584.0,880.0,841.0,856.0,844.0,210.0,183.0,244.0,617.0,201.0,213.0,259.5,582.0,393.0,590.0,571.0,728.0,520.5,
00000000000000000002_0,326.0,348.0,580.0,788.0,626.0,696.0,670.5,595.5,652.5,658.5,659.0,571.5,454.0,540.0,634.5,752.0,730.0,587.0,554.0,652.0,584.0,641.0,563.0,402.0,459.0,890.5,469.0,386.0,742.0,659.0,778.5,739.5,633.0,
00000000000000000003_0,526.0,763.0,587.0,490.5,556.0,595.5,641.0,657.0,527.0,458.0,451.5,477.0,453.0,496.0,570.0,623.5,467.0,892.0,570.5,688.0,457.0,521.0,668.0,526.0,635.0,502.0,593.0,500.0,480.0,592.5,728.5,664.0,652.0,
00000000000000000004_0,475.5,497.0,558.5,553.0,524.0,676.0,622.0,582.5,565.0,481.0,459.0,473.0,412.0,507.0,541.0,602.0,489.0,557.0,537.0,611.0,520.0,460.0,550.0,419.5,616.5,520.0,461.0,348.0,341.5,428.0,682.0,596.5,661.0,
00000000000000000005_0,910.5,736.5,1029.5,797.0,864.0,1024.0,1092.0,988.5,949.0,726.0,689.5,735.0,746.0,702.0,843.0,900.5,800.0,619.0,700.5,782.5,764.0,884.0,759.0,654.0,735.0,701.0,886.0,562.0,520.0,586.0,1000.5,1171.0,1033.0,
00000000000000000006_0,542.0,538.5,525.0,615.0,561.0,616.5,691.5,688.5,570.0,693.5,577.0,572.0,624.5,519.0,672.5,734.5,815.0,713.0,680.0,1202.0,706.0,528.0,553.0,675.0,488.5,442.5,615.0,524.5,477.0,547.0,711.0,792.0,899.0,
00000000000000000007_0,764.5,614.5,631.5,591.5,571.0,623.0,631.0,597.0,569.0,505.0,520.5,544.0,696.0,531.0,539.5,562.0,509.5,532.0,599.5,671.0,523.0,554.0,569.0,697.5,579.0,581.5,493.0,564.0,598.5,655.0,578.5,590.5,687.0,
00000000000000000008_0,721.0,549.0,372.0,424.0,373.0,390.5,348.0,429.0,346.0,643.0,847.0,768.0,701.0,769.5,676.0,778.0,649.0,701.0,703.0,665.0,778.0,705.0,673.5,734.5,615.0,757.0,727.0,762.0,598.0,574.0,606.0,497.5,387.0,
00000000000000000009_0,839.0,1011.0,632.0,602.5,591.0,570.0,805.0,794.0,660.0,756.0,725.0,760.0,925.0,761.0,839.5,739.0,795.0,676.0,734.0,789.5,700.5,753.0,584.5,903.0,538.0,710.0,667.0,684.0,867.0,731.0,658.5,692.5,709.0,
0000000000000000000a_0,946.0,828.0,545.0,774.5,923.5,1238.0,1001.0,1118.0,1032.5,1230.0,1122.0,1122.0,879.0,1024.5,783.0,802.0,824.0,745.0,725.5,902.0,880.0,812.5,981.0,834.0,850.5,808.0,672.5,631.0,1013.0,798.0,816.0,935.0,735.0,
0000000000000000000b_0,772.0,537.5,552.5,638.0,664.0,750.0,694.0,697.5,701.0,850.0,778.5,756.5,591.0,872.0,790.0,750.0,770.0,636.0,544.0,619.5,666.5,478.0,671.5,514.0,601.0,591.5,626.5,436.0,625.0,517.0,690.0,631.0,582.0,
0000000000000000000c_0,831.5,596.0,692.0,711.0,583.0,652.5,687.0,694.0,593.0,617.0,584.0,635.0,679.0,693.0,745.0,698.0,691.5,605.0,526.0,658.0,709.0,717.5,609.0,623.0,537.5,640.5,665.5,570.0,620.0,645.0,645.5,569.0,745.0,
0000000000000000000d_0,926.5,855.0,579.0,745.0,626.5,710.0,688.5,731.5,641.0,739.5,720.0,726.0,723.5,529.5,684.0,668.0,683.0,624.5,695.0,783.0,548.5,720.0,680.0,757.0,454.5,648.0,629.0,786.0,716.0,696.0,765.5,633.0,665.0,
0000000000000000000e_0,710.5,520.0,546.5,611.0,617.5,637.0,599.0,586.0,639.0,578.5,682.0,617.0,709.0,611.0,592.0,679.5,613.5,531.0,529.0,585.0,506.0,567.0,524.5,666.0,473.0,414.0,560.0,600.0,675.0,672.0,802.0,784.0,602.5,
0000000000000000000f_0,818.0,669.0,522.0,743.0,686.0,791.0,636.5,987.0,492.0,968.0,636.0,652.5,730.0,1067.0,694.0,652.0,683.0,625.0,726.5,663.0,673.0,616.0,608.0,593.0,507.0,606.5,584.0,417.5,515.0,543.0,995.0,643.0,641.0,
00000000000000000010_0,1164.0,842.0,833.0,899.5,726.5,840.0,805.0,805.0,747.0,862.0,810.0,866.0,733.0,638.0,922.0,1059.5,915.5,871.0,767.0,845.0,993.5,913.0,810.5,670.0,637.0,933.0,820.0,718.0,702.0,720.5,805.0,730.0,803.0,
00000000000000000011_0,742.0,634.0,602.0,744.5,682.5,645.0,607.0,652.0,586.0,695.0,623.0,716.0,636.0,531.5,735.5,784.0,713.0,713.0,633.0,706.5,639.0,732.0,644.0,605.0,489.0,642.0,680.0,594.0,615.0,506.0,786.5,680.0,757.5,
00000000000000000012_0,619.0,500.5,744.0,858.0,936.5,924.0,959.5,931.0,664.0,778.0,851.0,905.0,510.0,810.0,1109.0,1017.0,843.5,796.0,822.0,670.0,1002.0,874.0,911.5,817.0,744.5,646.0,919.0,747.0,788.5,912.0,803.5,707.0,847.0,
