system:index,SWIR2,SWIR2_1,SWIR2_10,SWIR2_11,SWIR2_12,SWIR2_13,SWIR2_14,SWIR2_15,SWIR2_16,SWIR2_17,SWIR2_18,SWIR2_19,SWIR2_2,SWIR2_20,SWIR2_21,SWIR2_22,SWIR2_23,SWIR2_24,SWIR2_25,SWIR2_26,SWIR2_27,SWIR2_28,SWIR2_29,SWIR2_3,SWIR2_30,SWIR2_31,SWIR2_32,SWIR2_4,SWIR2_5,SWIR2_6,SWIR2_7,SWIR2_8,SWIR2_9,.geo
00000000000000000000_0,48.0,49.5,32.5,38.0,36.0,54.0,35.0,37.0,39.0,61.0,55.5,43.0,85.0,33.5,33.5,81.0,50.5,39.5,45.0,62.0,102.0,41.0,68.0,49.0,22.0,20.0,57.0,30.5,21.0,51.0,83.0,137.5,-14.5,
00000000000000000001_0,38.0,47.0,29.5,39.0,61.0,54.0,64.5,50.5,34.5,62.0,46.0,49.0,172.0,22.0,59.0,51.0,29.0,40.0,47.0,53.0,111.5,37.0,66.0,52.0,25.0,17.0,29.5,25.0,22.0,41.0,84.0,98.0,16.5,
00000000000000000002_0,549.0,586.0,706.0,1090.0,932.0,903.0,922.0,969.0,940.5,945.5,1088.0,820.5,624.0,842.0,999.5,1079.0,1013.0,881.0,856.0,1044.0,955.0,1210.0,1071.0,728.0,899.0,1646.5,967.0,675.5,1163.0,959.0,1108.0,1175.5,901.0,
00000000000000000003_0,716.0,1254.0,994.5,748.0,913.0,1178.5,1143.0,1143.0,1035.0,903.0,884.0,822.0,817.0,821.0,999.0,1047.0,746.0,1294.0,907.0,1245.0,998.0,1030.5,1142.0,875.0,1165.0,935.0,1190.0,738.0,714.0,871.0,990.0,988.0,1070.0,
00000000000000000004_0,661.0,698.0,837.0,750.0,815.0,1020.0,905.0,922.0,863.0,618.0,659.0,704.0,685.0,707.0,750.0,882.5,723.0,798.0,801.0,938.0,802.0,969.5,969.0,725.0,1413.5,1019.0,853.0,664.5,629.0,635.0,1023.0,926.5,984.0,
00000000000000000005_0,1341.5,1197.0,1530.5,1211.5,1315.0,1775.0,1867.0,1681.0,1496.0,1283.0,1260.0,1200.0,1053.5,1063.0,1311.0,1487.0,1127.0,1019.0,1150.5,1195.5,1370.0,1766.0,1366.0,1102.0,1386.0,1382.0,1660.0,875.0,852.0,899.0,1291.0,1502.0,1483.5,
00000000000000000006_0,710.0,785.0,770.0,863.0,853.0,974.0,1002.5,1080.0,859.0,1074.5,894.0,919.0,985.5,731.0,951.0,1086.5,1156.0,885.5,1113.0,1736.0,1155.0,1122.0,1055.0,1067.0,969.5,988.5,1223.0,764.0,652.0,815.0,1011.0,1236.5,1151.5,
00000000000000000007_0,954.0,821.5,977.0,833.0,944.0,1068.0,1080.0,1084.5,1084.0,886.0,856.5,939.0,851.0,880.0,888.0,903.0,826.5,801.0,872.0,910.0,853.0,1025.0,975.0,1005.5,1052.0,1015.0,994.0,779.0,840.0,931.5,719.5,803.5,1024.0,
00000000000000000008_0,990.0,815.0,517.0,533.0,521.0,556.0,521.0,725.5,616.0,1220.0,1238.0,1110.0,917.5,1113.0,1016.0,1185.0,962.0,1054.0,1000.0,1004.0,1184.5,1378.0,1246.0,1132.0,1225.0,1444.5,1342.0,1102.0,902.0,707.0,805.0,673.0,578.0,
00000000000000000009_0,1147.0,1386.5,838.0,899.5,928.5,733.0,1015.0,1303.0,990.0,1189.0,1049.0,1103.0,1113.0,986.0,1241.5,1093.0,1338.5,1018.0,839.0,1107.5,1153.0,1442.0,1138.5,1409.0,1064.0,1176.0,1278.5,960.0,1635.0,1089.0,892.0,1145.5,1102.5,
