system:index,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
00000000000000000000_0,165.7666,441.6098,192.79181,494.7825,351.1411,230.2033,543.9582,254.2745,251.19945,318.01154,306.95514,362.5615,253.5103,404.38654,346.55154,257.8931,410.021,452.45404,415.0127,435.2847,14.0492,136.9027,214.41019999999995,423.9158,145.6994,179.4279,167.394,408.10205,214.8736,278.8119,301.0116,194.2523,259.2807,
00000000000000000001_0,171.8859,216.6981,263.67996,527.5445,308.0857,223.2014,495.1043,221.86664,247.57675,286.2532,256.8074,356.0425,39.8023,397.32623,325.1989,262.4497,463.0692,421.4411,411.3023,417.1698,39.43935,77.00399999999999,135.6195,383.3852,118.8196,134.08265,178.99255,356.4527,200.4625,289.1037,280.4245,249.8612,269.7067,
00000000000000000002_0,-618.1216,-627.7385,-801.2795,-1220.7906,-1146.6821,-1084.7224,-1175.9958,-1426.9916,-1480.9226,-1607.0297,-1735.6154,-1340.6245,-683.7935,-1346.6779,-1463.5876,-1481.0903,-1464.4305,-1438.6389,-1205.6407,-1629.7544,-1602.8387,-648.6182000000001,-519.5934,-801.6444,-191.78590000000014,-1338.1023,-190.13040000000007,-692.36926,-1416.6343,-1169.8301,-1245.2294,-1365.6028,-1059.378,
00000000000000000003_0,-810.6073,-1531.638,-1242.223,-819.31006,-1128.501,-1457.3794,-1568.9934,-1765.4095,-1670.6552,-1602.0258,-1566.4073,-1276.9707,-902.0787,-1234.9238,-1525.0023,-1456.6205,-1307.4663,-1499.4888,-1303.9283,-1683.5094,-1721.4766,-407.95194999999995,-541.3538000000001,-1035.3433,-628.4774,-356.03245000000004,-646.0576000000002,-778.9484,-787.6035,-1007.4304,-1154.6914,-1178.0715,-1337.2705,
00000000000000000004_0,-768.06006,-793.40356,-1034.3535,-796.69006,-1003.8408,-1172.7083,-1163.0332,-1289.4733,-1218.1425,-951.0769,-857.1664,-1018.8706,-695.455,-1056.136,-940.09375,-1182.0461,-1020.0313,-998.3618,-966.148,-1318.3167,-1365.4703,-165.63309999999998,-86.22865000000002,-830.50464,-1001.2019999999999,-387.0612999999999,-300.1637999999997,-766.73114,-691.3889,-761.47656,-927.87,-1085.8887,-1140.6412,
00000000000000000005_0,-1690.1085,-1559.9915,-1957.1626,-1562.0715,-1645.1653,-2189.5073,-2426.1091,-2217.0288,-2334.9075,-2191.8252,-2006.8303,-1884.818,-1387.2504,-1616.1721,-2017.081,-2083.5552,-1682.4027,-1490.2058,-1693.7035,-1892.5355,-2340.7383,-1436.8078999999998,-990.3402,-1471.5142,-1013.3761000000001,-1052.8342000000002,-1427.5279000000003,-1110.1178,-1128.5007,-1165.6191,-1205.4976,-1817.9712,-1771.2241,
00000000000000000006_0,-822.898,-850.8108,-821.3543,-990.5089,-998.7492,-1226.6959,-1499.9211,-1626.2655,-1288.5134,-1747.3054,-1454.9194,-1463.945,-1168.3627,-1200.0406,-1448.9324,-1555.4456,-1713.903,-1261.3452,-1757.848,-2156.4094,-1872.0127,-726.2529,-478.62109999999984,-1290.7776,-425.32555000000013,-395.16325000000006,-756.3207000000001,-790.6764,-755.2309,-796.2192,-1114.2806,-1432.4922,-1351.9893,
00000000000000000007_0,-1032.1353,-799.16077,-1214.2611,-1044.7867,-1163.9991,-1322.8562,-1452.29,-1609.6699,-1594.6932,-1585.6208,-1448.669,-1408.2814,-813.3334,-1297.7706,-1394.7534,-1344.2756,-1242.1055,-946.7306,-1096.3103,-1292.0323,-1399.2247,-279.59279999999995,-186.04809999999975,-1090.4807,-328.743,-354.98265000000004,-371.9834999999998,-801.0324,-879.6041,-887.778,-757.73303,-908.7041,-1226.6877,
00000000000000000008_0,-1224.4843,-1006.4241,-564.3782,-498.6736,-531.374,-648.1625,-558.99945,-971.1023,-897.4125,-1923.0321,-1776.0857,-1462.4927,-925.1411,-1732.1074,-1497.42,-1559.5522,-1536.9468,-1359.184,-1366.3685,-1438.9353,-1936.5059,-917.1975000000003,-674.6185000000002,-1341.3365,-683.4599,-971.83565,-649.8525999999999,-1260.0486,-1133.9418,-817.1723,-899.9061,-708.2306,-570.7245,
00000000000000000009_0,-1430.9963,-1636.0059,-1008.5638,-1087.3767,-1138.1702,-799.6866,-1304.6486,-1786.9576,-1480.9706,-1827.6554,-1608.4358,-1692.3286,-1314.4564,-1456.4426,-1758.2765,-1406.164,-1887.9087,-1313.8279,-1239.152,-1327.6991,-1931.3589,-886.4345,-406.51995000000005,-1581.2179,-353.9983000000001,-658.5374,-670.3029500000002,-1050.2932,-2137.7927,-1268.1337,-1032.1141,-1378.712,-1340.512,
0000000000000000000a_0,-1883.5258,-1269.9152,-964.3355,-1593.7056,-1923.217,-2771.7021,-2211.52,-2348.5054,-2386.0847,-3029.648,-2489.7317,-2413.3584,-1686.5991,-2378.7754,-1809.4314,-1705.1477,-1725.0984,-1736.1548,-1706.8517,-2185.8816,-2366.9226,-1214.9066000000003,-1599.5349,-1563.164,-1253.2187000000001,-1303.8636999999999,-998.29295,-969.087,-2256.0664,-1365.9734,-1290.3059,-1585.9943,-1492.159,
0000000000000000000b_0,-1446.0488,-922.0522,-905.22345,-1144.3062,-1271.7175,-1387.5905,-1335.6354,-1554.2961,-1658.1053,-2168.7063,-1801.5741,-1714.0947,-992.9542,-1659.9825,-1798.9285,-1699.3657,-1613.257,-1374.6553,-1358.7885,-1600.6187,-1727.2122,-723.0923,-911.1578499999999,-796.0161,-724.6245000000001,-673.2266000000001,-792.83115,-761.2613,-1107.0326,-793.5028,-956.2408,-1256.9827,-941.8481,
0000000000000000000c_0,-1070.4204,-960.3959,-890.9374,-1139.1082,-1188.8341,-1140.3733,-1195.4382,-1521.333,-1422.2936,-1628.0256,-1584.9712,-1411.7285,-1006.2428,-1390.8525,-1617.9983,-1444.4565,-1472.6667,-1345.6443,-1343.4587,-1509.727,-1770.6709,-839.4427999999999,-620.6384500000001,-1169.1469,-433.35709999999995,-556.4386000000001,-662.29415,-1098.41,-1052.4854,-1040.6808,-952.2376,-826.4329,-960.7053,
0000000000000000000d_0,-1598.3928,-1565.2114,-969.7044,-1324.3107,-1218.362,-1290.5782,-1360.853,-1512.4651,-1499.9645,-1887.0232,-1894.9696,-1427.9922,-1020.15894,-1044.5383,-1641.9191,-1527.4304,-1512.2408,-1492.54,-1515.9609,-2115.4912,-1939.0317,-540.0899000000001,-641.6225999999999,-1268.9069,-326.24580000000014,-271.5060000000001,-584.8795,-1157.6252,-1655.8806,-1129.3246,-1366.2085,-952.6441,-1037.5865,
0000000000000000000e_0,-976.6797,-846.11475,-961.00366,-1014.4501,-1195.5676,-1137.6187,-1176.4703,-1435.2343,-1502.101,-1352.1023,-1408.6399,-1324.0201,-885.5614,-1356.9764,-1452.5432,-1556.7617,-1469.8578,-1201.7032,-1218.3658,-1348.1326,-1628.9716,-743.52395,-466.2953000000001,-1020.4632,-282.1524999999998,-269.95000000000016,-351.69710000000003,-861.01794,-1001.07715,-1026.2416,-990.8898,-1251.4004,-1002.2332,
0000000000000000000f_0,-815.17633,-887.0254,-946.274,-1348.5793,-1327.4453,-1214.0205,-1368.4487,-1955.7032,-1381.0396,-1747.8701,-1440.1616,-1234.9028,-1144.4224,-2259.331,-1620.1128,-1520.6952,-1645.2662,-1296.6187,-1473.2837,-1552.9692,-1788.8251,-499.9845,-623.3452000000002,-1106.2595,-193.85549999999995,-299.67285000000004,-444.98800000000017,-482.71704,-537.52814,-692.4963,-1389.1481,-942.41705,-1034.0364,
00000000000000000010_0,-2052.474,-1619.5195,-1707.1467,-1768.5371,-1493.3262,-1572.8685,-1628.6951,-1661.157,-1355.0978,-1854.0339,-1846.5315,-1549.9353,-1204.7557,-1429.2402,-2090.4487,-2516.147,-2025.3899,-1753.4915,-1942.7502,-2007.4222,-2571.5977,-1017.5751999999998,-1065.16295,-1228.9888,-699.8027500000001,-835.4843,-1122.8780000000002,-1163.4132,-1399.9343,-1345.948,-1286.8895,-1269.3005,-1747.133,
00000000000000000011_0,-1291.8918,-1293.6742,-1056.5872,-1460.523,-1010.7777,-1094.5522,-1241.3038,-1433.4646,-1126.7167,-1551.646,-1338.4952,-1349.4792,-1096.07,-1157.5762,-1670.5767,-1809.0814,-1616.4583,-1396.6074,-1413.9846,-1677.587,-1652.1752,-811.5939000000001,-875.2332000000001,-883.86646,-472.8964999999999,-489.90669999999994,-808.2091,-693.0168,-1371.9868,-1050.3009,-1157.4484,-1300.5228,-1400.8264,
00000000000000000012_0,-1315.2935,-1075.7991,-1380.6881,-1914.8734,-2142.045,-1909.8638,-2111.4915,-2346.752,-1619.7891,-2122.909,-2245.7012,-2302.6797,-1018.2793,-1950.7634,-2647.3105,-2499.5615,-2305.8662,-1693.4563,-2129.7021,-1699.1254,-2995.6433,-1140.3496999999998,-1150.3954,-1907.2686,-886.7666000000002,-500.7474000000001,-1325.2897,-1374.7603,-1594.1243,-1783.6055,-1333.6912,-1270.6869,-1728.0847,
00000000000000000013_0,-1465.8552,-958.5027,-1537.9033,-1410.5817,-1481.4973,-1306.7316,-1229.5173,-1582.0562,-1512.4237,-1774.2222,-1432.5713,-1274.1106,-1382.5862,-1451.2382,-1651.7473,-1822.388,-1671.3932,-1246.0793,-1448.9514,-1466.408,-2170.1338,-720.45585,-916.5335000000002,-1068.508,-432.41370000000006,-380.96209999999985,-584.828,-806.84235,-1354.77,-1107.5098,-1111.3577,-1206.2736,-1506.5979,
00000000000000000014_0,-1248.3107,-924.05566,-1687.0381,-1055.5757,-1148.7644,-1343.343,-1374.0181,-1334.4292,-1502.0415,-1649.9437,-1634.8904,-1580.3398,-1213.2524,-1385.0125,-1566.8887,-1796.5425,-1679.4928,-1091.7417,-1507.497,-1400.0997,-2213.8604,-953.9022,-864.2054,-1041.335,-515.6094,-466.90305000000023,-645.6524000000002,-896.05994,-1408.4731,-970.37366,-1153.0295,-1180.6062,-1560.8737,
00000000000000000015_0,-2995.157,-2155.9673,-2763.334,-2722.68,-2438.2544,-2436.6746,-2630.29,-2663.0532,-2876.645,-3044.7832,-3146.6787,-2581.6438,-2096.2432,-2913.9775,-3212.6265,-3164.0796,-2440.6926,-2454.4739,-2995.826,-2952.732,-3480.8882,-2019.7559500000002,-1634.9202,-2318.2861,-1512.6628,-1907.0444,-1590.6936,-2069.306,-2172.1,-2154.6514,-1772.5339,-1964.0852,-2437.7334,
00000000000000000016_0,-1052.019,-703.1265,-846.5023,-1000.5167,-836.4775,-930.72107,-956.1675,-1220.1824,-1170.5996,-1570.126,-1228.9796,-1191.2902,-844.5023,-1268.2925,-1103.2501,-1367.3278,-1324.006,-1111.0841,-1355.8538,-1301.353,-1726.499,-365.3318999999998,-280.4778999999998,-1186.7283,-248.37864999999996,-286.22145,-425.29409999999984,-932.3346,-613.7877,-978.55,-847.4264,-1009.9465,-920.4062,
00000000000000000017_0,-1248.6913,-758.2802,-950.59,-1054.9607,-1075.5869,-1042.3191,-1015.772,-1299.0696,-1217.299,-1457.4338,-1288.8728,-1290.7015,-928.8927,-1104.4397,-1215.8369,-1283.8289,-1166.7675,-1055.1259,-1258.3156,-1473.285,-1859.896,-401.59500000000014,-408.4277500000001,-920.0701,-347.22360000000003,-227.25075000000012,-303.4108,-850.003,-930.617,-845.98303,-905.6053,-971.8576,-989.6433,
00000000000000000018_0,-1457.6042,-1105.1152,-1268.2004,-1166.2662,-1211.013,-1195.8452,-1239.8024,-1356.7821,-1168.0265,-1796.7004,-1866.8542,-1267.0573,-1869.8616,-1272.6045,-1419.7227,-1594.8079,-1552.8542,-1371.7552,-1333.2603,-1648.4941,-1904.3208,-556.6754,-576.8981000000001,-1609.0061,-68.59629999999987,-115.09830000000005,-201.03225000000006,-897.7845,-1400.54,-1263.6067,-1484.9897,-1552.7262,-1451.2969,
00000000000000000019_0,-1468.1913,-1253.1465,-1341.0271,-1375.1488,-1252.7102,-1475.7158,-1259.5142,-1732.4811,-1587.4822,-1742.2241,-1858.5621,-1597.721,-1097.6106,-1552.7637,-1872.679,-1670.8904,-1747.2915,-1331.515,-1401.9841,-1839.1824,-2218.2493,-792.44555,-794.2475000000002,-1235.6697,-711.2339000000001,-786.4625500000001,-463.67969999999997,-1065.1613,-1325.0256,-1345.6677,-1153.1245,-1270.1367,-1120.3549,
0000000000000000001a_0,-821.9947,-897.7119,-854.55817,-973.8194,-948.4502,-1130.4718,-967.2879,-1305.6316,-1282.9133,-1472.8549,-1279.9584,-1134.1858,-1009.5481,-1180.4451,-1065.5726,-1300.5494,-1078.9246,-915.2291,-1012.7804,-1265.8362,-1498.008,-390.3094999999999,-43.65839999999997,-946.3428,-200.39685000000006,-356.9008000000001,-180.2436499999999,-616.6952,-922.1554,-949.973,-922.2445,-859.97296,-955.3927,
0000000000000000001b_0,-1412.1824,-1457.7949,-1134.8715,-1291.5928,-1445.5782,-1491.2637,-1762.8708,-1976.0442,-2063.3699,-1675.015,-1746.5895,-1739.1809,-1422.1101,-1644.5956,-1627.2126,-1560.852,-1973.6294,-2188.4238,-1084.6348,-2004.6476,-1716.4211,-1003.7945,-1098.3917,-1438.2539,-860.0388500000001,-506.12300000000005,-675.4467000000002,-942.05444,-1356.2699,-1001.65063,-1347.8877,-1184.688,-1798.5159,
0000000000000000001c_0,-1726.1248,-1431.6827,-1191.0952,-1320.2402,-1309.7546,-1424.1432,-1388.5634,-2053.6191,-1729.6294,-1639.2716,-1727.5151,-1436.8887,-1615.542,-1465.4263,-1786.8511,-1639.6942,-1601.3986,-1554.2404,-1719.0234,-1732.4541,-1961.4733,-1235.2786,-706.4801,-1371.913,-863.6802,-653.5093999999999,-373.95555,-1079.749,-1521.1045,-1693.6707,-1910.5673,-1301.731,-1570.7319,
0000000000000000001d_0,-1541.2617,-1188.215,-1469.1877,-1475.0707,-1415.3433,-1712.913,-1315.9958,-1832.028,-2007.8462,-1631.5715,-1564.582,-1354.5515,-1147.0381,-1824.467,-1899.9661,-1620.2615,-1612.0166,-1776.6831,-1383.5823,-1773.9344,-2128.9453,-652.6552000000001,-757.2708999999999,-1098.8376,-578.6276,-380.87595,-407.40550000000013,-720.3291,-976.1941,-1363.0068,-1300.7616,-1619.6332,-1578.8965,
0000000000000000001e_0,-1849.9974,-2019.9806,-1565.0469,-1429.0688,-1546.7032,-1693.3013,-1908.6548,-1954.223,-2084.7341,-2126.9065,-2285.7666,-2348.4019,-1750.7379,-2111.8125,-2376.1091,-2138.0674,-2332.4885,-1848.7365,-1898.9119,-2280.1577,-2011.629,-1352.0998,-1207.82955,-1556.7904,-1023.3955,-1240.9771000000005,-1579.2337000000002,-1117.8927,-1724.6335,-1588.487,-1787.7778,-1532.8369,-1897.6871,
0000000000000000001f_0,-1973.7549,-1497.7465,-1526.388,-1465.5464,-1385.7712,-1632.4381,-1793.5618,-2184.5984,-2115.3774,-2190.519,-1892.94,-2096.1506,-1784.8232,-2343.0923,-2370.957,-2513.1025,-2370.5115,-2334.9753,-2103.4822,-2104.4265,-2527.476,-1283.9672,-1155.4820000000004,-1800.5171,-1214.2960000000003,-1000.3164,-919.0830000000001,-1408.2693,-2563.1414,-953.387,-1308.8247,-1215.7559,-1623.0956,
00000000000000000020_0,-1155.1523,-1221.4911,-1103.2542,-1001.4536,-916.0231,-1399.38,-1067.932,-1400.3782,-1401.0457,-1684.9136,-1399.8652,-1462.9346,-1096.8743,-1451.3055,-1753.436,-1607.3728,-1701.6243,-1525.983,-1436.9164,-1571.2825,-1556.1277,-533.0549999999998,-266.9848,-1410.2294,-867.1417,-599.7433000000001,-323.9197000000002,-993.6059,-1290.174,-948.3854,-1199.4553,-1013.5987,-1299.6682,
00000000000000000021_0,-1452.4784,-1316.5464,-1192.384,-807.27356,-661.67084,-1349.8799,-939.0316,-1392.6038,-1410.1045,-1436.8158,-1177.9764,-1449.0403,-996.4136,-1394.17,-1829.4026,-1806.6399,-1866.3308,-1578.0845,-1189.6982,-1448.3853,-1431.0713,-693.4023,-644.7347000000001,-1312.0793,-397.04709999999983,-12.56485000000012,-476.0156000000001,-1160.3774,-1406.805,-1140.4941,-1044.3518,-1030.8682,-1200.6162,
00000000000000000022_0,-2479.1526,-2112.4668,-1665.3784,-1679.4155,-1001.6897,-1782.3817,-1899.6968,-2185.9023,-2257.6694,-1927.4904,-1746.6271,-1664.9259,-1750.0005,-2340.947,-2382.3926,-2244.4275,-2099.338,-1978.2615,-2184.4746,-2030.4822,-2106.6257,-1124.2761,-505.5484,-1747.0879,-862.0962000000001,-422.69460000000004,-883.4501999999999,-1473.8319,-1846.6025,-1626.5927,-1423.5579,-1195.7913,-1420.6226,
00000000000000000023_0,-909.619,-1134.1067,-1146.0135,-1183.0529,-1178.1456,-1231.0298,-1429.7927,-1512.669,-1941.975,-2168.1033,-2142.1316,-1535.6451,-1007.2491,-1495.0343,-1789.2932,-1657.0293,-1406.5349,-1305.1704,-1444.536,-1545.3978,-2016.3802,-532.0258999999999,-845.8517,-1210.3282,-726.3853999999999,-795.6736499999998,-685.2439500000003,-863.44324,-960.2145,-813.9835,-979.4059,-1380.613,-1278.7588,
00000000000000000024_0,-989.8233,-991.3489,-902.8878,-906.9463,-959.6602,-1944.0945,-1213.6261,-2073.2654,-1447.4119,-1535.2639,-1387.1392,-1549.3718,-875.7749,-1159.7437,-1494.3516,-1541.1904,-1329.8229,-1154.6172,-1319.4319,-1657.125,-1640.2478,-983.2354000000003,-794.4129000000001,-1135.4937,-523.2327000000001,-518.2835500000001,-425.34895,-742.8869,-1114.5714,-1205.5483,-970.6626,-1119.2911,-1506.3235,
00000000000000000025_0,-1162.5842,-999.7831,-875.1721,-1093.46,-1038.268,-1363.9595,-834.2051,-1516.1263,-1622.4626,-1505.6605,-1318.4331,-1273.1476,-964.4757,-1198.6064,-1408.074,-1380.657,-1291.9739,-1253.6641,-1413.3777,-1875.6174,-1592.8748,-1165.3261,-762.85355,-1185.6066,-906.4230000000001,-598.65995,-830.1954500000002,-826.94275,-1050.9498,-1139.7878,-1435.8654,-940.854,-1115.1022,
00000000000000000026_0,-1297.1451,-1702.2812,-1660.7028,-1683.9048,-1404.7521,-1490.9996,-1398.5883,-1998.9745,-2136.7156,-1883.4519,-1666.6069,-1597.7198,-1553.8359,-1582.1313,-1724.4915,-1764.3927,-1909.7659,-1657.3197,-1607.0835,-2019.0627,-2160.6003,-1314.8803500000001,-415.8476000000003,-1471.3119,-704.6316999999999,-634.32135,-474.60630000000015,-661.1315,-1670.857,-1342.2635,-1686.9922,-1409.6533,-1840.9602,
00000000000000000027_0,-2035.1771,-1784.2522,-2003.1371,-1910.1559,-1795.9989,-2042.0078,-1818.8777,-2458.501,-2516.1917,-2069.8982,-2085.151,-2213.755,-1547.3983,-1925.6298,-2437.1636,-2169.0442,-2157.0044,-1654.4299,-1727.8824,-2051.1865,-2426.5356,-1504.6666999999998,-1230.8108499999998,-1868.7667,-638.4758999999999,-711.0964999999999,-727.1583000000002,-1186.741,-1945.0906,-1982.0522,-1949.2903,-2005.9803,-2431.7593,
00000000000000000028_0,-1298.9385,-1001.8556,-1390.7927,-1356.0499,-1298.4081,-1554.9216,-1474.8154,-1842.1538,-2059.569,-1757.695,-1649.4877,-1578.1395,-990.7292,-1542.8877,-1627.7047,-1577.2085,-1948.9706,-1182.979,-1618.6149,-1400.5509,-1830.1692,-472.0768500000001,-476.1219500000002,-1063.306,-817.2837500000002,-821.3672000000001,-423.03330000000017,-803.25073,-1096.6628,-1143.9985,-1058.0786,-1178.8171,-1733.436,
