"","system.index","NIR","NIR_1","NIR_10","NIR_11","NIR_12","NIR_13","NIR_14","NIR_15","NIR_16","NIR_17","NIR_18","NIR_19","NIR_2","NIR_20","NIR_21","NIR_22","NIR_23","NIR_24","NIR_25","NIR_26","NIR_27","NIR_28","NIR_29","NIR_3","NIR_30","NIR_31","NIR_32","NIR_4","NIR_5","NIR_6","NIR_7","NIR_8","NIR_9",".geo","CID","class"
"1","00000000000000000000_0",1461.5,2092,1146,1610,1976,1353,1937.5,1971.5,1690,2025,1961.5,2133,2020,1659,1395,1840,1947.5,1678,1828,2043,1919,1366,2404.5,2283.5,2389,1810,2016,1776,2502,1632,2295,2268.5,1967,NA,1,"for"
"2","00000000000000000001_0",1550.5,2131,985,1532,1748.5,1664,1839,1931.5,1840,2040.5,2135.5,1935,1662,2080,1590.5,2041.5,2029,1873,1989,1947.5,2083,1664.5,2458,2307,2381,1956,2456,1372,2074,1592,2131.5,2039,1715,NA,2,"for"
"3","00000000000000000002_0",2601,3112,2667,2618,2526,2526,2751,2790,2660.5,2846,2807.5,2957,3124,2693,2362.5,2606,2729,2439.5,2585,2454,2410,2508.5,2962,3206,3026,2780.5,2727,2869,3657,2796,2722,3053,2743,NA,3,"for"
"4","00000000000000000003_0",2289,2858,2433,2833,2694,2460,2748.5,2883,2691.5,2916,2916,2778,2619.5,2986.5,2550,2708.5,2876,2798,2891,2797,2601,2521.5,3110,2957,3085,2853,2908.5,2287,3358,2752,2765,2909.5,2742,NA,4,"for"
"5","00000000000000000004_0",2434,2387,2310.5,2220,2452.5,2324,2486,2574,2463,2580,2495,2473,2342,2608.5,2649.5,2533.5,2513,2727,2560.5,2580,2523.5,2619,2825,2455,2763,2797.5,2699.5,2408,2608,2509,2283,2399.5,2192,NA,5,"for"
"6","00000000000000000005_0",2568.5,3032,2486.5,2652,2477,2337,2551,2853,2312,2602,2616,2525.5,2884,2564,2334,2549.5,2681,2545,2505.5,2611,2617,2125,3059,3240,2902.5,2484,2845,2406,3590,2700,2603,2725.5,2538,NA,6,"for"
"7","00000000000000000006_0",2170.5,2702,2057,2307,2408,2247.5,2079.5,2468,2254.5,2407,2504,2449,2588,2514,2227,2422.5,2503,2395.5,2397,2541,2283,2381,2935.5,2805,2927,2400.5,2783,2090,2918,2381,2326,2695,2371.5,NA,7,"for"
"8","00000000000000000007_0",2841.5,2870,2500,2680,2760,2567,2608.5,2830,2636.5,2870,2882,2766,2911,2738,2907,2692,2685.5,2789,2856,2903,2645.5,2639,3048,3065,3286,2842,2917,2671,3118,2719.5,2660.5,2813,2851,NA,8,"for"
"9","00000000000000000008_0",2008.5,2654,2318,2512,2321,2476,2474,2776.5,2395,2986,2665.5,2786,2730,2431,2436,2611,2706,2705,2777.5,2866,2511,2380.5,2857,2847,3008,2501,2864,2487,3071,2558,2428.5,2712,2420,NA,9,"for"
"10","00000000000000000009_0",3846,3825.5,3823,3797,3713.5,3246,3552,3545.5,3213,3433,3465,3403.5,4139.5,3778,3545.5,3347,3581,3560,3630,3481,3428.5,3569,3885,3963.5,3896,3977,3911,4065,4544,4090,3438.5,3326,3595,NA,10,"for"
"11","0000000000000000000a_0",2300,3074.5,2773,3069,2834,2746,2958,2997,2854.5,3177,3122,2928.5,2914,3077,2848,2864,3068.5,2917,2984,3165.5,2807,2816,3351,3573,3175,2975,3209,2924,3271,2698,2826.5,3108,2963,NA,11,"for"
"12","0000000000000000000b_0",3667,3762,3736.5,3691,3598,3220,3439,3293.5,3299.5,3312,3450,3415,3794,3468,3365,3497,3345,3464,3468,3371,3521,3554,3577,3758,3651,3089,3539,3786.5,3639,3687,3125,3538,3555.5,NA,12,"for"
"13","0000000000000000000c_0",3735,3966.5,3879,3749,3944,3431,3433,3553,3397.5,3666,3695,3672,4081,3605,3505,3586,3392,3543,3651,3427,3414,3625.5,3605.5,3906,3648,3442,3647,3892.5,4137.5,3932,3571,3717.5,3782,NA,13,"for"
"14","0000000000000000000d_0",2418,3235,1700.5,2555.5,2452,2293.5,2210,2156.5,2704.5,2780.5,2808.5,2534,2563,2316,2016,2757.5,2969.5,2562,2511,2524,2637,2068.5,2973,3135.5,3058,2690,2607,2719,3457.5,2316,2190,2864,2439,NA,14,"for"
"15","0000000000000000000e_0",3207,3337.5,3089,3128,3279,3089.5,3094,3177,3209,3264.5,3094,2966,3400,3121,3051,3278,3016,3031.5,3002,2998.5,3106,3022,3295,3261,3426.5,3307,3375,3103,3509.5,3168,3013.5,3032,3187.5,NA,15,"for"
"16","0000000000000000000f_0",3150,3069,2616,2659,2496.5,2605,2594,2663,2726,2679.5,2471,2416,3129,2601,2622,2640,2609,2692,2595,2477.5,2753,2825.5,2827,2880.5,2813.5,2890,2832,2919,2777,2745,2671,2491,2650.5,NA,16,"for"
"17","00000000000000000010_0",3420,3575,3616,3500,3550,3242.5,3472,3403,3262,3422,3345.5,3355.5,3666.5,3447,3459,3422.5,3211,3468,3303.5,3376,3395,3519,3661,3561,3666.5,3404,3589,3524,3784,3655.5,3457,3317,3419.5,NA,17,"for"
"18","00000000000000000011_0",3624,3782,3472,3411,3603,3090,3241.5,3253,3038.5,3188,3140,3072,3873.5,3242.5,3150.5,3054,3097,3119,3099,3107.5,3098.5,2990,3300.5,3975,3266,3106,3116,3682,4113,3588,3467,3302.5,3463.5,NA,18,"for"
"19","00000000000000000012_0",3360,3696.5,4476,4043.5,3704,3380,3812.5,3667,3570,3644,3532,3588,4141,3776,3859,3634,3484,3572.5,3693,3643,3487.5,3567.5,3614,3727,3629,3774,3637,4440,3899,3967,3576,3541,3818,NA,19,"for"
"20","00000000000000000013_0",2596,2711,2486,2602,3247,2506.5,2480,2589,2695,2651,2897.5,2754,2642,2667,2483.5,2747.5,2739,2657,2559,2494,2653.5,2584.5,2972.5,3028,2981,2908,2882.5,2825,3187,2845,2363,2882,2559,NA,20,"for"
"21","00000000000000000014_0",4042,3875,3845.5,3912.5,3845,3335,3628,3364,3328,3283,3399,3376,3949,3434,3484.5,3449.5,3357,3508,3535,3436,3213,3707,3671,3875,3626,3630.5,3518,3918.5,4039,3866,3584,3396.5,3842,NA,21,"for"
"22","00000000000000000015_0",3213,3410,3208.5,3073.5,3271,2893,3147.5,3149.5,2991,3233.5,3080.5,3029,3196,3069,2951,3088.5,2829,3107.5,2971,3081,3043,2931.5,3282.5,3268,3381,3339,3353.5,3084,3551.5,3131,3044,3050,2921,NA,22,"for"
"23","00000000000000000016_0",3437,3572,3346,3237.5,3485,3057,3169,3234,3013,3290,3135,3199,3705,3138,3022.5,3032,3083,3075.5,2935,3085,2986,3079.5,3226.5,3616,3323,3342,3380,3353,3636,3434,3334,3147,3254.5,NA,23,"for"
"24","00000000000000000017_0",3224.5,3097.5,3170,3151,3156,3068,3213,3116,3255,3127.5,3012.5,3018,3459,3425,3495.5,3147,3267,3614,3523,3222,3342.5,3584,3603.5,2973,3455,3577,3310,3158,3127,2967,3036,2682,2972,NA,24,"for"
"25","00000000000000000018_0",3117,2895,2841,2881,3028.5,2919.5,3076,2909,3031,2995,2732,2909.5,3216.5,3412,3267.5,2993,2990,3203,3366.5,3197,3337,3354,3365.5,2935.5,3394,3476,3371,3041.5,2765,2834,2708,2680,2699.5,NA,25,"for"
"26","00000000000000000019_0",3262,2983.5,2701,2898.5,2845.5,3099.5,3138,2965,3111,3211,2569,2665,3059.5,3271,3373,2918,2643.5,2976,2925.5,2846.5,2945,2877,3159.5,3267,3045.5,2843,2857.5,2726,2985,2765.5,2992,2680,2882.5,NA,26,"for"
