"","system.index","SWIR1","SWIR1_1","SWIR1_10","SWIR1_11","SWIR1_12","SWIR1_13","SWIR1_14","SWIR1_15","SWIR1_16","SWIR1_17","SWIR1_18","SWIR1_19","SWIR1_2","SWIR1_20","SWIR1_21","SWIR1_22","SWIR1_23","SWIR1_24","SWIR1_25","SWIR1_26","SWIR1_27","SWIR1_28","SWIR1_29","SWIR1_3","SWIR1_30","SWIR1_31","SWIR1_32","SWIR1_4","SWIR1_5","SWIR1_6","SWIR1_7","SWIR1_8","SWIR1_9",".geo","CID","class"
"1","00000000000000000000_0",521,888,333,687,897.5,745,819,877.5,788,979,848.5,883,798.5,657.5,622,928,926,695,835,953,1022,539,1045,1147.5,1075,788,948.5,731,943,714,1236.5,1125.5,986,NA,1,"for"
"2","00000000000000000001_0",604.5,873,352,670,706.5,792,794,850.5,821,901.5,893.5,871,776,815,652.5,914,879,801,777,845.5,858,658.5,925,1020.5,926,784,856,453,827,611,1113.5,986,847,NA,2,"for"
"3","00000000000000000002_0",1411,1593,1107,1285,1214.5,1363.5,1296,1276.5,1251.5,1395,1299,1325,1376.5,1156,977,1286,1280,1197,1217,1213,1268,1044.5,1322,1493,1373,1214,1172,1238.5,1505,1291,1522.5,1579,1488,NA,3,"for"
"4","00000000000000000003_0",979,1239,992,1179,1123.5,1067,1185.5,1203,1185.5,1302.5,1258,1259,1108,1215,986,1296.5,1286,1144,1156,1162,1151,965,1276,1375,1235,1105,1200,1020,1347.5,1098,1333,1288.5,1209,NA,4,"for"
"5","00000000000000000004_0",1139,1144,896.5,1016,1068.5,1129,1075,1179,1151,1159.5,1030,1091,990,1155,1172,1201,1134.5,1132,1130.5,1136,1196.5,1135.5,1155,1079,1188.5,1150,1085,979,964,984,1127,1048.5,966,NA,5,"for"
"6","00000000000000000005_0",1058.5,1204,921,1229,1095,1113.5,1096,1244.5,1012,1177.5,1131,1168,1091,1062,955,1161,1183,1086,997.5,1127.5,1157,799,1181,1363,1249,998,1098.5,854,1424,1196,1284.5,1268,1181,NA,6,"for"
"7","00000000000000000006_0",896,1072,802,1036,1067,1102,990,1131.5,1050,1100,1064,1006,1057,1048,967,1227,1125,997,970,1120,1025,1078,1183.5,1219,1162.5,979,1094,798,1319,1048,1146.5,1190,1068,NA,7,"for"
"8","00000000000000000007_0",1214.5,1296.5,937,1199.5,1155.5,1299,1121.5,1214,1196,1245,1248,1147.5,1226,1160,1176,1288,1240,1198,1121,1250,1245.5,1049,1280,1343,1274,1149,1228,1136,1246,1163.5,1298,1262,1187,NA,8,"for"
"9","00000000000000000008_0",1006.5,1192,1030,1228,1187,1305,1184,1340.5,1218,1336,1186.5,1199,1114,1048.5,1105,1262.5,1277.5,1212.5,1257,1414,1182,970,1277,1456,1292,1060,1186,1092,1422,1241,1379,1456,1407,NA,9,"for"
"10","00000000000000000009_0",1617,1748,1546,1667.5,1443,1641.5,1529,1564,1543,1567,1563,1477,1645.5,1560,1513,1662,1550,1546,1463,1552.5,1480.5,1532.5,1543,1763,1601,1535,1549,1591.5,1746,1592,1650.5,1552,1529,NA,10,"for"
